Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Devin Vassell,25,SAS,SG,23,23,801,13.6,.573,.609,.160,2.7,13.4,8.2,11.3,1.8,1.9,7.8,15.2,1.1,1.2,2.3,.139,0.9,2.5,3.4,1.1,,vassede01
2,Stephon Castle,21,SAS,PG,23,23,760,16.8,.587,.338,.459,4.9,11.4,8.2,29.1,1.4,0.9,18.4,24.7,1.2,1.0,2.2,.139,1.1,0.7,1.8,0.7,,castlst01
3,Victor Wembanyama,22,SAS,C,22,22,750,26.3,.606,.314,.433,8.2,25.5,17.2,13.5,1.4,9.3,12.0,28.2,1.9,1.8,3.7,.236,5.2,3.7,8.9,2.0,,wembavi01
4,Julian Champagnie,24,SAS,SF,23,23,705,14.3,.617,.786,.153,3.3,16.2,10.0,7.4,2.1,1.5,5.9,13.6,1.3,1.2,2.4,.166,1.9,2.7,4.6,1.2,,champju02
5,De'Aaron Fox,28,SAS,PG,21,21,704,14.0,.497,.338,.205,1.9,9.9,6.1,27.8,1.9,1.1,11.6,22.8,0.4,1.0,1.4,.094,-0.4,0.9,0.5,0.4,,foxde01
6,Jalen Brunson,29,NYK,PG,19,19,702,22.2,.573,.300,.315,1.9,7.7,5.0,27.7,1.6,0.0,9.8,32.6,2.0,1.0,3.0,.203,4.5,0.1,4.6,1.2,Finals MVP-1,brunsja01
7,James Harden,36,CLE,PG,18,18,672,14.8,.568,.510,.498,2.3,13.9,8.1,24.0,2.3,1.6,21.7,25.4,0.1,0.6,0.7,.050,0.6,0.2,0.8,0.5,,hardeja01
8,Donovan Mitchell,29,CLE,SG,18,18,652,18.6,.558,.412,.243,2.7,13.0,7.9,16.7,1.6,0.7,10.1,31.5,0.9,0.4,1.2,.091,2.9,-0.9,2.0,0.7,,mitchdo01
9,Evan Mobley,24,CLE,PF,18,18,640,19.4,.609,.333,.408,6.8,19.9,13.4,18.6,1.3,4.4,14.0,20.1,1.3,0.6,1.9,.143,2.8,2.6,5.4,1.2,,mobleev01
10,Dylan Harper,19,SAS,SG,23,2,615,18.4,.611,.296,.322,5.3,16.8,11.2,16.2,1.8,0.7,11.6,21.1,1.3,1.0,2.3,.180,1.4,2.2,3.7,0.9,,harpedy01
11,Josh Hart,30,NYK,SF,19,19,614,14.2,.525,.494,.190,4.4,26.5,16.1,19.1,2.6,0.7,16.0,16.1,0.5,1.4,1.9,.146,-0.3,3.1,2.8,0.7,,hartjo01
12,Mikal Bridges,29,NYK,SF,19,19,608,15.5,.643,.335,.133,1.4,9.8,5.8,12.4,1.6,1.0,7.9,15.6,1.4,0.9,2.3,.182,0.8,2.0,2.8,0.7,,bridgmi01
13,OG Anunoby,28,NYK,PF,17,17,586,23.8,.721,.455,.449,3.2,17.3,10.6,7.1,2.2,3.4,4.0,18.5,2.5,1.2,3.8,.308,5.4,4.0,9.4,1.7,,anunoog01
14,Karl-Anthony Towns,30,NYK,C,19,19,578,24.4,.684,.305,.412,10.2,29.1,20.2,23.7,2.1,4.4,18.5,20.6,2.1,1.5,3.5,.293,3.9,5.5,9.4,1.7,,townska01
15,Cade Cunningham,24,DET,PG,14,14,572,18.3,.572,.347,.391,2.6,11.8,7.2,33.3,1.3,1.4,18.6,32.4,0.6,0.6,1.2,.098,3.4,0.1,3.4,0.8,,cunnica01
16,Shai Gilgeous-Alexander,27,OKC,PG,15,15,544,24.9,.591,.207,.519,1.3,7.9,4.7,35.8,1.8,2.4,11.6,31.9,2.0,0.4,2.4,.212,5.2,1.3,6.5,1.2,,gilgesh01
17,Jarrett Allen,27,CLE,C,18,18,529,20.7,.640,.000,.693,12.7,16.1,14.4,6.0,1.7,5.2,8.7,16.3,1.4,0.5,2.0,.179,2.7,1.1,3.7,0.8,,allenja01
18,Tobias Harris,33,DET,PF,14,14,485,16.6,.523,.304,.294,3.8,20.0,11.9,8.1,2.2,2.3,5.8,23.1,0.6,0.8,1.4,.134,0.2,1.9,2.1,0.5,,harrito02
19,Max Strus,29,CLE,SF,18,4,481,12.1,.579,.768,.174,6.9,14.5,10.7,12.1,1.6,0.7,13.9,15.8,0.6,0.3,0.9,.093,0.3,0.6,0.9,0.3,,strusma01
20,Chet Holmgren,23,OKC,PF,15,15,459,20.4,.663,.288,.356,7.7,23.0,15.5,5.5,1.8,4.8,10.6,18.0,1.2,0.7,1.8,.191,1.6,1.4,3.1,0.6,,holmgch01
21,Tyrese Maxey,25,PHI,PG,11,11,437,18.7,.562,.351,.227,1.0,10.6,5.8,26.8,1.1,1.0,9.0,26.7,0.7,-0.1,0.6,.070,3.4,-0.6,2.8,0.5,,maxeyty01
22,Ausar Thompson,23,DET,SF,14,14,427,16.5,.520,.072,.320,12.1,17.3,14.7,15.6,3.3,6.1,17.2,13.7,0.4,0.9,1.2,.138,0.3,5.0,5.3,0.8,,thompau01
23,Jalen Duren,22,DET,C,14,14,422,13.8,.553,.000,.422,12.5,19.7,16.1,11.1,1.1,4.2,19.8,16.7,0.2,0.6,0.8,.094,-2.2,0.5,-1.7,0.0,,durenja01
24,Keldon Johnson,26,SAS,SF,23,0,411,10.4,.492,.358,.265,7.9,11.9,10.0,7.4,1.8,0.7,11.7,21.5,-0.1,0.6,0.4,.050,-2.4,-0.4,-2.9,-0.1,,johnske04
25,Dean Wade,29,CLE,PF,18,14,407,9.2,.596,.738,.046,7.0,13.4,10.2,5.0,1.6,0.2,13.1,8.2,0.4,0.2,0.6,.070,-0.3,0.8,0.5,0.2,,wadede01
26,VJ Edgecombe,20,PHI,SG,11,11,407,12.3,.504,.497,.124,6.4,12.5,9.5,14.5,1.4,1.1,10.5,19.2,0.1,0.0,0.1,.008,-0.4,-0.2,-0.6,0.1,,edgecvj01
27,Jaden McDaniels,25,MIN,PF,12,12,406,13.0,.512,.239,.199,7.0,11.3,9.1,11.2,0.7,1.8,8.2,21.3,0.3,0.2,0.5,.058,-1.1,0.4,-0.7,0.1,,mcdanja02
28,Julius Randle,31,MIN,PF,12,12,400,10.6,.479,.238,.378,7.7,16.8,12.0,12.8,0.7,0.2,14.5,24.4,-0.3,0.2,-0.1,-0.015,-2.5,-1.4,-3.8,-0.2,,randlju01
29,Paul George,35,PHI,PF,11,11,394,14.3,.597,.500,.141,1.7,10.9,6.3,13.7,1.8,1.4,12.7,20.1,0.3,0.0,0.3,.038,1.5,0.7,2.2,0.4,,georgpa01
30,Rui Hachimura,27,LAL,PF,10,10,386,15.7,.690,.475,.090,1.9,10.4,6.3,7.6,1.2,1.4,6.6,16.1,0.9,0.2,1.1,.133,2.7,0.8,3.6,0.5,,hachiru01
31,LeBron James,41,LAL,SF,10,10,384,18.8,.550,.284,.344,1.3,19.5,10.6,35.5,1.8,0.7,15.3,29.5,0.4,0.3,0.7,.089,2.8,0.3,3.0,0.5,,jamesle01
32,Duncan Robinson,31,DET,SG,13,11,383,13.3,.632,.789,.158,1.2,8.0,4.6,12.2,2.3,0.8,9.6,15.4,0.7,0.4,1.1,.138,1.3,2.6,3.9,0.6,,robindu01
33,Cason Wallace,22,OKC,SG,15,2,374,17.6,.648,.646,.083,6.3,11.2,8.8,13.2,4.3,1.9,10.0,12.9,0.9,0.5,1.4,.185,2.0,5.4,7.4,0.9,,wallaca01
34,Rudy Gobert,33,MIN,C,12,12,372,13.0,.502,.029,.551,11.5,21.1,16.1,10.2,1.8,3.2,14.9,11.2,0.2,0.4,0.7,.089,-1.3,2.4,1.1,0.3,,goberru01
35,Kelly Oubre Jr.,30,PHI,SF,11,11,364,11.3,.543,.368,.255,3.8,16.6,10.1,5.1,0.7,1.5,6.4,15.8,0.2,0.0,0.2,.030,-1.5,-0.1,-1.7,0.0,,oubreke01
36,Alex Caruso,31,OKC,SG,15,0,353,17.6,.650,.643,.235,2.0,12.5,7.4,12.6,3.0,2.0,9.9,17.5,0.8,0.4,1.2,.168,1.8,3.6,5.4,0.6,,carusal01
37,Isaiah Hartenstein,27,OKC,C,15,15,350,20.0,.664,.011,.333,16.9,24.3,20.7,16.1,1.7,2.8,20.1,16.2,1.0,0.5,1.4,.197,0.8,2.2,3.0,0.4,,harteis01
38,Marcus Smart,31,LAL,SG,10,10,345,13.2,.547,.505,.434,3.6,8.6,6.2,23.0,3.6,2.7,22.9,20.2,0.0,0.4,0.3,.048,-1.1,2.8,1.8,0.3,,smartma01
39,Sam Merrill,29,CLE,SG,17,0,338,11.1,.617,.813,.260,2.8,4.5,3.7,8.7,1.2,0.0,7.8,15.1,0.7,0.0,0.7,.100,0.0,-0.3,-0.3,0.1,,merrisa01
40,Luguentz Dort,26,OKC,SF,15,15,335,6.4,.489,.793,.049,3.5,10.2,6.9,7.8,1.1,0.6,8.7,12.0,0.1,0.2,0.3,.037,-3.3,0.6,-2.8,-0.1,,dortlu01
41,Miles McBride,25,NYK,SG,19,2,334,7.6,.493,.762,.076,3.3,4.6,4.0,9.1,1.2,1.3,8.4,15.6,0.1,0.4,0.6,.079,-2.3,-0.4,-2.7,-0.1,,mcbrimi01
42,Luke Kennard,29,LAL,SG,10,5,326,12.0,.638,.475,.288,1.2,11.6,6.5,11.1,1.4,0.3,13.4,14.6,0.4,0.2,0.6,.085,-0.7,0.0,-0.7,0.1,,kennalu01
43,Anthony Edwards,24,MIN,SG,10,8,324,15.4,.533,.350,.283,1.6,18.0,9.4,14.1,0.7,2.0,11.0,29.1,0.0,0.2,0.2,.037,1.2,0.1,1.3,0.3,,edwaran01
44,Naz Reid,26,MIN,C,12,0,323,14.6,.583,.451,.139,4.4,25.7,14.6,12.0,0.7,1.1,11.0,18.7,0.3,0.3,0.6,.092,0.4,1.7,2.1,0.3,,reidna01
45,Daniss Jenkins,24,DET,PG,14,3,318,12.3,.472,.484,.254,4.7,8.6,6.7,20.8,1.0,1.6,6.9,20.0,0.3,0.3,0.6,.086,-0.4,0.0,-0.4,0.1,,jenkida01
46,Ajay Mitchell,23,OKC,SG,11,7,317,18.7,.553,.292,.219,4.9,10.0,7.5,22.6,2.7,0.3,9.1,22.8,0.7,0.3,1.0,.146,0.6,1.1,1.8,0.3,,mitchaj01
47,Landry Shamet,28,NYK,SG,19,0,310,10.0,.634,.709,.105,2.0,5.7,3.9,6.1,0.6,0.7,8.2,13.9,0.5,0.4,0.8,.130,-0.7,0.5,-0.2,0.1,,shamela01
48,Luke Kornet,30,SAS,C,23,1,296,16.6,.621,.017,.379,15.2,17.6,16.4,7.7,2.3,4.8,15.1,11.6,0.6,0.6,1.2,.199,-0.4,2.6,2.2,0.3,,kornelu01
49,Ayo Dosunmu,26,MIN,SG,10,4,292,18.0,.620,.351,.237,2.4,11.2,6.6,22.1,1.5,1.3,10.6,20.0,0.7,0.2,0.9,.146,2.7,2.6,5.4,0.5,,dosunay01
50,Deandre Ayton,27,LAL,C,10,10,285,14.8,.557,.000,.155,16.3,24.5,20.5,5.3,0.4,2.6,12.7,16.4,0.3,0.2,0.6,.093,-0.9,-1.7,-2.6,0.0,,aytonde01
51,Paolo Banchero,23,ORL,PF,7,7,273,20.1,.524,.294,.517,3.4,22.3,12.5,34.2,1.8,1.7,12.0,31.8,0.2,0.5,0.6,.109,4.2,2.3,6.5,0.6,,banchpa01
52,Scottie Barnes,24,TOR,PF,7,7,273,22.9,.605,.181,.466,4.5,13.7,9.0,36.0,1.4,4.7,14.7,25.7,0.8,0.2,1.0,.175,4.2,3.8,8.1,0.7,,barnesc01
53,Dennis Schröder,32,CLE,PG,17,0,271,8.6,.497,.393,.286,1.7,9.2,5.4,23.3,1.1,1.0,20.2,19.2,-0.1,0.1,0.0,-0.006,-2.9,-0.7,-3.6,-0.1,,schrode01
