Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Dennis Johnson,30,BOS,PG,21,21,848,12.8,.506,.044,.292,3.2,7.8,5.5,24.7,1.7,0.6,16.7,20.5,0.2,0.8,1.0,.056,0.1,0.1,0.2,0.5,,johnsde01
2,Kevin McHale,27,BOS,PF,21,21,837,18.7,.630,.000,.495,9.9,17.7,13.8,5.5,0.7,3.0,14.0,20.7,1.8,1.0,2.8,.163,2.5,0.4,2.9,1.0,,mchalke01
3,Larry Bird,28,BOS,SF,20,20,815,20.9,.536,.059,.320,7.3,17.5,12.4,21.3,2.0,1.3,10.5,26.8,1.5,1.1,2.6,.155,5.2,0.8,6.0,1.7,,birdla01
4,Robert Parish,31,BOS,C,21,21,803,14.9,.553,.000,.402,8.0,22.2,15.2,5.3,1.2,2.3,13.3,18.8,0.6,1.2,1.8,.109,0.3,0.4,0.7,0.5,,parisro01
5,Danny Ainge,25,BOS,SG,21,21,687,12.0,.513,.077,.188,3.3,6.1,4.7,23.2,2.2,0.1,12.4,15.1,0.7,0.7,1.3,.092,-0.4,1.1,0.7,0.5,,aingeda01
6,Magic Johnson,25,LAL,PG,19,19,687,22.3,.599,.031,.522,3.3,16.8,10.7,48.0,2.1,0.3,21.5,20.0,2.0,1.0,3.0,.210,5.5,1.1,6.6,1.5,,johnsma02
7,James Worthy,23,LAL,SF,19,19,626,19.7,.646,.007,.416,6.7,9.8,8.4,8.4,1.2,1.1,7.6,21.2,2.0,0.6,2.6,.199,3.7,-0.2,3.5,0.9,,worthja01
8,Kareem Abdul-Jabbar,37,LAL,C,19,19,610,22.1,.602,.000,.343,9.8,17.1,13.8,16.2,1.7,3.1,13.1,25.2,1.5,1.0,2.5,.194,3.8,1.6,5.4,1.2,Finals MVP-1,abdulka01
9,Byron Scott,23,LAL,SG,19,19,585,15.9,.560,.079,.165,3.3,6.2,4.9,10.5,3.1,0.4,7.7,20.6,0.9,0.8,1.7,.136,0.8,0.6,1.4,0.5,,scottby01
10,Alex English,31,DEN,SF,14,14,536,23.5,.601,.003,.359,6.7,12.1,9.2,17.4,1.4,0.5,7.9,26.8,1.9,0.5,2.4,.212,5.8,-0.7,5.1,1.0,,englial01
11,Calvin Natt,28,DEN,PF,15,15,508,19.6,.603,.000,.374,6.1,15.5,10.4,15.5,0.7,0.6,10.1,22.8,1.3,0.4,1.7,.164,3.9,-1.1,2.8,0.6,,nattca01
12,Moses Malone,29,PHI,C,13,13,505,18.0,.509,.005,.486,8.1,22.4,15.3,7.0,1.6,2.6,8.2,22.8,0.7,1.0,1.7,.160,2.0,0.1,2.2,0.5,,malonmo01
