Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Jimmy Butler,30,MIA,SF,21,21,806,23.8,.616,.146,.647,6.8,12.5,9.7,26.3,2.5,1.7,13.5,24.7,2.5,1.0,3.5,.209,4.4,1.5,5.9,1.6,,butleji01
2,Anthony Davis,26,LAL,PF,21,21,769,29.6,.665,.167,.499,8.5,22.7,15.6,16.1,1.7,3.8,10.8,27.8,3.3,1.2,4.5,.284,6.5,2.1,8.7,2.1,,davisan02
3,LeBron James,35,LAL,PG,21,21,762,30.2,.647,.312,.393,4.4,30.5,17.5,42.0,1.7,2.3,15.8,30.4,3.0,1.2,4.3,.269,7.6,3.1,10.7,2.4,Finals MVP-1,jamesle01
4,Jamal Murray,22,DEN,PG,19,19,753,23.7,.626,.372,.212,3.2,11.3,7.3,30.0,1.2,0.8,11.6,27.6,2.5,0.2,2.7,.174,6.1,-0.2,5.9,1.5,,murraja01
5,Tyler Herro,20,MIA,SG,21,5,706,12.9,.557,.462,.195,1.2,15.8,8.7,17.9,0.6,0.3,12.3,22.0,0.3,0.5,0.8,.053,0.6,-0.8,-0.2,0.3,,herroty01
6,Nikola Jokić,24,DEN,C,19,19,694,24.8,.614,.286,.230,6.4,25.5,16.0,28.6,1.5,2.1,14.1,28.9,1.9,0.6,2.5,.172,6.1,1.3,7.4,1.7,,jokicni01
7,Jayson Tatum,21,BOS,PF,17,17,690,20.7,.563,.377,.368,3.7,23.1,13.8,21.3,1.2,2.9,11.0,28.2,1.1,1.3,2.3,.163,4.5,1.8,6.3,1.4,,tatumja01
8,Bam Adebayo,22,MIA,PF,19,19,687,20.8,.625,.005,.523,8.2,24.2,16.5,20.5,1.4,2.3,14.8,21.0,1.7,0.9,2.6,.180,2.3,1.8,4.1,1.0,,adebaba01
9,Jaylen Brown,23,BOS,SG,17,17,672,17.1,.586,.417,.219,4.2,16.5,10.6,9.9,1.9,1.3,11.5,23.7,0.7,1.1,1.8,.130,2.2,1.1,3.3,0.9,,brownja02
10,Jae Crowder,29,MIA,PF,21,21,660,12.2,.570,.801,.229,2.0,17.9,10.2,9.0,1.1,1.8,6.3,16.2,0.6,0.7,1.3,.095,1.0,0.0,0.9,0.5,,crowdja01
11,Jerami Grant,25,DEN,PF,19,16,653,9.0,.556,.543,.309,1.5,10.0,5.7,5.5,0.9,2.2,11.2,15.6,0.3,0.2,0.5,.033,-1.7,-1.0,-2.8,-0.1,,grantje01
12,Marcus Smart,25,BOS,SG,17,16,648,11.6,.552,.621,.283,1.8,13.2,7.7,18.0,1.6,1.2,16.8,18.4,0.2,1.0,1.2,.088,-0.8,1.3,0.4,0.4,,smartma01
13,Kemba Walker,29,BOS,PG,17,17,628,16.9,.573,.492,.316,1.1,10.8,6.2,22.5,1.2,1.1,9.9,23.0,1.1,0.8,1.9,.148,2.6,0.4,3.0,0.8,,walkeke02
14,Kentavious Caldwell-Pope,26,LAL,SG,21,21,608,10.5,.560,.630,.143,1.6,6.9,4.3,6.4,1.7,0.6,6.9,15.5,0.5,0.6,1.1,.089,-0.9,0.1,-0.8,0.2,,caldwke01
15,Duncan Robinson,25,MIA,SG,21,21,600,12.3,.636,.886,.216,1.0,9.9,5.6,9.7,1.2,1.0,7.7,15.8,1.0,0.4,1.4,.111,1.2,0.0,1.2,0.5,,robindu01
16,Goran Dragić,33,MIA,PG,17,16,553,15.9,.549,.399,.228,2.8,11.3,7.2,24.1,1.5,0.4,11.7,27.4,0.4,0.4,0.8,.070,1.1,-0.8,0.3,0.3,,dragigo01
17,Danny Green,32,LAL,SG,21,21,525,9.6,.473,.676,.088,5.7,9.2,7.4,6.7,1.9,3.0,6.4,15.6,0.1,0.7,0.8,.070,-1.2,0.5,-0.7,0.2,,greenda02
18,Kawhi Leonard,28,LAC,SF,13,13,511,27.8,.593,.272,.351,5.2,21.4,13.2,23.9,2.9,2.1,9.6,29.3,1.6,0.8,2.4,.228,6.4,2.9,9.4,1.5,,leonaka01
19,Alex Caruso,25,LAL,PG,21,1,510,9.9,.543,.540,.265,3.5,7.6,5.6,15.2,2.2,2.3,19.7,13.4,0.2,0.6,0.8,.080,-2.4,1.9,-0.5,0.2,,carusal01
20,Kyle Kuzma,24,LAL,PF,21,0,484,10.0,.535,.464,.207,4.4,11.4,7.9,5.0,0.6,1.4,9.7,19.5,0.2,0.4,0.6,.059,-2.2,-1.5,-3.6,-0.2,,kuzmaky01
21,Daniel Theis,27,BOS,C,17,17,482,13.4,.578,.222,.282,7.8,19.9,14.1,7.8,0.6,4.3,10.2,13.6,0.7,0.8,1.5,.148,-1.0,1.5,0.5,0.3,,theisda01
22,Paul George,29,LAC,SF,13,13,479,14.7,.536,.502,.249,3.2,15.3,9.2,15.5,1.9,1.4,14.0,26.1,0.1,0.5,0.6,.063,0.4,0.0,0.4,0.3,,georgpa01
23,Paul Millsap,34,DEN,PF,19,19,459,10.7,.536,.373,.458,6.8,16.2,11.5,7.1,1.3,1.9,15.0,16.6,0.2,0.3,0.4,.046,-1.8,-0.9,-2.7,-0.1,,millspa01
24,Michael Porter Jr.,21,DEN,SF,19,3,451,16.0,.602,.543,.213,5.6,27.8,16.8,5.6,1.5,1.3,12.2,20.7,0.5,0.4,0.9,.092,1.8,-0.8,1.0,0.3,,portemi01
25,James Harden,30,HOU,SG,12,12,448,27.5,.636,.513,.509,2.8,14.4,8.3,38.8,2.0,2.2,13.9,32.4,1.7,0.7,2.4,.253,7.5,1.9,9.4,1.3,,hardeja01
