Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Tim Duncan,26,SAS,PF,24,24,1021,28.4,.577,.017,.563,10.7,28.3,19.8,25.5,0.8,5.8,12.9,26.4,3.3,2.7,5.9,.279,6.2,4.0,10.2,3.1,Finals MVP-1,duncati01
2,Jason Kidd,29,NJN,PG,20,20,852,19.2,.514,.305,.334,4.7,16.4,10.4,35.4,2.3,0.4,16.8,25.0,1.1,1.6,2.6,.149,3.9,1.6,5.5,1.6,,kiddja01
3,Michael Finley,29,DAL,SF,20,20,822,17.2,.554,.379,.219,3.3,12.1,7.7,11.4,1.6,1.1,8.6,19.8,1.7,0.2,1.8,.108,3.6,0.0,3.6,1.2,,finlemi01
4,Tony Parker,20,SAS,PG,24,24,814,11.9,.468,.167,.281,1.1,7.5,4.5,19.5,1.4,0.3,11.1,23.8,0.0,1.1,1.1,.063,-1.2,-1.2,-2.4,-0.1,,parketo01
5,Stephen Jackson,24,SAS,SG,24,24,811,12.0,.529,.433,.253,2.7,10.3,6.6,14.1,2.1,0.8,19.0,20.2,-0.1,1.4,1.3,.077,-0.4,1.0,0.6,0.5,,jacksst02
6,Kenyon Martin,25,NJN,PF,20,20,777,17.4,.498,.033,.347,7.2,20.9,13.8,14.4,2.0,3.2,13.3,25.5,0.3,1.7,2.1,.128,0.4,2.5,3.0,1.0,,martike01
7,Bruce Bowen,31,SAS,SF,24,24,750,8.9,.508,.552,.290,2.1,7.8,5.0,8.3,1.4,1.7,8.4,10.9,0.5,1.1,1.6,.104,-0.5,1.7,1.1,0.6,,bowenbr01
8,Steve Nash,28,DAL,PG,20,20,729,18.1,.565,.296,.245,2.2,8.3,5.3,31.1,1.2,0.1,15.2,20.7,1.8,-0.1,1.7,.113,3.9,-1.7,2.2,0.7,,nashst01
9,Dirk Nowitzki,24,DAL,PF,17,17,722,23.2,.593,.195,.361,2.3,27.7,14.9,8.7,1.5,1.7,9.9,25.1,1.9,0.6,2.6,.172,4.7,0.3,5.0,1.3,,nowitdi01
10,Ben Wallace,28,DET,C,17,17,722,20.0,.492,.009,.927,13.7,32.1,22.7,7.1,3.2,5.5,8.9,11.3,1.0,2.0,3.1,.204,1.9,3.8,5.7,1.4,,wallabe01
11,Richard Jefferson,22,NJN,SF,20,20,711,12.9,.523,.013,.368,4.5,16.4,10.3,12.1,1.2,0.5,14.6,20.0,0.4,1.1,1.5,.103,-0.8,0.7,0.0,0.3,,jefferi01
12,Nick Van Exel,31,DAL,SG,20,3,672,19.1,.549,.344,.196,2.9,8.2,5.5,21.2,0.9,0.0,9.9,26.3,1.5,-0.1,1.4,.098,4.1,-1.6,2.5,0.7,,vanexni01
13,Manu Ginóbili,25,SAS,SG,24,0,660,15.0,.522,.397,.402,5.0,10.1,7.7,17.8,3.3,1.0,14.3,17.5,0.7,1.3,2.1,.152,0.5,3.2,3.7,1.0,,ginobma01
14,Richard Hamilton,24,DET,SG,17,17,659,16.8,.540,.089,.386,3.1,8.8,5.9,16.3,1.1,0.1,13.9,30.1,0.6,0.6,1.2,.088,1.2,-1.3,-0.1,0.3,,hamilri01
15,Kerry Kittles,28,NJN,SG,20,20,613,13.4,.494,.315,.210,3.4,9.9,6.6,11.4,2.5,0.7,7.2,17.4,0.6,1.1,1.7,.133,1.0,1.9,2.9,0.8,,kittlke01
16,Malik Rose,28,SAS,PF,24,0,560,13.3,.504,.017,.525,10.0,16.8,13.5,7.5,1.5,1.5,16.3,21.5,0.2,1.1,1.2,.107,-1.9,0.1,-1.8,0.0,,rosema01
17,Allen Iverson,27,PHI,SG,12,12,557,23.6,.499,.167,.359,2.5,8.7,5.7,36.0,2.9,0.2,11.0,36.7,1.0,0.6,1.6,.140,5.8,0.1,5.8,1.1,,iversal01
18,David Robinson,37,SAS,C,23,23,539,17.7,.591,.000,.661,9.5,21.0,15.5,6.7,1.8,4.3,13.6,15.0,1.0,1.3,2.3,.204,0.6,3.0,3.6,0.8,,robinda01
19,Kobe Bryant,24,LAL,SG,12,12,531,22.2,.531,.196,.328,3.3,10.1,6.6,22.8,1.4,0.1,10.4,34.0,1.2,0.2,1.5,.131,5.6,-1.9,3.7,0.8,,bryanko01
20,Jason Collins,24,NJN,C,20,20,529,10.6,.496,.022,.670,10.7,16.6,13.6,5.0,1.3,1.8,13.3,11.6,0.6,0.9,1.5,.136,-2.1,1.4,-0.7,0.2,,collija04
21,Clifford Robinson,36,DET,PF,17,17,525,9.1,.451,.371,.233,3.1,7.4,5.2,18.2,1.7,1.9,13.8,18.7,-0.3,0.6,0.3,.028,-1.9,0.4,-1.4,0.1,,robincl02
22,Raef LaFrentz,26,DAL,C,20,16,491,12.5,.484,.255,.121,8.0,11.7,9.8,1.5,1.2,6.7,7.8,16.4,0.3,0.3,0.6,.057,-2.0,0.2,-1.8,0.0,,lafrera01
23,Peja Stojaković,25,SAC,SF,12,12,486,21.6,.606,.347,.297,3.9,14.9,9.4,10.2,1.0,0.7,5.0,21.6,1.9,0.1,2.0,.198,5.4,0.1,5.5,0.9,,stojape01
24,Chauncey Billups,26,DET,PG,14,14,485,17.9,.549,.442,.474,1.0,10.8,5.7,28.6,1.0,0.3,12.9,26.2,1.0,0.5,1.5,.144,3.0,-0.5,2.5,0.5,,billuch01
25,Shaquille O'Neal,30,LAL,C,12,12,481,30.6,.570,.000,.584,14.3,28.5,21.1,17.6,0.8,5.1,11.0,29.6,1.8,0.6,2.4,.240,7.8,0.6,8.4,1.3,,onealsh01
26,Derrick Coleman,35,PHI,C,12,12,449,18.0,.588,.085,.398,8.2,17.7,13.1,9.6,0.9,3.2,10.9,16.6,1.1,0.5,1.6,.175,2.8,1.1,3.8,0.7,,colemde01
27,Paul Pierce,25,BOS,SG,10,10,445,23.0,.554,.233,.606,2.9,20.1,11.6,30.0,2.5,1.4,15.3,30.7,0.9,0.8,1.7,.179,4.7,1.7,6.3,0.9,,piercpa01
28,Antoine Walker,26,BOS,PF,10,10,440,11.9,.466,.256,.125,5.3,17.2,11.4,19.2,2.1,0.7,16.6,24.0,-0.5,0.7,0.1,.014,-1.2,-0.4,-1.6,0.0,,walkean02
29,Lucious Harris,32,NJN,SG,20,0,435,10.7,.490,.239,.333,4.9,9.0,6.9,12.7,1.1,0.0,12.2,18.8,0.2,0.6,0.8,.089,-1.0,0.1,-0.9,0.1,,harrilu01
30,Derek Fisher,28,LAL,PG,12,12,424,14.1,.685,.461,.216,1.3,8.7,4.8,8.0,2.2,0.2,13.9,13.6,0.9,0.3,1.1,.130,0.7,1.0,1.8,0.4,,fishede01
31,Eric Snow,29,PHI,PG,12,12,415,14.6,.541,.098,.569,2.7,8.9,5.9,27.6,2.4,0.0,19.0,18.1,0.6,0.4,1.0,.114,-0.2,0.6,0.4,0.3,,snower01
32,Mike Bibby,24,SAC,PG,12,12,404,14.5,.507,.289,.252,2.2,6.2,4.2,22.4,1.8,0.9,10.7,18.2,0.6,0.1,0.7,.082,1.0,0.1,1.0,0.3,,bibbymi01
33,Keith Van Horn,27,PHI,PF,12,12,402,10.2,.507,.291,.273,7.5,19.5,13.7,3.8,1.4,0.4,17.4,17.7,0.0,0.5,0.5,.059,-1.1,-1.5,-2.6,-0.1,,vanhoke01
34,Eduardo Nájera,26,DAL,SF,19,5,394,12.5,.541,.000,.558,9.9,10.7,10.3,5.4,1.8,0.8,13.0,14.1,0.6,0.1,0.7,.089,-0.3,-0.1,-0.4,0.2,,najered01
35,Kenny Thomas,25,PHI,PF,12,12,389,15.7,.558,.000,.287,13.6,21.3,17.6,5.1,1.2,1.1,14.3,16.3,0.6,0.5,1.1,.132,1.0,-0.7,0.2,0.2,,thomake01
36,Tayshaun Prince,22,DET,SF,15,3,382,15.1,.535,.417,.330,3.3,14.6,8.8,12.2,1.2,2.6,10.8,18.7,0.4,0.5,0.9,.114,1.5,1.3,2.8,0.4,,princta01
37,Doug Christie,32,SAC,SG,12,12,381,13.3,.484,.242,.313,4.4,17.0,10.7,20.4,1.6,0.6,16.3,15.4,0.3,0.2,0.5,.067,-0.6,1.0,0.4,0.2,,chrisdo01
38,Robert Horry,32,LAL,PF,12,10,373,8.6,.342,.404,.096,6.7,18.2,12.2,14.4,2.1,2.3,14.8,13.7,-0.4,0.4,0.0,.004,-2.6,0.7,-1.8,0.0,,horryro01
39,Tony Delk,29,BOS,PG,10,10,368,18.4,.617,.430,.281,1.6,12.9,7.4,18.5,1.7,0.9,9.2,18.2,1.0,0.4,1.4,.183,3.5,1.6,5.1,0.6,,delkto01
40,Walter McCarty,28,BOS,SF,10,8,352,11.9,.634,.693,.093,3.3,10.6,7.0,10.9,1.2,1.1,12.3,12.0,0.5,0.4,0.9,.123,1.3,0.9,2.2,0.4,,mccarwa01
41,Rodney Rogers,31,NJN,PF,20,0,350,10.1,.486,.347,.314,7.0,11.5,9.2,13.5,0.9,0.7,15.4,21.1,0.0,0.5,0.5,.072,-1.4,0.2,-1.2,0.1,,rogerro01
42,Aaron Williams,31,NJN,C,19,0,340,15.7,.514,.000,.292,10.8,18.9,14.7,9.5,0.9,4.0,9.8,17.7,0.5,0.7,1.2,.165,-0.2,2.3,2.1,0.3,,williaa01
43,Bobby Jackson,29,SAC,PG,12,0,331,20.0,.561,.312,.254,3.7,14.2,9.0,19.7,1.8,0.2,10.0,22.5,0.9,0.1,1.0,.147,3.2,0.8,4.0,0.5,,jacksbo01
