Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,LeBron James,26,MIA,SF,21,21,922,23.7,.563,.228,.418,4.6,18.2,11.6,27.6,2.1,2.2,13.0,26.9,2.4,1.4,3.8,.198,5.2,1.9,7.1,2.1,,jamesle01
2,Chris Bosh,26,MIA,PF,21,21,834,18.4,.553,.014,.481,7.0,18.6,12.9,5.4,0.9,1.9,10.2,23.0,1.6,1.0,2.6,.149,1.5,-0.4,1.1,0.6,,boshch01
3,Dwyane Wade,29,MIA,SG,21,21,828,26.3,.570,.139,.480,6.5,15.3,11.0,24.5,2.3,2.8,12.4,30.4,2.4,1.3,3.7,.216,6.5,1.9,8.4,2.2,,wadedw01
4,Dirk Nowitzki,32,DAL,PF,21,21,826,25.2,.609,.126,.470,1.8,23.2,12.7,13.3,0.8,1.3,12.0,32.0,2.7,0.9,3.6,.210,4.7,0.8,5.5,1.6,Finals MVP-1,nowitdi01
5,Jason Kidd,37,DAL,PG,21,21,744,15.7,.560,.714,.186,1.9,13.6,7.8,32.7,3.0,1.1,24.3,15.1,0.9,0.9,1.9,.121,2.1,2.7,4.8,1.3,,kiddja01
6,Kevin Durant,22,OKC,SF,17,17,722,24.1,.582,.316,.484,3.0,18.8,11.1,13.3,1.2,2.0,9.1,29.0,2.6,0.6,3.3,.217,5.7,0.2,5.9,1.4,,duranke01
7,Shawn Marion,32,DAL,SF,21,21,690,15.1,.509,.022,.209,8.4,15.2,11.8,11.6,1.7,2.3,12.8,19.9,0.6,0.8,1.4,.096,-0.3,1.2,0.9,0.5,,mariosh01
8,Luol Deng,25,CHI,SF,16,16,687,15.4,.525,.296,.270,4.6,14.0,9.2,11.2,1.9,1.1,9.2,19.1,1.1,1.1,2.1,.150,1.0,1.4,2.4,0.8,,denglu01
9,Jason Terry,33,DAL,SG,21,0,684,20.3,.604,.354,.310,1.1,6.0,3.6,18.6,2.1,0.4,9.5,24.0,2.1,0.5,2.6,.179,3.4,1.2,4.6,1.1,,terryja01
10,Tyson Chandler,28,DAL,C,21,21,680,15.2,.631,.000,.796,14.6,20.2,17.4,1.9,1.1,2.3,9.6,10.5,1.9,0.8,2.7,.188,0.6,0.0,0.6,0.5,,chandty01
11,Derrick Rose,22,CHI,PG,16,16,649,22.5,.499,.269,.356,3.6,9.2,6.3,40.0,1.9,1.3,11.9,35.2,1.3,0.9,2.2,.165,6.3,0.6,6.9,1.5,,rosede01
12,Russell Westbrook,22,OKC,PG,17,17,638,19.6,.499,.140,.414,6.7,9.7,8.2,33.7,2.0,0.7,16.1,34.4,0.7,0.4,1.1,.084,2.7,-1.6,1.1,0.5,,westbru01
13,Joel Anthony,28,MIA,C,21,13,575,7.6,.463,.000,.633,7.6,12.7,10.2,2.7,0.8,5.5,17.2,6.4,0.2,0.8,0.9,.078,-2.5,1.9,-0.6,0.2,,anthojo01
14,James Harden,21,OKC,SG,17,0,537,19.1,.634,.547,.576,2.2,16.9,9.8,19.2,2.1,1.9,13.8,17.1,1.6,0.6,2.2,.193,3.0,2.7,5.7,1.0,,hardeja01
15,Joakim Noah,25,CHI,C,16,16,529,16.9,.475,.000,.411,15.0,21.9,18.4,12.5,1.7,4.8,11.5,14.5,0.8,1.1,1.9,.174,0.0,2.4,2.4,0.6,,noahjo01
16,Marc Gasol,26,MEM,C,13,13,519,18.9,.563,.014,.518,8.9,23.8,16.2,9.4,1.4,4.5,13.1,17.5,0.9,0.8,1.7,.153,1.7,2.2,3.9,0.8,,gasolma01
17,Zach Randolph,29,MEM,PF,13,13,515,22.0,.534,.036,.473,9.4,22.4,15.8,11.1,1.5,1.6,9.1,26.4,1.2,0.6,1.8,.171,3.2,0.3,3.5,0.7,,randoza01
18,Mario Chalmers,24,MIA,PG,21,1,511,12.5,.590,.677,.258,1.0,8.3,4.7,15.2,2.9,0.2,16.9,15.9,0.6,0.6,1.2,.111,-0.6,2.1,1.5,0.4,,chalmma01
19,Carlos Boozer,29,CHI,C,16,16,507,15.2,.494,.006,.337,9.2,27.6,18.2,10.0,1.0,1.1,12.0,21.2,0.4,0.9,1.3,.126,-0.4,0.2,-0.3,0.2,,boozeca01
20,Mike Conley,23,MEM,PG,13,13,507,13.7,.477,.202,.290,1.6,10.0,5.7,27.5,1.5,0.5,12.7,21.3,0.3,0.3,0.6,.059,-0.2,-0.3,-0.5,0.2,,conlemi01
21,Joe Johnson,29,ATL,SG,12,12,497,15.3,.522,.212,.212,4.4,9.0,6.7,15.8,1.5,0.2,12.5,24.4,0.3,0.3,0.6,.058,1.8,-1.1,0.7,0.3,,johnsjo02
22,Serge Ibaka,21,OKC,PF,17,17,490,15.2,.514,.007,.276,11.4,17.6,14.6,1.1,0.4,8.1,11.4,17.0,0.5,0.6,1.1,.109,-1.6,0.8,-0.8,0.1,,ibakase01
23,Kendrick Perkins,26,OKC,C,17,17,479,6.1,.490,.000,.516,9.1,15.4,12.4,4.2,0.4,2.1,25.6,10.0,-0.1,0.3,0.2,.017,-3.7,-0.3,-4.1,-0.2,,perkike01
24,Al Horford,24,ATL,C,12,12,468,13.3,.458,.015,.190,6.5,23.1,14.9,16.0,0.6,2.2,10.3,17.3,0.1,0.6,0.7,.070,-0.1,0.1,0.0,0.2,,horfoal01
25,Josh Smith,25,ATL,PF,12,12,438,15.4,.451,.140,.392,5.0,23.1,14.1,15.1,1.7,4.8,11.5,25.4,-0.4,0.7,0.4,.040,-0.2,1.6,1.4,0.4,,smithjo03
26,Mike Bibby,32,MIA,PG,20,20,415,3.6,.373,.688,.042,1.5,8.8,5.3,9.1,1.5,1.2,14.8,13.5,-0.6,0.4,-0.2,-0.029,-4.0,-0.6,-4.6,-0.3,,bibbymi01
27,Nick Collison,30,OKC,C,17,0,413,16.2,.662,.000,.303,13.5,13.8,13.7,6.1,1.9,2.8,13.1,10.9,1.1,0.4,1.5,.177,1.0,2.1,3.1,0.5,,collini01
28,J.J. Barea,26,DAL,PG,21,3,390,16.8,.500,.291,.198,2.6,9.6,6.1,34.3,0.9,0.0,11.0,26.3,0.6,0.2,0.8,.100,1.4,-1.1,0.3,0.2,,bareajo01
29,O.J. Mayo,23,MEM,SG,13,2,362,12.5,.501,.366,.216,3.1,10.1,6.5,14.5,1.6,0.9,10.4,20.6,0.3,0.3,0.5,.071,-0.3,0.9,0.6,0.2,,mayooj01
30,Ray Allen,35,BOS,SG,9,9,361,19.6,.708,.514,.229,1.8,9.3,5.8,10.5,1.6,0.2,7.7,17.2,1.3,0.3,1.7,.225,4.9,2.3,7.1,0.8,,allenra02
31,Jamal Crawford,30,ATL,SG,12,0,358,16.1,.521,.387,.329,0.3,5.0,2.7,16.3,1.4,0.9,8.3,26.5,0.4,0.2,0.6,.079,2.4,-0.6,1.8,0.3,,crawfja01
32,Pau Gasol,30,LAL,C,10,10,358,17.3,.497,.018,.402,10.5,17.2,13.6,17.9,0.6,4.2,11.4,19.7,0.6,0.2,0.9,.115,1.6,0.3,1.9,0.4,,gasolpa01
33,Kobe Bryant,32,LAL,SG,10,10,354,20.6,.536,.220,.328,2.7,9.8,6.0,19.1,2.5,0.8,12.7,32.7,0.5,0.2,0.7,.099,4.0,-0.5,3.4,0.5,,bryanko01
34,Peja Stojaković,33,DAL,SF,19,0,350,12.0,.540,.642,.075,1.1,10.0,5.6,3.5,1.9,0.5,6.8,18.5,0.3,0.3,0.5,.073,0.7,0.0,0.7,0.2,,stojape01
35,Tony Allen,29,MEM,SG,13,13,350,10.7,.479,.069,.406,4.8,7.7,6.2,9.3,3.8,1.2,16.8,18.6,-0.2,0.4,0.2,.030,-3.1,2.2,-0.9,0.1,,allento01
36,Rajon Rondo,24,BOS,PG,9,9,345,16.7,.509,.028,.355,4.1,12.8,8.7,42.3,1.6,0.0,21.1,21.8,0.4,0.4,0.7,.102,1.1,0.2,1.3,0.3,,rondora01
37,Thabo Sefolosha,26,OKC,SG,17,17,344,10.3,.543,.388,.194,4.1,13.3,8.9,5.6,2.5,1.1,17.1,11.6,0.2,0.3,0.5,.068,-1.1,1.7,0.6,0.2,,sefolth01
38,Paul Pierce,33,BOS,SF,9,9,343,17.6,.574,.318,.230,1.9,13.6,8.0,13.5,1.9,1.0,12.8,26.1,0.5,0.4,0.9,.128,2.5,1.2,3.7,0.5,,piercpa01
39,Shane Battier,32,MEM,SF,13,0,339,9.9,.515,.439,.136,5.6,12.2,8.8,6.8,1.1,1.5,7.9,10.2,0.3,0.2,0.6,.081,-0.5,1.0,0.5,0.2,,battish01
40,DeShawn Stevenson,29,DAL,SG,21,18,332,7.2,.532,.819,.145,0.4,6.5,3.5,5.8,1.8,0.5,10.2,14.4,0.1,0.2,0.4,.052,-1.6,0.9,-0.7,0.1,,stevede01
41,Kevin Garnett,34,BOS,PF,9,9,328,17.3,.479,.008,.228,8.3,27.3,18.3,12.4,2.8,2.3,12.0,23.2,0.0,0.7,0.8,.113,-0.1,2.5,2.4,0.4,,garneke01
42,Derek Fisher,36,LAL,PG,10,10,325,12.4,.538,.254,.313,0.4,10.7,5.2,17.5,2.4,0.5,9.5,12.3,0.5,0.2,0.7,.101,-0.9,2.4,1.5,0.3,,fishede01
43,Andrew Bynum,23,LAL,C,10,10,320,20.6,.596,.000,.343,13.2,25.1,18.8,4.6,0.9,3.9,14.2,20.9,0.7,0.3,1.0,.154,1.4,-0.6,0.8,0.2,,bynuman01
44,Keith Bogans,30,CHI,SG,16,16,307,9.3,.579,.855,.058,1.5,6.3,3.9,6.4,1.8,0.8,9.0,11.7,0.4,0.4,0.7,.117,-0.7,1.6,0.9,0.2,,boganke01
45,Udonis Haslem,30,MIA,PF,12,0,290,7.1,.435,.000,.147,5.6,16.7,11.3,5.4,1.2,1.1,13.2,14.0,-0.2,0.3,0.2,.030,-3.8,-0.3,-4.1,-0.1,,hasleud01
46,Metta World Peace,31,LAL,SF,9,9,287,15.3,.538,.354,.266,7.0,11.2,8.9,11.6,1.9,2.2,9.3,16.1,0.5,0.2,0.7,.119,1.4,1.6,3.0,0.4,,artesro01
47,Lamar Odom,31,LAL,PF,10,1,286,15.5,.527,.204,.388,5.3,24.3,14.2,13.0,0.4,1.2,11.6,21.5,0.4,0.1,0.5,.086,0.8,-0.8,0.1,0.2,,odomla01
48,Taj Gibson,25,CHI,PF,16,0,284,16.5,.575,.013,.197,10.7,17.1,13.9,5.7,1.0,6.0,14.5,15.7,0.4,0.5,0.9,.153,-1.1,2.7,1.5,0.3,,gibsota01
49,Kyle Korver,29,CHI,SG,16,0,276,8.9,.519,.531,.071,0.4,7.9,4.1,10.9,1.6,0.8,13.7,19.6,0.1,0.3,0.4,.072,-1.9,0.5,-1.5,0.0,,korveky01
50,Brendan Haywood,31,DAL,C,18,0,275,10.7,.561,.000,1.387,15.5,17.1,16.3,2.2,0.4,5.4,20.7,11.2,0.3,0.3,0.6,.110,-3.0,1.3,-1.6,0.0,,haywobr01
51,James Jones,30,MIA,SF,12,0,272,11.5,.688,.725,.255,1.4,11.7,6.7,1.3,1.2,0.6,6.6,10.9,0.6,0.3,0.9,.151,0.6,0.9,1.5,0.2,,jonesja02
52,Ronnie Brewer,25,CHI,SG,16,0,260,13.7,.557,.140,.340,3.1,12.6,7.8,9.4,2.5,1.8,6.5,10.9,0.4,0.4,0.9,.162,-0.5,4.1,3.6,0.4,,brewero02
