Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Kobe Bryant,23,LAL,SG,19,19,833,20.5,.511,.135,.336,3.8,10.6,7.3,20.2,1.7,1.5,9.8,29.8,1.7,0.8,2.6,.148,4.1,0.2,4.3,1.3,,bryanko01
2,Jason Kidd,28,NJN,PG,20,20,803,21.7,.492,.254,.280,5.7,17.6,11.4,40.8,2.2,0.8,14.4,25.8,1.3,1.0,2.3,.139,4.6,1.4,6.0,1.6,,kiddja01
3,Shaquille O'Neal,29,LAL,C,19,19,776,28.3,.569,.000,.542,9.9,23.5,17.0,14.5,0.7,4.4,11.5,31.4,2.6,1.2,3.8,.236,6.3,1.2,7.5,1.9,Finals MVP-1,onealsh01
4,Kenyon Martin,24,NJN,PF,20,20,749,13.7,.477,.030,.362,4.3,13.3,8.7,13.4,1.7,2.7,12.9,24.0,0.0,0.8,0.8,.053,-1.2,0.9,-0.3,0.3,,martike01
5,Robert Horry,31,LAL,PF,19,14,703,14.7,.576,.456,.279,5.9,17.8,12.1,13.3,2.5,1.6,16.4,11.8,1.1,1.1,2.2,.153,1.8,3.1,4.8,1.2,,horryro01
6,Antoine Walker,25,BOS,PF,16,16,703,16.0,.510,.342,.201,3.7,18.1,11.0,14.9,1.8,0.7,13.7,26.7,0.3,1.2,1.4,.097,1.3,-0.1,1.2,0.6,,walkean02
7,Paul Pierce,24,BOS,SG,16,16,672,21.1,.529,.343,.518,4.6,18.1,11.4,19.6,2.1,2.5,14.1,30.1,1.0,1.3,2.3,.161,3.7,1.2,5.0,1.2,,piercpa01
8,Chris Webber,28,SAC,PF,16,16,667,22.1,.523,.013,.310,8.1,19.3,13.9,21.6,1.1,2.7,11.3,27.0,1.4,0.8,2.2,.157,3.7,1.9,5.6,1.3,,webbech01
9,Mike Bibby,23,SAC,PG,16,16,661,18.2,.549,.230,.335,2.3,7.2,4.9,20.6,1.8,0.3,11.1,22.1,1.6,0.4,2.0,.142,2.8,1.3,4.1,1.0,,bibbymi01
10,Rick Fox,32,LAL,SF,19,19,652,12.0,.579,.309,.353,4.2,12.7,8.6,15.4,1.7,0.7,21.9,14.3,0.7,0.7,1.3,.099,-0.3,1.7,1.4,0.6,,foxri01
11,Derek Fisher,27,LAL,PG,19,19,649,10.7,.501,.482,.333,1.8,8.5,5.3,12.4,1.5,0.1,9.4,14.8,0.8,0.5,1.3,.094,-0.6,0.4,-0.1,0.3,,fishede01
