Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Draymond Green,25,GSW,PF,23,23,879,18.6,.549,.377,.388,4.8,23.1,14.0,23.4,2.1,3.8,14.8,18.9,1.6,1.5,3.1,.171,2.6,3.2,5.7,1.7,,greendr01
2,Klay Thompson,25,GSW,SG,24,24,849,19.5,.588,.510,.212,1.9,9.2,5.6,11.1,1.5,0.9,8.7,28.0,1.9,0.6,2.5,.143,4.6,-0.4,4.2,1.3,,thompkl01
3,LeBron James,31,CLE,SF,21,21,822,30.0,.585,.225,.297,6.1,22.4,14.4,36.6,3.2,3.2,13.7,30.7,3.2,1.5,4.7,.274,7.4,3.6,11.0,2.7,Finals MVP-1,jamesle01
4,Kyrie Irving,23,CLE,PG,21,21,774,24.4,.574,.274,.208,2.3,7.1,4.7,23.5,2.5,1.6,9.4,30.4,2.6,0.8,3.4,.210,5.4,0.6,6.0,1.6,,irvinky01
5,Andre Iguodala,32,GSW,SF,24,3,767,13.8,.563,.396,.348,5.0,9.7,7.4,16.6,1.9,1.0,10.8,12.1,1.5,0.7,2.1,.133,1.2,1.8,3.0,1.0,,iguodan01
6,Kyle Lowry,29,TOR,PG,20,20,766,16.6,.508,.418,.315,2.7,12.6,7.4,29.2,2.2,0.3,14.4,26.5,0.6,0.7,1.2,.077,2.5,0.0,2.5,0.9,,lowryky01
7,DeMar DeRozan,26,TOR,SG,20,20,746,14.2,.462,.065,.309,2.0,12.0,6.7,14.7,1.6,0.4,9.1,30.9,-0.4,0.5,0.1,.009,0.2,-1.5,-1.3,0.1,,derozde01
8,Harrison Barnes,23,GSW,SF,24,23,743,8.6,.474,.357,.160,4.0,12.2,8.2,5.8,1.1,0.4,7.3,14.5,0.2,0.6,0.7,.047,-1.8,-0.7,-2.4,-0.1,,barneha02
9,J.R. Smith,30,CLE,SG,21,21,730,12.5,.613,.803,.112,1.1,9.6,5.4,5.8,1.9,0.7,5.3,13.2,1.4,0.6,2.1,.135,0.8,0.9,1.8,0.7,,smithjr01
10,Kevin Durant,27,OKC,SF,18,18,726,20.3,.542,.270,.359,2.0,17.4,9.8,14.9,1.3,2.0,12.1,32.1,1.2,0.8,2.0,.130,4.3,-0.3,4.0,1.1,,duranke01
11,Russell Westbrook,27,OKC,PG,18,18,674,26.9,.515,.267,.356,6.9,13.5,10.3,52.4,3.4,0.2,14.6,34.3,2.0,0.9,2.9,.208,7.4,1.7,9.1,1.9,,westbru01
