Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Larry Bird,30,BOS,SF,23,23,1015,21.8,.577,.090,.425,5.0,21.6,13.6,24.5,1.3,1.1,11.6,25.9,2.4,0.9,3.2,.152,5.7,0.6,6.3,2.1,,birdla01
2,Dennis Johnson,32,BOS,PG,23,23,964,15.8,.530,.072,.313,3.1,8.0,5.6,30.3,0.8,0.5,9.7,20.4,1.7,0.3,2.0,.098,2.3,-0.2,2.0,1.0,,johnsde01
3,Kevin McHale,29,BOS,PF,21,19,827,17.9,.628,.000,.423,9.9,17.8,14.0,7.1,0.4,2.1,13.3,21.3,1.5,0.5,2.1,.120,2.7,-1.0,1.7,0.8,,mchalke01
4,Danny Ainge,27,BOS,SG,20,19,762,11.9,.581,.307,.151,2.1,5.9,4.1,16.7,1.6,0.3,13.9,16.7,0.7,0.3,1.0,.060,0.8,-0.3,0.6,0.5,,aingeda01
5,Robert Parish,33,BOS,C,21,21,734,18.6,.611,.004,.392,10.0,21.8,16.1,5.7,1.2,2.8,11.0,20.4,1.4,0.7,2.1,.138,1.8,0.5,2.3,0.8,,parisro01
6,James Worthy,25,LAL,SF,18,18,681,21.0,.624,.007,.326,5.7,10.5,8.3,13.7,2.0,1.8,10.5,23.0,1.7,1.0,2.7,.190,3.9,1.1,5.0,1.2,,worthja01
7,Magic Johnson,27,LAL,PG,18,18,666,26.2,.607,.037,.435,5.2,17.0,11.7,46.1,2.2,0.6,13.6,23.1,2.6,1.1,3.7,.265,7.3,2.1,9.3,1.9,Finals MVP-1,johnsma02
8,Byron Scott,25,LAL,SG,18,18,608,13.0,.555,.162,.319,4.1,7.0,5.7,12.3,1.5,0.4,9.5,17.9,0.9,0.7,1.5,.119,-0.3,-0.4,-0.7,0.2,,scottby01
9,Isiah Thomas,25,DET,PG,15,15,562,22.6,.523,.111,.370,4.2,9.1,6.7,35.0,3.5,0.4,10.8,29.2,1.1,1.0,2.1,.178,5.3,2.5,7.8,1.4,,thomais01
10,Kareem Abdul-Jabbar,39,LAL,C,18,18,559,19.4,.600,.004,.521,8.7,15.3,12.3,9.1,0.7,3.5,12.2,24.2,1.2,0.8,2.0,.171,2.3,0.3,2.5,0.6,,abdulka01
11,Bill Laimbeer,29,DET,C,15,15,543,14.2,.530,.031,.147,6.2,25.8,16.1,9.2,1.4,1.4,10.3,15.1,0.4,1.1,1.5,.131,0.2,1.6,1.8,0.5,,laimbbi01
12,Dale Ellis,26,SEA,SG,14,14,530,17.3,.539,.118,.178,7.1,12.4,9.5,11.6,0.9,0.7,9.1,27.7,0.7,0.4,1.0,.094,2.9,-1.9,1.1,0.4,,ellisda01
13,Xavier McDaniel,23,SEA,SF,14,14,528,15.2,.510,.039,.220,10.1,15.2,12.4,12.3,2.0,1.1,13.1,24.7,0.0,0.6,0.6,.055,0.4,-0.7,-0.3,0.2,,mcdanxa01
14,Michael Cooper,30,LAL,SG,18,0,522,16.7,.640,.440,.340,1.9,9.9,6.3,22.0,2.3,1.5,16.8,17.4,1.0,0.8,1.8,.165,3.3,2.3,5.6,1.0,,coopemi01
15,A.C. Green,23,LAL,PF,18,18,505,15.4,.615,.000,.669,13.3,17.7,15.7,2.7,0.9,0.9,9.2,15.1,1.2,0.7,1.9,.179,1.3,-1.1,0.1,0.3,,greenac01
16,Adrian Dantley,31,DET,SF,15,15,500,19.0,.604,.000,.539,6.5,8.7,7.6,10.3,1.3,0.0,11.5,24.4,1.2,0.6,1.8,.171,2.9,0.0,2.9,0.6,,dantlad01
17,Tom Chambers,27,SEA,PF,14,14,498,16.8,.525,.068,.376,6.6,14.4,10.1,10.0,1.2,1.7,10.0,27.9,0.5,0.5,1.0,.092,2.0,-1.2,0.8,0.4,,chambto01
18,Rick Mahorn,28,DET,PF,15,15,483,12.2,.587,.009,.321,9.8,23.0,16.5,1.3,0.6,1.4,11.4,12.3,0.6,0.8,1.4,.141,-0.9,0.5,-0.4,0.2,,mahorri01
19,Joe Dumars,23,DET,SG,15,15,473,13.7,.583,.021,.283,1.9,2.6,2.2,20.7,1.3,0.1,14.2,17.0,0.7,0.5,1.1,.114,1.0,0.2,1.2,0.4,,dumarjo01
20,Paul Pressey,28,MIL,SF,12,12,465,15.4,.514,.055,.315,6.8,9.1,7.9,29.9,2.9,1.0,17.4,17.9,0.3,0.4,0.7,.072,2.1,1.6,3.7,0.7,,presspa01
21,Terry Cummings,25,MIL,PF,12,10,443,18.4,.531,.000,.386,7.3,18.5,12.6,9.7,1.3,1.8,5.6,24.8,0.7,0.3,1.0,.111,2.5,-0.3,2.2,0.5,,cummite01
22,Rodney McCray,25,HOU,SF,10,10,436,15.5,.629,.020,.535,8.8,12.7,10.8,18.4,0.6,1.2,17.2,14.7,0.8,0.5,1.3,.144,3.0,0.6,3.5,0.6,,mccraro01
23,Robert Reid,31,HOU,SG,10,10,431,5.1,.391,.110,.148,1.7,7.6,4.8,15.9,1.2,0.4,14.1,18.9,-0.8,0.4,-0.4,-0.041,-4.8,-1.3,-6.1,-0.4,,reidro01
24,Sidney Moncrief,29,MIL,SG,12,10,426,16.1,.569,.085,.545,5.5,9.6,7.5,12.0,1.5,0.9,10.5,22.1,0.7,0.2,0.9,.103,1.9,-0.4,1.5,0.4,,moncrsi01
25,Jack Sikma,31,MIL,C,12,12,426,17.0,.565,.007,.327,8.7,28.2,18.0,7.5,1.7,1.4,9.5,18.4,0.7,0.5,1.2,.134,1.2,0.5,1.7,0.4,,sikmaja01
26,Sleepy Floyd,26,GSW,PG,10,10,414,19.3,.613,.184,.336,2.3,6.2,4.1,35.5,2.1,0.3,16.7,20.9,0.9,0.2,1.2,.137,5.2,-0.9,4.2,0.7,,floydsl01
