Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Michael Jordan,28,CHI,SG,22,22,920,27.2,.571,.076,.325,4.9,13.2,9.1,28.3,2.6,1.2,10.9,37.1,2.4,1.7,4.1,.216,8.3,1.6,9.9,2.8,Finals MVP-1,jordami01
2,Scottie Pippen,26,CHI,SF,22,22,899,20.1,.544,.074,.477,8.0,18.1,13.1,25.8,2.5,2.0,15.1,23.6,1.3,1.8,3.1,.168,4.3,2.4,6.6,2.0,,pippesc01
3,Terry Porter,28,POR,PG,21,21,870,19.5,.647,.274,.502,3.5,10.0,6.8,24.9,1.3,0.2,11.7,19.5,3.0,0.7,3.7,.202,5.2,0.2,5.4,1.6,,portete01
4,Horace Grant,26,CHI,PF,22,22,856,16.3,.575,.011,.415,10.8,16.8,13.8,11.2,1.5,3.2,8.8,12.7,1.7,1.6,3.3,.184,2.9,1.9,4.8,1.5,,grantho01
5,Clyde Drexler,29,POR,SG,21,21,847,22.8,.553,.191,.402,8.7,13.6,11.2,29.6,1.9,1.6,10.4,28.4,2.4,1.0,3.4,.193,6.9,0.9,7.8,2.1,,drexlcl01
6,Buck Williams,31,POR,PF,21,21,758,11.0,.591,.000,.700,9.9,18.9,14.4,4.0,1.8,1.5,20.9,12.2,0.4,1.0,1.5,.092,-1.0,0.2,-0.8,0.2,,willibu01
7,Jerome Kersey,29,POR,SF,21,21,756,16.9,.555,.012,.444,9.6,16.5,13.1,15.3,2.8,1.7,14.7,20.5,0.9,1.1,2.0,.128,1.4,2.2,3.7,1.1,,kerseje01
8,Karl Malone,28,UTA,PF,16,16,688,25.0,.618,.007,.739,8.0,24.5,16.5,11.1,1.7,1.9,10.9,28.0,2.3,0.9,3.2,.220,5.5,0.9,6.5,1.5,,malonka01
9,Brad Daugherty,26,CLE,C,17,17,687,20.3,.612,.004,.617,6.7,22.1,14.8,13.7,0.8,1.4,11.0,22.2,1.8,1.0,2.7,.190,3.8,0.5,4.3,1.1,,daughbr01
10,Larry Nance,32,CLE,PF,17,17,681,17.8,.543,.004,.279,8.2,18.2,13.5,10.3,1.1,4.0,8.4,20.5,0.9,1.0,2.0,.139,2.0,1.2,3.3,0.9,,nancela01
11,Kevin Duckworth,27,POR,C,21,21,647,10.5,.520,.000,.245,7.6,14.4,11.0,9.7,0.9,1.2,15.8,18.9,0.0,0.6,0.6,.042,-1.8,-0.2,-2.0,0.0,,duckwke01
12,John Stockton,29,UTA,PG,16,16,623,19.4,.548,.319,.429,2.1,7.3,4.7,54.2,2.9,0.6,21.1,20.1,1.1,0.5,1.6,.122,5.7,0.9,6.6,1.4,,stockjo01
13,Bill Cartwright,34,CHI,C,22,22,612,6.5,.474,.000,.267,5.8,13.7,9.8,8.7,1.0,0.5,17.2,11.7,-0.3,0.9,0.6,.048,-2.7,0.3,-2.4,-0.1,,cartwbi01
14,Jeff Malone,30,UTA,SG,16,16,610,14.2,.540,.011,.262,2.5,5.4,4.0,9.3,0.7,0.2,7.8,24.8,0.7,0.1,0.8,.065,0.3,-2.1,-1.7,0.0,,malonje01
15,Mark Price,27,CLE,PG,17,17,603,19.2,.605,.290,.307,2.1,5.9,4.1,35.3,2.1,0.4,17.2,24.5,1.1,0.6,1.7,.134,5.0,-0.4,4.6,1.0,,pricema01
16,John Paxson,31,CHI,PG,22,22,598,10.5,.590,.194,.137,0.0,4.5,2.2,15.0,1.3,0.1,8.1,12.3,0.9,0.7,1.5,.123,-0.4,0.9,0.5,0.4,,paxsojo01
17,Hot Rod Williams,29,CLE,C,17,0,567,19.2,.631,.000,.708,11.0,15.6,13.4,11.4,2.2,1.8,13.3,18.6,1.4,0.9,2.3,.193,2.6,1.9,4.5,0.9,,williho01
18,Craig Ehlo,30,CLE,SG,17,14,552,12.8,.505,.336,.138,5.0,11.0,8.2,20.4,2.0,0.5,10.0,14.7,0.5,0.6,1.2,.102,1.6,1.4,2.9,0.7,,ehlocr01
19,Clifford Robinson,25,POR,SF,21,0,522,12.9,.492,.030,.391,5.9,14.6,10.3,12.7,2.1,2.7,10.8,21.4,0.1,0.7,0.8,.074,-1.5,1.5,0.1,0.3,,robincl02
20,Patrick Ewing,29,NYK,C,12,12,482,19.9,.502,.004,.305,8.3,25.6,16.8,11.7,0.8,4.6,7.8,28.5,0.5,1.2,1.7,.167,2.8,2.4,5.1,0.9,,ewingpa01
21,Mark Eaton,35,UTA,C,16,16,473,9.7,.631,.000,.587,8.2,15.5,11.9,1.2,0.8,5.2,16.0,6.6,0.4,0.5,0.9,.091,-1.1,1.9,0.8,0.3,,eatonma01
