Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Michael Jordan,34,CHI,SG,21,21,872,28.1,.545,.082,.424,4.5,11.0,7.6,19.9,2.1,1.1,6.7,36.6,3.6,1.2,4.8,.265,8.0,1.0,9.0,2.4,Finals MVP-1,jordami01
2,Scottie Pippen,32,CHI,SF,21,21,836,19.5,.500,.269,.456,7.0,15.7,11.1,23.6,3.1,1.9,12.6,23.0,1.4,1.5,2.9,.166,3.1,2.5,5.6,1.6,,pippesc01
3,Karl Malone,34,UTA,PF,20,20,795,24.2,.534,.007,.393,7.6,24.5,16.5,19.5,1.6,2.1,10.9,34.1,1.3,1.7,3.0,.184,5.7,1.4,7.1,1.8,,malonka01
4,Dennis Rodman,36,CHI,PF,21,9,722,10.8,.419,.038,.362,16.3,26.9,21.3,8.7,1.1,1.4,22.3,10.3,0.2,1.2,1.5,.097,-1.9,0.2,-1.7,0.0,,rodmade01
5,Bryon Russell,27,UTA,SF,20,13,698,12.8,.600,.429,.551,2.2,13.3,8.0,5.4,1.7,0.6,8.5,14.0,1.1,1.1,2.2,.151,1.6,1.6,3.2,0.9,,russebr01
6,Toni Kukoč,29,CHI,SF,21,17,637,18.5,.561,.280,.284,4.5,11.6,7.9,17.5,2.3,1.3,9.9,20.4,1.5,0.9,2.4,.182,3.2,1.9,5.1,1.1,,kukocto01
7,Jeff Hornacek,34,UTA,SG,20,20,636,12.1,.525,.169,.365,1.4,7.7,4.7,17.6,1.8,0.5,13.4,18.4,0.5,0.8,1.3,.097,0.4,0.4,0.8,0.4,,hornaje01
8,Reggie Miller,32,IND,SG,16,16,628,17.4,.588,.413,.409,1.1,4.6,2.9,10.1,1.7,0.4,9.0,23.6,1.6,0.4,2.0,.151,4.7,-0.6,4.1,1.0,,millere01
9,John Stockton,35,UTA,PG,20,20,596,20.0,.569,.159,.433,3.4,8.5,6.1,47.1,2.9,0.4,19.7,20.0,1.2,1.0,2.2,.179,4.5,2.0,6.4,1.2,,stockjo01
10,Ron Harper,34,CHI,PG,21,21,563,13.3,.507,.156,.320,4.6,12.7,8.5,14.1,2.0,2.6,11.5,13.3,0.6,0.9,1.5,.126,-0.1,2.4,2.3,0.6,,harpero01
11,Shaquille O'Neal,25,LAL,C,13,13,501,31.0,.604,.000,.616,11.4,20.6,15.9,17.8,0.8,5.1,11.6,34.3,1.8,0.3,2.1,.200,7.2,0.6,7.8,1.2,,onealsh01
12,Mark Jackson,32,IND,PG,16,16,494,17.5,.518,.291,.268,4.9,13.9,9.6,48.5,2.6,0.0,24.9,19.0,0.6,0.6,1.2,.121,4.0,0.5,4.5,0.8,,jacksma01
13,Rik Smits,31,IND,C,16,16,476,19.6,.559,.005,.306,4.8,17.9,11.6,9.5,0.9,2.3,8.1,27.0,1.0,0.6,1.6,.163,1.8,0.6,2.4,0.5,,smitsri01
14,Eddie Jones,26,LAL,SG,13,13,476,20.6,.609,.324,.514,3.0,10.1,6.5,11.3,3.0,3.3,8.6,19.3,1.5,0.2,1.8,.179,3.9,2.2,6.1,1.0,,jonesed02
15,Dale Davis,28,IND,C,16,16,466,15.7,.618,.000,.744,12.6,20.4,16.7,4.7,0.6,3.0,15.5,14.4,0.8,0.6,1.4,.146,1.9,0.5,2.4,0.5,,davisda01
16,Antonio Davis,29,IND,PF,16,0,459,14.2,.555,.000,1.033,10.8,19.4,15.2,5.3,1.5,3.1,15.9,17.1,0.6,0.7,1.3,.135,-0.7,1.0,0.3,0.3,,davisan01
17,Luc Longley,29,CHI,C,18,16,456,12.3,.518,.000,.325,8.9,16.0,12.3,13.1,1.5,2.6,20.8,18.1,0.2,0.7,0.9,.092,-2.8,1.6,-1.2,0.1,,longllu01
18,Rick Fox,28,LAL,SF,13,13,428,13.9,.572,.465,.202,5.0,11.5,8.2,19.1,1.4,0.5,14.5,15.7,0.9,0.0,0.8,.094,1.4,-0.2,1.2,0.3,,foxri01
19,Gary Payton,29,SEA,PG,10,10,428,23.0,.585,.273,.273,2.6,6.9,4.8,30.4,2.4,0.2,11.3,25.6,1.7,-0.1,1.5,.170,5.8,-0.4,5.4,0.8,,paytoga01
20,Robert Horry,27,LAL,PF,13,13,422,16.1,.636,.243,.586,9.6,14.6,12.0,14.6,1.8,2.5,17.0,11.6,1.0,0.1,1.2,.133,2.0,1.7,3.7,0.6,,horryro01
21,Steve Kerr,32,CHI,PG,21,0,415,11.3,.601,.539,.289,2.3,2.8,2.5,13.5,1.0,0.0,5.5,10.4,1.0,0.3,1.3,.149,0.9,0.2,1.1,0.3,,kerrst01
22,Chris Mullin,34,IND,SF,16,16,412,13.9,.581,.460,.186,4.2,13.4,9.0,10.4,2.1,1.7,16.4,17.7,0.4,0.5,0.9,.103,2.1,1.1,3.3,0.5,,mullich01
23,Allan Houston,26,NYK,SG,10,10,403,14.0,.526,.131,.331,1.8,10.2,5.9,14.6,0.7,0.2,13.8,27.8,0.2,0.3,0.5,.055,0.7,-1.1,-0.4,0.2,,houstal01
24,Shandon Anderson,24,UTA,SG,20,0,378,11.6,.562,.107,.359,8.8,11.2,10.1,9.2,0.7,0.2,20.1,19.4,0.1,0.5,0.5,.065,-0.1,-0.8,-0.9,0.1,,andersh01
25,Detlef Schrempf,35,SEA,SF,10,10,375,18.4,.568,.112,.304,5.9,18.6,12.3,18.2,1.0,0.2,13.4,20.7,0.8,0.0,0.8,.104,2.6,-1.0,1.5,0.3,,schrede01
26,Tim Duncan,21,SAS,PF,9,9,374,20.4,.559,.007,.429,6.7,18.2,12.8,9.3,0.7,4.3,13.1,24.8,0.6,0.7,1.2,.155,2.3,1.6,3.8,0.5,,duncati01
27,Vin Baker,26,SEA,C,10,10,371,19.5,.524,.000,.284,13.5,16.9,15.2,8.8,2.7,3.3,12.7,22.1,0.5,0.2,0.6,.082,1.4,-0.2,1.3,0.3,,bakervi01
28,Glen Rice,30,CHH,SF,9,9,369,18.2,.543,.208,.208,3.7,13.3,8.6,7.5,0.8,0.6,6.4,27.5,0.6,0.2,0.8,.105,3.2,-0.8,2.4,0.4,,ricegl01
