Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Magic Johnson,31,LAL,PG,19,19,823,22.7,.598,.265,.664,3.5,19.1,11.4,45.1,1.5,0.0,18.2,23.3,2.4,0.9,3.3,.193,6.2,1.4,7.6,2.0,,johnsma02
2,Sam Perkins,29,LAL,PF,19,19,752,17.0,.625,.136,.493,6.8,18.5,12.8,7.0,1.0,2.3,12.1,18.4,1.4,0.9,2.3,.150,2.1,1.7,3.8,1.1,,perkisa01
3,James Worthy,29,LAL,SF,18,18,733,14.6,.502,.069,.208,4.2,7.9,6.1,16.8,1.4,0.2,9.6,25.8,0.2,0.5,0.7,.048,1.0,-0.8,0.2,0.4,,worthja01
4,Scottie Pippen,25,CHI,SF,17,17,704,22.0,.564,.060,.358,6.9,19.9,13.6,21.8,3.2,2.0,14.4,25.2,1.2,1.7,2.9,.197,3.8,2.7,6.5,1.5,,pippesc01
5,Michael Jordan,27,CHI,SG,17,17,689,32.0,.600,.069,.394,3.4,16.0,9.9,36.7,3.2,2.4,8.9,32.7,3.2,1.5,4.8,.333,10.5,4.1,14.6,2.9,Finals MVP-1,jordami01
6,Byron Scott,29,LAL,SG,18,18,678,11.7,.590,.204,.183,2.4,7.8,5.1,6.6,1.8,0.4,7.8,14.5,0.9,0.6,1.4,.100,0.0,1.0,1.0,0.5,,scottby01
7,Horace Grant,25,CHI,PF,17,17,666,16.0,.620,.000,.385,11.0,15.1,13.1,8.0,1.2,0.7,9.9,14.1,1.6,1.1,2.6,.189,2.4,-0.2,2.2,0.7,,grantho01
8,Clyde Drexler,28,POR,SG,16,16,633,21.7,.556,.208,.364,7.2,17.2,12.1,33.6,2.8,1.7,16.3,25.3,1.1,1.0,2.1,.159,5.7,3.1,8.8,1.7,,drexlcl01
9,Vlade Divac,22,LAL,C,19,19,609,17.5,.620,.035,.413,10.0,15.4,12.7,5.5,2.3,4.3,16.8,18.1,0.8,1.0,1.7,.137,1.3,2.9,4.3,1.0,,divacvl01
10,Terry Porter,27,POR,PG,16,16,595,18.7,.605,.230,.387,1.5,7.4,4.4,27.7,2.1,0.1,11.8,19.6,1.6,0.6,2.2,.177,4.5,0.8,5.3,1.1,,portete01
