Rk,Player,Age,Team,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
35,Kyle Macy,24,PHO,PG,7,243,11.3,.495,.124,.180,4.8,5.1,4.9,14.3,1.3,0.2,11.9,17.6,0.2,-0.1,0.1,.026,-2.2,-1.7,-4.0,-0.1,,macyky01
36,Rick Mahorn,23,WSB,PF,7,242,10.9,.467,.000,.192,6.3,22.4,14.2,8.4,2.1,1.2,16.8,16.5,-0.1,0.5,0.3,.066,-0.7,1.1,0.4,0.1,,mahorri01
37,Jeff Ruland,23,WSB,C,7,237,16.0,.574,.013,.709,13.4,18.0,15.6,3.5,0.6,1.0,18.2,22.4,0.3,0.3,0.6,.130,2.3,-1.6,0.7,0.2,,rulanje01
38,Marques Johnson,25,MIL,SF,6,235,15.1,.477,.040,.420,11.4,12.7,12.0,13.8,1.3,0.5,9.2,23.5,0.3,0.0,0.3,.065,1.3,-1.6,-0.3,0.1,,johnsma01
39,Alvan Adams,27,PHO,C,7,233,18.9,.566,.000,.304,8.6,15.6,11.9,14.7,2.8,2.3,16.8,21.1,0.3,0.1,0.5,.095,1.1,1.2,2.3,0.3,,adamsal01
40,Brian Winters,29,MIL,SG,6,232,12.8,.577,.130,.312,2.0,6.7,4.1,18.8,1.8,0.3,20.1,20.0,0.2,0.0,0.2,.044,0.2,-0.7,-0.5,0.1,,wintebr01
41,Spencer Haywood,32,WSB,PF,7,231,18.2,.537,.000,.304,7.6,11.5,9.5,5.8,0.9,3.6,10.3,26.4,0.3,0.3,0.7,.136,3.8,0.3,4.2,0.3,,haywosp01
42,Truck Robinson,30,PHO,PF,7,213,15.7,.551,.000,.125,6.9,20.8,13.6,11.8,1.1,0.2,10.6,17.4,0.3,0.0,0.3,.074,0.1,-1.0,-0.8,0.1,,robintr01
43,Bob Lanier,33,MIL,C,6,212,17.3,.527,.013,.313,9.9,18.1,13.6,17.0,1.9,1.5,13.3,21.0,0.3,0.1,0.4,.090,2.3,0.5,2.9,0.3,,laniebo01
44,Mickey Johnson,29,MIL,PF,6,206,21.7,.646,.013,.520,8.5,11.7,9.9,14.6,2.0,1.2,12.4,21.6,0.8,0.0,0.9,.201,4.7,1.0,5.7,0.4,,johnsmi01
45,Bill Hanzlik,24,SEA,SF,8,203,10.8,.595,.029,.647,5.2,11.1,8.2,13.7,1.5,1.4,22.9,11.8,0.2,0.3,0.5,.111,-1.3,1.2,-0.1,0.1,,hanzlbi01
46,Rich Kelley,28,PHO,C,7,191,15.4,.541,.000,.370,9.9,17.8,13.7,19.1,1.5,0.8,16.0,15.4,0.3,0.0,0.4,.089,-0.1,0.5,0.4,0.1,,kelleri01
47,James Donaldson,24,SEA,C,8,189,13.8,.504,.000,.558,14.1,26.5,20.4,5.3,0.5,1.5,15.7,14.2,0.2,0.4,0.5,.132,0.2,-1.3,-1.0,0.0,,donalja01
48,Mike Bratz,26,SAS,PG,9,180,9.6,.381,.346,.192,1.1,7.3,4.1,32.8,2.4,0.0,17.5,15.0,-0.1,0.1,0.0,.007,-2.2,0.3,-1.9,0.0,,bratzmi01
49,George Johnson,33,SAS,C,9,175,8.9,.539,.000,.625,6.8,21.3,13.7,7.9,1.6,4.7,28.2,3.2,0.1,0.2,0.3,.090,-3.1,4.2,1.0,0.1,,johnsge02
50,Walter Davis,27,PHO,SF,7,173,20.0,.502,.026,.207,3.0,11.2,6.9,26.1,1.3,0.3,8.7,31.5,0.3,0.0,0.3,.086,1.2,-1.6,-0.4,0.1,,daviswa03
51,Kevin Grevey,28,WSB,SG,7,159,11.5,.513,.143,.339,1.4,5.8,3.5,11.1,0.9,0.4,8.5,18.5,0.2,0.2,0.3,.102,1.9,-0.5,1.4,0.1,,greveke01
52,John Johnson,34,SEA,SF,7,159,10.1,.444,.000,.289,4.7,4.5,4.6,30.4,1.9,0.0,20.4,14.3,0.0,0.2,0.2,.050,-0.6,0.3,-0.4,0.1,,johnsjo01
53,Fred Brown,33,SEA,SG,8,158,17.6,.509,.056,.112,4.0,5.8,4.9,21.7,1.6,0.0,8.8,27.4,0.2,0.2,0.3,.093,3.4,-1.1,2.3,0.2,,brownfr01
54,Wally Walker,27,SEA,SF,8,157,8.9,.417,.000,.089,8.1,13.0,10.6,14.1,1.3,1.4,13.0,14.5,-0.1,0.2,0.2,.051,-2.7,0.5,-2.2,0.0,,walkewa01
55,Don Collins,23,WSB,SG,7,149,6.0,.457,.000,.159,6.6,10.1,8.3,6.3,1.3,0.4,18.9,16.3,-0.2,0.2,0.0,.009,-3.7,0.0,-3.7,-0.1,,collido02
