Rk,Player,Age,Team,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
84,Eddie Johnson,26,ATL,SG,2,67,5.1,.396,.000,.154,0.0,13.1,5.9,27.4,0.0,1.0,20.1,24.3,-0.2,0.0,-0.2,-0.141,-5.7,-2.2,-8.0,-0.1,,johnsed02
85,Mike Dunleavy,27,HOU,SG,3,66,12.9,.467,.182,.273,0.0,4.8,2.3,22.5,1.7,0.0,3.9,17.2,0.1,0.0,0.1,.095,-1.2,1.0,-0.2,0.0,,dunlemi01
86,David Thompson,27,DEN,SG,3,66,10.4,.485,.091,.212,6.5,10.4,8.4,11.8,0.7,0.0,18.1,25.9,-0.1,0.0,-0.1,-0.065,-3.2,-2.8,-6.0,-0.1,,thompda01
87,Tree Rollins,26,ATL,C,2,65,4.1,.451,.000,.667,9.1,6.8,8.1,5.2,0.0,6.0,39.2,9.2,-0.1,0.0,-0.1,-0.056,-5.9,1.6,-4.3,0.0,,rollitr01
88,Mark Landsberger,26,LAL,PF,9,60,5.3,.386,.000,1.000,20.5,18.5,19.4,3.6,0.0,0.0,23.6,11.1,0.0,0.0,0.0,.015,-3.5,-3.9,-7.4,-0.1,,landsma01
89,John Drew,27,ATL,SF,2,59,5.4,.422,.000,.545,12.1,9.9,11.1,3.5,0.0,0.0,15.5,25.7,-0.1,0.0,-0.1,-0.102,-5.6,-3.3,-8.9,-0.1,,drewjo01
90,Albert King,22,NJN,SF,2,58,23.7,.568,.000,.152,5.9,10.6,8.2,22.5,4.3,1.1,12.4,29.7,0.1,0.1,0.2,.181,4.4,3.8,8.2,0.2,,kingal01
91,Jim Brewer,30,LAL,PF,8,57,8.5,.500,.000,.000,7.9,12.4,10.2,7.5,1.6,5.5,40.0,6.9,0.0,0.1,0.0,.035,-0.8,2.5,1.7,0.1,,breweji01
92,Calvin Murphy,33,HOU,PG,3,57,2.0,.333,.136,.364,3.3,1.9,2.6,10.7,1.0,0.0,13.6,22.9,-0.2,0.0,-0.2,-0.133,-7.6,-2.8,-10.4,-0.1,,murphca01
93,Kenny Higgs,27,DEN,PG,3,54,7.1,.438,.095,.571,2.0,4.2,3.1,13.0,2.5,0.0,16.0,22.5,-0.1,0.0,-0.1,-0.067,-7.5,-0.6,-8.0,-0.1,,higgske01
94,Charles Davis,23,WSB,SF,6,52,3.2,.447,.059,.118,2.1,8.9,5.4,9.1,1.0,1.1,28.1,20.0,-0.2,0.1,-0.1,-0.095,-5.0,-0.7,-5.7,0.0,,davisch02
