Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Patrick Ewing,31,NYK,C,25,25,1032,20.6,.495,.023,.339,9.9,24.4,16.9,13.4,1.7,5.7,13.1,28.6,0.8,2.4,3.2,.150,2.1,2.3,4.4,1.7,,ewingpa01
2,Charles Oakley,30,NYK,PF,25,25,992,15.9,.536,.000,.389,13.6,21.8,17.6,10.9,1.9,0.4,17.5,17.4,1.2,1.9,3.1,.149,1.0,1.3,2.3,1.1,,oaklech01
3,Hakeem Olajuwon,31,HOU,C,23,23,989,27.7,.568,.008,.313,6.8,21.2,14.5,20.4,2.2,6.5,12.4,31.4,2.3,2.0,4.3,.208,4.2,4.3,8.5,2.6,Finals MVP-1,olajuha01
4,Vernon Maxwell,28,HOU,SG,23,23,880,10.4,.471,.439,.172,1.7,8.3,5.2,17.6,1.2,0.2,12.7,20.5,-0.2,0.5,0.3,.017,-2.0,-1.2,-3.2,-0.3,,maxweve01
5,Otis Thorpe,31,HOU,PF,23,23,854,14.4,.584,.010,.345,9.7,19.7,15.1,10.1,0.8,0.8,14.2,14.2,1.4,1.0,2.4,.133,-0.3,0.3,-0.1,0.4,,thorpot01
6,John Starks,28,NYK,SG,25,18,840,14.6,.528,.457,.436,1.2,7.2,4.1,25.0,2.3,0.2,14.2,22.2,1.3,1.1,2.4,.138,1.5,1.2,2.6,1.0,,starkjo01
7,Robert Horry,23,HOU,SF,23,23,778,16.7,.541,.394,.226,6.4,13.5,10.2,16.7,2.4,1.8,9.8,16.5,1.5,1.0,2.5,.152,2.3,2.7,5.0,1.4,,horryro01
8,Derek Harper,32,NYK,PG,23,22,750,14.1,.514,.368,.242,2.0,6.7,4.3,25.4,3.1,0.1,13.8,18.3,0.8,1.1,2.0,.127,0.6,2.6,3.1,1.0,,harpede01
9,Karl Malone,30,UTA,PF,16,16,703,24.6,.531,.012,.473,8.4,24.3,16.2,15.7,1.8,1.4,7.7,29.5,2.0,1.1,3.1,.209,5.6,0.9,6.5,1.5,,malonka01
10,Kenny Smith,28,HOU,PG,23,23,696,14.7,.585,.402,.275,0.9,7.4,4.4,21.4,1.7,0.4,13.5,16.4,1.3,0.5,1.7,.119,0.9,0.5,1.4,0.6,,smithke01
11,Anthony Mason,27,NYK,PF,25,0,660,13.0,.553,.000,.562,9.3,17.3,13.2,12.2,1.2,0.6,17.4,14.5,0.8,1.0,1.9,.135,-0.2,1.6,1.5,0.6,,masonan01
12,Charles Smith,28,NYK,SF,25,18,612,12.3,.532,.017,.395,6.4,12.2,9.3,7.6,1.1,3.0,13.3,18.2,0.6,0.9,1.5,.117,-1.8,1.9,0.1,0.3,,smithch01
13,John Stockton,31,UTA,PG,16,16,597,19.9,.523,.124,.326,2.7,7.4,5.0,46.4,2.5,1.0,15.3,20.5,1.3,0.5,1.8,.144,4.5,1.1,5.7,1.1,,stockjo01
14,Derrick McKey,27,IND,SF,16,16,587,11.5,.476,.169,.331,6.9,13.1,10.1,19.2,2.4,1.2,19.7,15.8,0.1,1.0,1.1,.091,-0.1,1.8,1.7,0.5,,mckeyde01
15,Dale Davis,24,IND,PF,16,16,578,11.2,.505,.009,.340,13.7,19.3,16.6,3.2,1.7,2.3,19.8,12.0,0.0,1.1,1.1,.095,-0.9,0.0,-0.8,0.2,,davisda01
16,Reggie Miller,28,IND,SG,16,16,576,21.9,.581,.307,.415,2.4,7.5,5.0,16.5,2.0,0.5,9.1,27.9,2.1,0.7,2.8,.236,6.8,0.7,7.5,1.4,,millere01
17,Jeff Hornacek,30,UTA,SG,16,16,558,18.0,.591,.190,.380,2.2,5.9,4.0,20.4,2.4,0.8,11.8,19.9,1.4,0.4,1.9,.159,3.2,1.5,4.7,0.9,,hornaje01
18,Haywoode Workman,28,IND,PG,16,15,511,12.4,.433,.160,.290,2.7,9.1,6.0,36.2,3.0,0.2,20.5,16.7,0.1,0.8,0.9,.089,-0.3,1.3,1.0,0.4,,workmha01
19,Dikembe Mutombo,27,DEN,C,12,12,511,17.8,.526,.000,.907,9.3,22.8,16.3,7.3,0.9,9.3,16.6,16.4,0.4,0.9,1.3,.121,-0.1,3.9,3.8,0.7,,mutomdi01
20,Felton Spencer,26,UTA,C,16,16,492,10.8,.500,.000,.476,14.1,17.6,15.8,2.3,0.3,3.1,15.9,14.4,0.3,0.5,0.8,.079,-2.8,-1.1,-3.9,-0.2,,spencfe01
21,Sam Cassell,24,HOU,PG,22,0,478,16.3,.537,.281,.463,4.8,8.8,7.0,31.2,2.3,0.7,19.6,23.3,0.6,0.5,1.1,.111,0.4,1.3,1.7,0.4,,cassesa01
22,Rik Smits,27,IND,C,16,16,450,16.1,.522,.000,.284,6.4,15.7,11.3,14.9,1.2,1.5,14.9,29.4,0.3,0.7,1.0,.109,0.0,0.1,0.1,0.2,,smitsri01
23,Greg Anthony,26,NYK,PG,25,3,436,8.6,.440,.477,.188,2.4,5.1,3.7,23.7,2.4,1.4,18.3,18.0,-0.2,0.6,0.4,.040,-2.1,1.4,-0.7,0.1,,anthogr01
24,LaPhonso Ellis,23,DEN,PF,12,12,436,16.6,.534,.042,.380,7.4,18.0,12.8,11.9,1.1,1.7,10.3,19.6,0.8,0.4,1.2,.131,1.1,1.0,2.1,0.4,,ellisla01
25,Kevin Johnson,27,PHO,PG,10,10,427,22.1,.537,.047,.382,2.4,7.0,4.6,37.8,1.2,0.2,12.1,28.4,1.3,-0.1,1.2,.136,4.9,-1.9,3.0,0.5,,johnske02
26,Danny Manning,27,ATL,PF,11,11,426,19.6,.547,.000,.384,7.2,13.4,10.2,16.4,1.9,1.6,11.5,24.5,0.9,0.6,1.5,.165,2.2,2.0,4.2,0.7,,mannida01
27,Charles Barkley,30,PHO,PF,10,10,425,27.8,.575,.185,.255,8.4,27.0,17.1,20.0,3.0,1.5,10.1,27.0,1.5,0.4,1.8,.208,7.0,1.9,8.8,1.1,,barklch01
28,Mookie Blaylock,26,ATL,PG,11,11,415,17.0,.464,.454,.213,4.2,10.9,7.5,38.6,3.1,0.9,17.2,20.6,0.3,0.6,0.9,.104,2.8,1.7,4.5,0.7,,blaylmo01
29,Tyrone Corbin,31,UTA,SF,16,11,413,11.1,.444,.113,.142,6.9,15.3,11.0,5.9,2.8,0.6,8.9,14.0,0.1,0.5,0.6,.073,-0.8,1.0,0.2,0.2,,corbity01
30,Bryant Stith,23,DEN,SG,12,12,413,13.9,.530,.010,.588,6.6,8.9,7.8,11.3,1.5,0.3,9.8,15.9,0.8,0.2,1.0,.115,0.4,0.8,1.1,0.3,,stithbr01
31,Dan Majerle,28,PHO,SG,10,10,410,9.7,.459,.465,.126,3.8,8.2,5.8,8.2,1.4,0.7,6.9,15.1,0.2,-0.1,0.2,.019,-1.0,-1.4,-2.4,-0.1,,majerda01
32,Reggie Williams,29,DEN,SF,12,12,405,14.7,.520,.336,.235,5.3,11.9,8.7,20.5,1.2,2.0,14.6,21.9,0.4,0.3,0.8,.089,0.7,1.1,1.8,0.4,,willire01
33,Antonio Davis,25,IND,PF,16,0,401,14.9,.568,.011,.764,11.6,20.0,16.0,3.0,1.5,3.5,15.6,16.1,0.5,0.8,1.3,.152,-0.1,0.9,0.8,0.3,,davisan01
34,Hubert Davis,23,NYK,SG,23,7,396,5.6,.448,.289,.264,1.5,5.0,3.2,11.7,0.7,0.6,14.5,18.5,-0.3,0.3,0.1,.011,-3.6,-1.1,-4.7,-0.3,,davishu01
35,Horace Grant,28,CHI,PF,10,10,393,21.2,.585,.008,.350,9.7,13.4,11.6,11.8,1.4,3.6,6.7,18.1,1.3,0.4,1.7,.206,4.6,0.8,5.4,0.7,,grantho01
36,Scottie Pippen,28,CHI,SF,10,10,384,22.8,.521,.230,.265,5.7,20.6,13.4,23.8,3.5,1.4,14.5,31.9,0.5,0.7,1.2,.149,4.0,1.6,5.6,0.7,,pippesc01
37,Mario Elie,30,HOU,SF,23,0,382,11.9,.529,.302,.443,2.9,8.5,5.9,15.4,1.1,0.5,14.2,18.0,0.4,0.2,0.6,.076,-1.3,-0.5,-1.8,0.0,,eliema01
38,Kevin Willis,31,ATL,PF,11,11,362,14.5,.485,.039,.163,11.5,26.0,18.6,5.4,1.2,1.0,12.1,19.9,0.1,0.7,0.8,.105,-1.0,-0.8,-1.8,0.0,,willike02
39,B.J. Armstrong,26,CHI,PG,10,10,360,16.7,.610,.113,.415,0.7,7.3,4.1,12.2,1.3,0.0,6.7,17.9,1.1,0.1,1.3,.168,1.9,-0.4,1.5,0.3,,armstbj01
40,David Benoit,25,UTA,SF,16,5,357,10.0,.432,.131,.205,7.3,14.4,10.8,4.8,1.1,2.3,10.7,19.6,-0.2,0.3,0.1,.014,-2.6,-0.6,-3.2,-0.1,,benoida01
41,Jay Humphries,31,UTA,SG,16,0,356,11.7,.490,.204,.259,2.6,9.5,6.0,18.7,2.0,0.4,11.7,18.0,0.2,0.3,0.5,.068,-2.2,1.0,-1.1,0.1,,humphja01
42,A.C. Green,30,PHO,PF,10,2,350,16.0,.567,.205,.747,8.7,18.8,13.4,5.2,1.4,0.4,6.0,14.4,0.9,0.0,0.9,.125,1.9,-1.0,0.9,0.3,,greenac01
