Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Richard Hamilton,26,DET,SG,25,25,1079,13.7,.512,.078,.272,3.2,8.7,5.9,18.7,1.1,0.2,13.7,25.2,0.3,1.6,1.9,.085,-0.1,-0.3,-0.4,0.5,,hamilri01
2,Tayshaun Prince,24,DET,SF,25,25,1023,13.8,.504,.195,.195,6.4,12.1,9.2,13.9,1.4,0.7,10.0,17.3,1.0,1.7,2.7,.129,1.4,0.8,2.2,1.1,,princta01
3,Chauncey Billups,28,DET,PG,25,25,985,20.0,.577,.372,.440,2.7,10.4,6.5,29.1,1.4,0.4,10.8,22.0,3.0,1.6,4.6,.224,4.9,1.4,6.3,2.0,,billuch01
4,Ben Wallace,30,DET,C,25,25,979,16.2,.489,.019,.481,11.3,23.1,17.1,4.2,2.5,5.1,10.5,14.0,0.5,2.7,3.2,.158,0.2,2.8,3.0,1.2,,wallabe01
5,Tim Duncan,28,SAS,PF,23,23,869,24.9,.526,.012,.482,12.2,26.6,19.6,14.8,0.5,4.3,10.7,31.1,1.9,1.6,3.5,.191,4.0,1.5,5.5,1.6,Finals MVP-1,duncati01
6,Tony Parker,22,SAS,PG,23,23,858,12.0,.490,.131,.238,1.8,7.2,4.6,22.3,1.1,0.2,14.9,26.0,-0.2,0.7,0.6,.032,-1.5,-1.3,-2.7,-0.2,,parketo01
7,Rasheed Wallace,30,DET,PF,25,25,826,15.6,.511,.277,.174,5.5,19.6,12.4,7.1,1.8,4.5,10.2,21.5,0.3,2.0,2.3,.136,0.0,2.5,2.5,0.9,,wallara01
8,Bruce Bowen,33,SAS,SF,23,23,814,5.4,.487,.523,.133,1.3,8.1,4.8,6.7,0.7,1.1,10.0,8.7,0.3,0.7,1.0,.060,-2.4,1.5,-0.8,0.2,,bowenbr01
9,Manu Ginóbili,27,SAS,SG,23,15,772,24.8,.652,.336,.647,3.0,17.2,10.3,23.8,2.0,0.6,15.2,26.3,3.0,1.2,4.2,.260,6.1,3.1,9.2,2.2,,ginobma01
10,Shawn Marion,26,PHO,PF,15,15,635,18.4,.550,.193,.175,8.5,22.0,15.5,5.2,1.7,2.8,8.0,18.2,1.2,0.5,1.8,.133,2.4,0.4,2.8,0.8,,mariosh01
11,Robert Horry,34,SAS,PF,23,0,618,17.9,.591,.521,.252,9.1,14.9,12.0,12.7,1.9,2.3,9.9,15.2,1.6,1.0,2.6,.199,4.2,3.4,7.6,1.5,,horryro01
12,Steve Nash,30,PHO,PG,15,15,610,23.4,.604,.201,.230,1.7,11.0,6.6,43.9,1.2,0.3,19.1,26.6,2.1,0.0,2.1,.164,5.9,-1.2,4.7,1.0,,nashst01
13,Eddie Jones,33,MIA,SF,15,15,601,13.3,.587,.513,.269,2.2,13.7,8.6,10.4,1.6,1.1,11.2,15.7,0.8,1.0,1.8,.144,1.2,1.7,3.0,0.7,,jonesed02
14,Amar'e Stoudemire,22,PHO,C,15,15,601,27.6,.616,.011,.644,11.7,17.7,14.8,4.9,0.8,3.4,11.4,30.4,2.4,0.3,2.7,.218,5.0,-0.6,4.4,1.0,,stoudam01
15,Dwyane Wade,23,MIA,SG,14,14,571,24.3,.561,.036,.495,5.3,10.7,8.3,32.5,2.1,2.1,15.3,33.9,1.2,1.0,2.1,.180,4.9,1.0,5.9,1.1,,wadedw01
