Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Shai Gilgeous-Alexander,26,OKC,PG,23,23,851,25.3,.574,.224,.431,2.9,12.9,7.9,30.6,2.2,2.4,9.1,32.9,2.6,1.4,3.9,.222,5.7,2.6,8.3,2.2,Finals MVP-1,gilgesh01
2,Jalen Williams,23,OKC,SG,23,23,796,19.1,.544,.290,.323,3.2,14.2,8.7,22.3,2.0,1.1,8.3,26.3,1.3,1.2,2.5,.153,2.5,1.7,4.2,1.2,,willija06
3,Tyrese Haliburton,24,IND,PG,23,23,772,20.0,.581,.505,.203,1.1,16.5,9.2,39.1,1.9,1.8,13.4,22.7,1.7,0.8,2.5,.158,3.9,0.8,4.7,1.3,,halibty01
4,Pascal Siakam,30,IND,PF,23,23,771,20.3,.598,.240,.358,4.8,16.5,11.0,16.4,1.8,1.9,7.1,24.4,1.8,0.8,2.6,.161,3.1,1.1,4.3,1.2,,siakapa01
5,Andrew Nembhard,25,IND,SG,23,23,769,12.9,.590,.386,.206,2.2,8.5,5.6,19.7,2.2,0.6,14.7,16.4,0.8,0.6,1.5,.091,-0.3,1.3,1.0,0.6,,nembhan01
6,Mikal Bridges,28,NYK,SF,18,18,706,12.3,.518,.319,.061,3.2,10.2,6.6,11.7,2.1,2.4,12.3,19.0,0.0,0.7,0.7,.045,-0.9,1.2,0.3,0.4,,bridgmi01
7,OG Anunoby,27,NYK,PF,18,18,705,13.1,.539,.490,.235,3.9,9.9,6.8,5.1,2.6,3.1,9.9,18.7,0.3,0.8,1.1,.077,-0.1,1.2,1.0,0.5,,anunoog01
8,Chet Holmgren,22,OKC,C,23,23,686,18.1,.565,.342,.365,6.6,25.1,15.8,4.8,1.2,6.3,8.3,20.8,0.9,1.4,2.3,.161,0.9,1.5,2.4,0.8,,holmgch01
9,Jalen Brunson,28,NYK,PG,18,18,680,22.2,.582,.341,.359,2.0,8.7,5.3,34.0,0.6,0.7,10.8,32.6,2.1,0.3,2.3,.164,5.7,-0.8,4.9,1.2,,brunsja01
10,Myles Turner,28,IND,C,23,23,675,14.9,.607,.411,.438,5.1,13.3,9.4,6.9,0.9,6.2,12.7,19.6,0.7,0.7,1.4,.097,-0.4,1.0,0.6,0.4,,turnemy01
11,Luguentz Dort,25,OKC,SF,23,23,666,8.1,.524,.854,.134,5.2,9.4,7.3,4.0,2.1,1.5,10.3,12.3,0.2,1.0,1.1,.081,-2.3,1.4,-0.9,0.2,,dortlu01
12,Aaron Nesmith,25,IND,SF,23,23,650,14.3,.639,.575,.170,5.1,17.4,11.6,5.8,1.5,2.5,9.2,17.1,1.0,0.7,1.7,.125,0.8,1.0,1.7,0.6,,nesmiaa01
13,Josh Hart,29,NYK,SG,18,14,642,15.1,.599,.375,.465,7.8,21.0,14.2,17.7,1.6,1.6,16.8,14.1,1.1,0.7,1.8,.138,1.1,2.3,3.4,0.9,,hartjo01
14,Karl-Anthony Towns,29,NYK,C,18,18,639,19.1,.589,.260,.340,6.7,31.6,18.9,6.3,1.0,1.9,10.9,25.0,1.0,0.8,1.9,.142,1.6,-0.2,1.4,0.5,,townska01
15,Anthony Edwards,23,MIN,SG,15,15,585,20.2,.564,.436,.299,3.6,19.5,11.7,23.7,1.5,1.9,10.4,27.9,1.1,0.7,1.9,.154,4.8,1.2,6.0,1.2,,edwaran01
16,Jamal Murray,27,DEN,PG,14,14,578,15.1,.555,.384,.224,1.7,11.0,6.4,21.1,1.5,1.7,13.8,23.8,0.4,0.4,0.8,.065,1.9,0.2,2.1,0.6,,murraja01
17,Nikola Jokić,29,DEN,C,14,14,563,24.7,.587,.265,.377,5.7,28.6,17.3,35.6,2.5,1.9,15.0,28.2,1.3,0.8,2.1,.181,6.9,3.8,10.7,1.8,,jokicni01
18,Alex Caruso,30,OKC,SG,23,0,562,15.1,.598,.563,.244,3.3,8.8,6.0,12.6,3.9,2.3,9.7,14.8,0.9,1.1,2.0,.169,0.4,4.7,5.0,1.0,,carusal01
19,Christian Braun,23,DEN,SG,14,14,544,11.9,.548,.473,.209,5.1,12.9,9.0,9.3,1.6,1.7,8.0,14.0,0.6,0.4,1.0,.086,0.2,0.8,1.0,0.4,,braunch01
20,Julius Randle,30,MIN,PF,15,15,533,18.9,.622,.341,.328,6.0,13.2,9.6,22.9,1.1,0.4,15.8,25.3,1.2,0.5,1.7,.152,3.4,0.8,4.2,0.8,,randlju01
21,Aaron Gordon,29,DEN,PF,14,14,522,15.8,.601,.347,.299,10.6,11.6,11.1,11.4,0.8,0.9,12.1,17.8,1.0,0.2,1.3,.116,3.1,-0.9,2.2,0.5,,gordoaa01
22,Isaiah Hartenstein,26,OKC,C,23,20,516,18.3,.632,.000,.224,13.2,23.4,18.2,14.3,1.8,2.3,15.5,14.3,1.1,1.0,2.1,.199,0.9,2.6,3.5,0.7,,harteis01
23,Cason Wallace,21,OKC,SG,23,3,516,10.8,.520,.521,.076,4.8,8.1,6.4,12.4,3.0,1.9,11.5,11.4,0.3,0.8,1.2,.111,-1.7,3.7,2.0,0.5,,wallaca01
24,Jaden McDaniels,24,MIN,PF,15,15,497,15.6,.607,.325,.166,6.4,13.2,9.8,7.2,1.9,2.6,9.0,17.4,0.9,0.6,1.5,.143,0.6,2.0,2.6,0.6,,mcdanja02
25,Obi Toppin,26,IND,PF,23,0,440,14.3,.578,.456,.211,3.6,18.7,11.6,10.4,1.7,1.7,11.4,21.2,0.2,0.5,0.7,.076,0.1,0.3,0.4,0.3,,toppiob01
26,Michael Porter Jr.,26,DEN,SF,14,14,435,8.2,.507,.583,.117,3.6,15.6,9.7,3.0,1.0,1.3,9.3,13.8,0.0,0.3,0.2,.025,-1.1,-1.1,-2.2,0.0,,portemi01
27,Derrick White,30,BOS,SG,11,11,415,18.8,.636,.707,.245,3.9,11.0,7.6,15.8,0.9,2.7,7.4,19.3,1.3,0.5,1.8,.208,5.1,1.4,6.6,0.9,,whitede01
28,Rudy Gobert,32,MIN,C,15,15,411,14.4,.584,.000,.633,13.5,22.9,18.3,3.8,1.0,4.3,11.4,12.0,0.6,0.6,1.2,.138,-0.8,0.4,-0.3,0.2,,goberru01
29,T.J. McConnell,32,IND,PG,23,0,402,19.0,.583,.109,.154,3.7,17.2,10.8,38.0,2.4,0.5,19.1,25.4,0.4,0.5,0.9,.103,1.3,1.3,2.6,0.5,,mccontj01
30,Jaylen Brown,28,BOS,SF,11,11,402,16.1,.542,.323,.338,3.8,17.6,10.9,19.7,1.4,0.7,14.8,29.9,0.1,0.6,0.7,.083,-0.1,0.3,0.2,0.2,,brownja02
31,Jimmy Butler,35,GSW,SF,11,11,397,20.7,.564,.237,.526,7.1,14.2,10.5,24.1,1.8,0.7,6.5,22.2,1.2,0.4,1.6,.191,3.8,1.3,5.1,0.7,,butleji01
32,Draymond Green,34,GSW,PF,12,12,389,7.8,.479,.556,.120,2.5,17.5,9.6,17.9,2.2,2.6,24.0,17.0,-0.6,0.5,-0.1,-0.009,-4.3,1.8,-2.5,0.0,,greendr01
33,Bennedict Mathurin,22,IND,SF,22,0,385,18.5,.628,.405,.696,8.3,13.4,11.0,7.4,1.1,1.7,11.9,25.2,0.9,0.3,1.2,.152,1.6,-0.2,1.4,0.3,,mathube01
34,Brandin Podziemski,21,GSW,SG,12,11,385,10.6,.473,.508,.182,4.5,13.7,8.9,15.0,2.0,0.5,11.2,18.4,-0.1,0.4,0.3,.036,-1.2,0.2,-1.1,0.1,,podzibr01
35,Donte DiVincenzo,28,MIN,SG,15,0,377,9.8,.493,.698,.103,3.8,10.4,7.1,18.9,2.8,1.1,17.5,18.4,-0.1,0.5,0.4,.046,-2.1,1.5,-0.5,0.1,,divindo01
36,Naz Reid,25,MIN,C,15,0,375,13.8,.645,.573,.227,5.0,16.9,11.0,9.9,1.5,3.7,18.8,17.2,0.3,0.5,0.8,.107,0.3,2.2,2.5,0.4,,reidna01
37,Mitchell Robinson,26,NYK,C,18,4,370,15.3,.555,.000,1.098,20.5,19.2,19.9,2.6,2.3,3.8,14.7,10.4,0.5,0.5,1.1,.138,0.0,0.2,0.2,0.2,,robinmi01
38,Mike Conley,37,MIN,PG,15,15,356,8.9,.442,.625,.135,4.0,10.3,7.2,19.0,1.3,0.8,10.6,13.8,0.2,0.3,0.5,.061,-2.0,0.1,-1.9,0.0,,conlemi01
39,Al Horford,38,BOS,C,11,9,348,12.3,.586,.486,.097,6.0,15.0,10.7,8.7,1.1,3.7,8.5,10.8,0.5,0.5,1.1,.145,0.3,2.4,2.7,0.4,,horfoal01
40,Miles McBride,24,NYK,SG,18,0,341,7.7,.533,.656,.189,1.0,6.2,3.6,7.4,1.2,0.6,10.1,13.8,0.1,0.2,0.3,.040,-1.9,0.1,-1.8,0.0,,mcbrimi01
