Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Kobe Bryant,25,LAL,SG,22,22,973,21.0,.506,.211,.361,2.2,10.3,6.2,25.6,2.4,0.6,10.3,29.8,2.1,0.8,2.9,.145,4.6,0.6,5.3,1.8,,bryanko01
2,Richard Hamilton,25,DET,SG,23,23,924,19.6,.530,.096,.341,4.0,9.1,6.6,23.5,1.6,0.1,13.4,27.6,2.3,1.3,3.5,.182,2.3,1.3,3.6,1.3,,hamilri01
3,Ben Wallace,29,DET,C,23,23,924,18.6,.460,.015,.571,11.8,28.8,20.3,8.8,2.7,5.1,12.6,15.0,0.8,2.8,3.6,.186,1.1,4.2,5.3,1.7,,wallabe01
4,Shaquille O'Neal,31,LAL,C,22,22,917,24.8,.565,.000,.827,11.5,25.4,18.5,12.4,0.4,5.4,11.6,25.2,2.6,1.3,3.9,.202,4.5,1.0,5.5,1.7,,onealsh01
5,Chauncey Billups,27,DET,PG,23,23,881,18.8,.546,.374,.476,1.8,7.3,4.5,29.8,2.0,0.2,14.8,21.8,2.5,1.2,3.7,.203,3.2,1.4,4.6,1.4,Finals MVP-1,billuch01
6,Rasheed Wallace,29,DET,PF,23,23,803,15.3,.479,.245,.210,6.7,18.8,12.8,9.3,0.9,4.7,12.1,21.0,0.6,1.6,2.3,.135,-0.2,2.1,1.9,0.8,,wallara01
7,Karl Malone,40,LAL,PF,21,21,798,13.5,.484,.005,.335,5.4,21.6,13.5,16.1,1.7,0.2,15.8,18.1,0.4,0.9,1.3,.079,-0.4,0.5,0.1,0.4,,malonka01
8,Tayshaun Prince,23,DET,SF,23,23,795,15.3,.483,.231,.259,5.9,13.8,9.9,12.5,1.8,3.3,7.4,15.2,1.3,1.5,2.8,.171,0.9,3.1,4.0,1.2,,princta01
9,Kevin Garnett,27,MIN,PF,18,18,783,25.0,.513,.043,.336,6.0,31.3,19.3,24.1,1.6,3.9,14.9,30.3,1.4,1.3,2.7,.163,3.6,2.9,6.5,1.7,,garneke01
10,Gary Payton,35,LAL,PG,22,22,772,11.1,.431,.301,.151,2.9,8.0,5.4,25.3,1.7,0.4,12.4,14.3,0.6,0.4,1.0,.061,-0.3,0.1,-0.2,0.3,,paytoga01
