Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Chris Mullin,28,GSW,SF,81,81,3346,19.9,.586,.110,.265,4.2,10.4,7.4,12.2,2.4,1.1,10.2,23.6,8.1,2.7,10.8,.155,3.6,0.1,3.7,4.8,MVP-6ASNBA1,mullich01
2,Tim Hardaway,25,GSW,PG,81,81,3332,19.1,.537,.236,.244,2.7,7.4,5.1,33.3,2.3,0.2,13.2,24.4,7.2,2.0,9.2,.132,3.9,-1.1,2.8,4.1,MVP-8ASNBA2,hardati01
3,Dennis Rodman,30,DET,PF,82,80,3301,17.0,.574,.159,.220,18.1,34.1,26.2,8.2,1.1,1.3,16.7,11.1,5.6,7.0,12.6,.183,1.9,0.9,2.8,4.0,MVP-10DPOY-2ASNBA3DEF1,rodmade01
4,Joe Dumars,28,DET,SG,82,82,3192,15.4,.538,.092,.362,2.9,3.7,3.3,18.9,1.2,0.2,11.3,23.6,5.7,2.5,8.2,.123,1.3,-0.5,0.7,2.2,DPOY-5ASDEF1,dumarjo01
5,Scottie Pippen,26,CHI,SF,82,82,3164,21.5,.555,.059,.319,6.9,15.8,11.5,25.8,2.5,1.8,14.0,24.6,7.1,5.5,12.7,.192,4.1,2.0,6.1,6.4,MVP-9DPOY-3ASNBA2DEF1,pippesc01
6,Patrick Ewing,29,NYK,C,82,82,3150,22.8,.563,.004,.335,8.4,24.9,16.8,8.5,1.4,5.0,10.7,27.2,6.1,6.9,13.0,.198,2.6,2.2,4.9,5.5,MVP-5ASNBA2DEF2,ewingpa01
7,Ron Harper,28,LAC,SG,82,82,3144,15.4,.510,.163,.308,4.2,11.6,7.9,20.0,2.4,1.4,14.7,23.3,1.1,4.4,5.6,.085,0.6,1.0,1.6,2.8,,harpero01
8,Sean Elliott,23,SAS,SF,82,82,3120,14.4,.564,.079,.318,5.0,10.3,7.7,10.0,1.3,0.6,11.4,18.1,5.0,3.4,8.4,.130,0.4,0.0,0.5,1.9,,elliose01
9,Reggie Miller,26,IND,SG,82,82,3120,17.6,.629,.304,.459,3.1,7.9,5.6,14.5,1.6,0.5,10.4,20.2,9.3,1.7,11.0,.169,3.3,-0.7,2.6,3.6,,millere01
10,Michael Jordan,28,CHI,SG,80,80,3102,27.7,.579,.055,.325,3.5,15.3,9.5,25.7,3.0,1.5,8.8,31.7,12.1,5.6,17.7,.274,7.2,2.5,9.7,9.2,MVP-1DPOY-3ASNBA1DEF1,jordami01
11,Mitch Richmond,26,SAC,SG,80,80,3095,16.3,.548,.183,.277,2.2,9.0,5.6,21.3,1.4,0.6,13.1,25.5,3.4,1.5,4.9,.076,1.3,-1.3,0.0,1.5,,richmmi01
12,Jeff Hornacek,28,PHO,SG,81,81,3078,18.9,.592,.152,.254,4.0,10.3,7.3,19.3,2.5,0.6,11.0,20.9,7.8,3.8,11.6,.181,3.0,1.3,4.3,4.9,AS,hornaje01
13,Reggie Lewis,26,BOS,SG,82,82,3070,17.9,.550,.015,.246,4.4,9.5,7.1,9.0,2.0,2.0,8.1,23.6,5.6,3.5,9.1,.143,1.3,1.0,2.3,3.3,AS,lewisre01
14,Sedale Threatt,30,LAL,PG,82,82,3070,16.6,.540,.060,.233,1.6,7.9,4.7,30.3,2.8,0.3,13.7,18.9,4.7,2.6,7.3,.114,0.6,0.6,1.2,2.5,,threase01
15,Grant Long,25,MIA,PF,82,82,3063,15.8,.568,.025,.454,9.3,16.0,12.6,10.8,2.2,0.8,14.8,17.1,4.9,2.8,7.7,.120,0.7,0.3,1.0,2.3,,longgr01
16,Otis Thorpe,29,HOU,PF,82,82,3056,17.2,.619,.007,.491,10.7,20.5,15.7,12.8,0.9,0.7,17.1,19.7,5.6,3.2,8.9,.140,0.8,-0.4,0.4,1.8,AS,thorpot01
17,Karl Malone,28,UTA,PF,81,81,3054,25.4,.599,.011,.571,8.7,24.1,16.8,13.4,1.8,1.0,11.6,30.3,9.9,5.2,15.1,.237,5.2,0.6,5.7,5.9,MVP-4DPOY-6ASNBA1,malonka01
18,Larry Johnson,22,CHH,PF,82,77,3047,18.9,.548,.017,.325,11.2,20.7,15.9,13.5,1.3,1.0,10.0,21.2,6.4,2.5,8.9,.140,2.4,-1.0,1.4,2.6,ROY-1,johnsla02
19,Dražen Petrović,27,NJN,SG,82,82,3027,15.8,.587,.211,.218,3.3,5.8,4.5,12.7,1.7,0.2,13.0,22.0,6.2,1.6,7.7,.122,1.3,-0.9,0.4,1.8,,petrodr01
20,Hersey Hawkins,25,PHI,SG,81,81,3013,17.0,.578,.203,.409,2.0,8.2,5.1,13.0,2.7,0.9,12.4,22.1,5.4,2.4,7.8,.124,1.3,0.5,1.8,2.9,,hawkihe01
21,Glen Rice,24,MIA,SF,79,79,3007,17.5,.561,.277,.222,3.1,11.7,7.3,10.2,1.5,0.7,8.4,23.9,6.2,1.7,7.9,.126,2.8,-1.0,1.8,2.9,,ricegl01
22,John Stockton,29,UTA,PG,82,82,3002,22.8,.590,.217,.390,2.7,7.3,5.1,53.7,4.1,0.4,20.6,19.9,8.8,4.6,13.4,.215,6.0,2.7,8.7,8.1,MVP-12ASNBA2DEF2,stockjo01
23,Kevin Willis,29,ATL,PF,81,80,2962,19.7,.535,.030,.297,14.7,30.9,22.6,8.6,1.2,1.1,12.5,22.0,4.7,4.1,8.8,.143,1.6,-1.4,0.2,1.7,ASNBA3,willike02
24,Chuck Person,27,IND,SF,81,81,2923,14.5,.546,.276,.153,4.6,11.2,8.1,19.6,1.1,0.4,13.6,22.8,3.0,1.6,4.6,.075,1.3,-1.7,-0.3,1.2,,persoch01
25,Pooh Richardson,25,MIN,PG,82,82,2922,17.4,.504,.123,.141,3.3,8.2,5.7,36.1,2.1,0.5,13.2,22.5,3.1,1.0,4.1,.068,2.7,-1.4,1.3,2.4,,richapo01
26,Jeff Malone,30,UTA,SG,81,81,2922,15.1,.554,.009,.211,2.0,6.8,4.5,10.0,1.0,0.1,8.7,23.9,4.5,2.1,6.6,.108,-0.1,-1.5,-1.7,0.3,,malonje01
27,Isiah Thomas,30,DET,PG,78,78,2918,16.0,.505,.068,.299,2.7,6.9,4.8,31.3,2.1,0.3,15.0,25.3,2.4,3.4,5.8,.095,0.9,0.2,1.1,2.3,AS,thomais01
