Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Isiah Thomas,21,DET,PG,81,81,3093,18.9,.525,.081,.337,3.5,7.7,5.5,30.3,2.9,0.5,15.6,26.1,4.5,3.0,7.4,.115,1.9,0.0,1.9,3.0,MVP-16ASNBA2,thomais01
2,Rick Mahorn,24,WSB,PF,82,82,3023,11.6,.510,.004,.331,6.2,22.5,14.3,5.4,1.4,2.8,16.2,14.4,0.0,6.2,6.2,.099,-2.6,2.2,-0.4,1.2,,mahorri01
3,Mychal Thompson,28,POR,PF,80,80,3017,15.4,.520,.001,.388,6.8,21.3,14.0,17.8,1.1,2.1,18.9,20.1,1.5,3.9,5.4,.086,0.8,0.7,1.5,2.7,,thompmy01
4,Alex English,29,DEN,SF,82,82,2988,24.1,.561,.006,.264,8.9,11.5,10.2,19.5,1.7,2.1,11.3,28.9,8.7,1.6,10.3,.166,5.4,-0.8,4.6,5.0,MVP-6ASNBA2,englial01
5,Joe Barry Carroll,24,GSW,C,79,79,2988,20.1,.549,.002,.307,7.7,17.5,12.5,8.6,1.7,2.9,14.1,26.5,4.3,2.8,7.0,.113,1.9,-0.4,1.5,2.6,,carrojo01
6,Larry Bird,26,BOS,PF,79,79,2982,24.1,.561,.052,.282,7.0,24.2,15.7,22.4,2.3,1.3,12.6,25.0,8.4,5.6,14.0,.225,5.4,2.1,7.5,7.2,MVP-2DPOY-3ASNBA1DEF2,birdla01
7,Buck Williams,22,NJN,PF,82,82,2961,18.6,.611,.004,.573,14.1,25.0,19.6,5.9,1.4,2.2,17.7,18.4,5.5,5.9,11.4,.185,1.6,0.4,2.0,3.0,MVP-7ASNBA2,willibu01
8,Eddie Johnson,23,KCK,SF,82,82,2933,15.9,.537,.052,.231,7.0,11.4,9.2,10.4,1.1,0.4,10.7,22.2,5.3,2.1,7.4,.121,1.6,-1.3,0.2,1.7,,johnsed03
9,Moses Malone,27,PHI,C,78,78,2922,25.1,.578,.001,.604,16.8,25.9,21.6,5.1,1.4,3.0,13.8,26.0,9.1,6.0,15.1,.248,4.0,-0.3,3.7,4.2,MVP-1ASNBA1DEF1,malonmo01
10,Larry Nance,23,PHO,PF,82,82,2914,18.7,.573,.003,.268,9.5,17.1,13.5,9.7,1.6,4.2,13.7,19.4,4.8,5.6,10.5,.172,1.7,1.8,3.5,4.0,,nancela01
11,Kiki Vandeweghe,24,DEN,PF,82,79,2909,21.8,.613,.033,.364,4.3,10.9,7.6,9.8,1.0,0.7,9.0,24.9,10.5,0.6,11.0,.182,4.4,-2.1,2.4,3.2,MVP-22AS,vandeki01
12,Magic Johnson,23,LAL,SG,79,79,2907,23.0,.603,.023,.407,8.5,17.1,13.0,34.4,2.8,0.9,21.5,19.0,8.8,3.8,12.5,.207,5.4,1.8,7.2,6.8,MVP-3ASNBA1,johnsma02
13,Calvin Natt,26,POR,SF,80,80,2879,19.0,.593,.017,.361,8.3,15.1,11.7,9.1,1.0,0.6,12.9,22.3,7.1,2.7,9.8,.164,3.0,-1.1,1.8,2.8,,nattca01
14,Bill Laimbeer,25,DET,C,82,82,2871,16.6,.552,.015,.353,10.0,26.3,18.0,12.1,0.8,2.2,14.8,16.0,4.9,3.6,8.5,.142,0.8,0.5,1.3,2.4,AS,laimbbi01
15,Jeff Ruland,24,WSB,C,79,47,2862,19.4,.595,.003,.518,11.2,22.6,16.8,12.9,1.2,1.5,18.7,23.0,4.6,5.5,10.1,.169,1.5,1.3,2.8,3.5,MVP-12,rulanje01
16,Reggie Theus,25,CHI,PG,82,81,2856,19.2,.541,.058,.346,3.4,7.8,5.6,27.1,2.3,0.3,15.1,28.8,5.0,1.6,6.5,.110,2.3,-1.0,1.4,2.4,AS,theusre01
17,Marques Johnson,26,MIL,SF,80,80,2853,21.1,.543,.014,.253,7.9,13.5,10.8,20.3,1.7,1.1,11.0,25.7,6.6,4.1,10.7,.180,4.2,0.4,4.5,4.7,MVP-21AS,johnsma01
18,Greg Ballard,28,WSB,SF,78,78,2840,16.8,.509,.029,.183,4.7,15.2,9.9,14.8,2.3,0.5,10.2,22.4,2.8,5.1,7.9,.133,0.8,1.7,2.5,3.2,,ballagr01
19,George Gervin,30,SAS,SG,78,78,2830,20.5,.561,.021,.390,4.4,9.1,6.9,14.0,1.4,1.3,12.0,29.1,7.6,1.8,9.4,.159,2.9,-1.1,1.8,2.7,MVP-9ASNBA2,gervige01
20,Dan Roundfield,29,ATL,PF,77,76,2811,18.8,.526,.023,.377,9.8,23.4,16.6,12.4,1.0,2.3,15.0,24.2,2.9,4.5,7.4,.127,1.3,0.5,1.7,2.6,MVP-20DEF1,roundda01
21,Mike Mitchell,27,SAS,SF,80,79,2803,16.9,.541,.002,.215,7.6,13.1,10.4,5.1,0.9,1.0,7.9,22.7,5.9,1.7,7.6,.131,1.1,-1.8,-0.7,0.9,,mitchmi01
22,Artis Gilmore,33,SAS,C,82,82,2797,21.2,.668,.007,.559,12.1,25.8,19.2,6.1,0.7,3.7,18.7,19.4,7.5,3.5,11.0,.189,2.7,0.2,2.8,3.4,MVP-8AS,gilmoar01
23,Darrell Griffith,24,UTA,SG,77,76,2787,15.8,.514,.085,.158,3.8,7.2,5.6,15.6,2.2,0.6,13.2,26.9,0.6,2.2,2.8,.048,0.2,-1.1,-0.9,0.8,,griffda01
24,Mark Aguirre,23,DAL,SF,81,75,2784,20.5,.535,.048,.371,7.3,12.5,9.8,18.2,1.3,0.5,12.4,30.0,5.9,1.0,6.9,.118,3.6,-1.9,1.7,2.6,,aguirma01
25,Rickey Green,28,UTA,PG,78,78,2783,17.2,.534,.014,.246,2.3,5.7,4.1,34.5,3.5,0.1,17.5,17.8,3.8,2.8,6.6,.114,1.3,0.7,2.0,2.8,,greenri01
26,Clark Kellogg,21,IND,PF,81,81,2761,20.3,.516,.013,.248,12.6,21.3,16.8,11.7,2.4,0.9,12.1,25.5,4.4,2.4,6.8,.119,2.1,-1.2,0.9,2.0,ROY-2,kellocl01
27,Gus Williams,29,SEA,PG,80,80,2761,20.5,.517,.031,.267,2.9,4.9,4.0,34.8,3.1,0.5,12.9,25.8,5.2,3.3,8.5,.148,3.6,0.6,4.2,4.3,MVP-18AS,willigu01
28,Jim Paxson,25,POR,SG,81,81,2740,20.1,.573,.019,.361,2.8,4.4,3.6,13.5,2.4,0.3,9.2,25.1,7.8,2.4,10.2,.178,3.0,0.1,3.0,3.5,AS,paxsoji02
29,Jay Vincent,23,DAL,PF,81,73,2726,17.1,.532,.002,.270,8.4,15.1,11.7,11.1,1.2,0.9,11.7,23.4,4.8,1.2,6.0,.105,1.3,-1.5,-0.2,1.2,,vinceja01
30,Gene Banks,23,SAS,PF,81,81,2722,16.7,.579,.005,.303,9.2,15.1,12.3,13.7,1.3,0.4,14.1,17.7,5.9,2.0,7.9,.140,2.2,-0.5,1.7,2.5,,banksge01
31,Geoff Huston,25,CLE,PG,80,79,2716,12.6,.518,.014,.294,1.7,5.1,3.3,26.5,1.3,0.1,17.2,17.6,2.4,1.0,3.4,.060,-0.6,-1.3,-1.9,0.0,,hustoge01
32,Norm Nixon,27,LAL,PG,79,79,2711,13.9,.498,.012,.150,2.6,5.6,4.2,25.8,1.8,0.1,16.5,20.9,2.5,1.4,3.9,.069,-0.2,-1.8,-1.9,0.0,MVP-22,nixonno01
33,Sidney Moncrief,25,MIL,SG,76,76,2710,22.6,.602,.009,.522,8.2,9.5,8.9,16.9,2.0,0.5,12.2,24.7,9.7,3.5,13.2,.233,5.1,0.4,5.4,5.1,MVP-4DPOY-1ASNBA1DEF1,moncrsi01
34,Dominique Wilkins,23,ATL,SF,82,82,2697,16.6,.524,.009,.276,8.9,9.9,9.4,7.7,1.5,1.3,11.6,23.9,2.9,2.9,5.8,.103,1.2,-0.6,0.5,1.7,,wilkido01
35,Larry Drew,24,KCK,PG,75,74,2690,18.1,.545,.013,.310,1.8,6.6,4.2,31.6,2.1,0.2,16.4,23.7,5.1,2.1,7.2,.128,2.4,-0.8,1.6,2.4,MVP-18,drewla01
36,Tom Chambers,23,SDC,PF,79,79,2665,15.1,.529,.007,.444,8.6,14.0,11.1,10.0,1.4,1.3,15.1,22.6,3.3,1.0,4.3,.077,0.0,-1.6,-1.6,0.2,,chambto01
37,T.R. Dunn,27,DEN,SG,82,80,2640,11.4,.524,.002,.309,8.8,14.7,11.8,7.9,2.4,0.5,15.9,10.0,2.6,1.8,4.4,.079,-0.1,0.2,0.1,1.4,DEF2,dunntr01
38,World B. Free,29,2TM,SG,73,69,2638,18.4,.519,.032,.410,3.8,4.8,4.3,18.2,1.8,0.3,11.1,29.6,4.5,1.2,5.7,.104,2.2,-1.2,1.1,2.0,,freewo01
38,World B. Free,29,GSW,SG,19,18,700,15.9,.505,.008,.409,3.3,3.5,3.4,18.6,1.0,0.2,10.4,26.9,1.1,0.0,1.1,.077,0.8,-2.7,-1.8,0.0,,freewo01
38,World B. Free,29,CLE,SG,54,51,1938,19.3,.524,.040,.410,4.0,5.2,4.6,18.1,2.1,0.4,11.3,30.5,3.4,1.1,4.6,.113,2.7,-0.6,2.1,2.0,,freewo01
39,Darwin Cook,24,NJN,PG,82,47,2625,14.3,.494,.039,.245,3.2,7.1,5.2,23.6,3.4,1.1,17.9,19.9,1.3,4.7,6.0,.110,-0.4,2.0,1.7,2.4,,cookda01
40,Allen Leavell,25,HOU,PG,79,76,2602,15.8,.490,.165,.280,2.5,5.7,4.0,30.1,3.0,0.3,14.3,21.3,2.3,1.5,3.8,.071,0.9,-0.1,0.8,1.8,,leaveal01
41,Cliff Robinson,22,CLE,PF,77,75,2601,17.5,.509,.004,.245,8.1,29.9,18.7,9.3,1.2,1.3,14.1,25.6,1.2,3.2,4.4,.081,0.1,-0.4,-0.3,1.1,,robincl01
42,Maurice Lucas,30,PHO,PF,77,71,2586,16.1,.528,.003,.341,9.0,24.5,17.1,11.9,1.0,0.9,15.5,22.5,2.4,4.7,7.1,.132,-0.2,0.0,-0.3,1.1,MVP-14AS,lucasma01
43,Lonnie Shelton,27,SEA,PF,82,79,2572,12.7,.509,.007,.204,6.9,13.4,10.3,12.5,1.4,1.5,14.7,18.2,1.6,3.2,4.8,.090,-1.1,0.5,-0.5,1.0,,sheltlo01
44,Jack Sikma,27,SEA,C,75,71,2564,19.6,.546,.008,.458,9.3,25.7,17.8,12.6,1.6,1.3,13.2,22.5,5.2,4.6,9.8,.183,1.6,0.9,2.5,2.9,MVP-11AS,sikmaja01
45,Kareem Abdul-Jabbar,35,LAL,C,79,79,2554,23.6,.619,.002,.302,7.6,17.6,12.8,10.8,1.1,3.5,12.6,24.6,8.0,2.9,10.9,.205,4.0,0.5,4.5,4.2,MVP-10ASNBA2,abdulka01
46,Jamaal Wilkes,29,LAL,SF,80,80,2552,17.6,.558,.005,.208,6.6,8.2,7.4,9.7,1.2,0.4,9.6,24.1,6.1,1.3,7.4,.139,1.6,-2.1,-0.5,1.0,AS,wilkeja01
47,Johnny Moore,24,SAS,PG,77,73,2552,17.5,.507,.026,.237,2.9,8.7,5.9,37.8,3.5,0.7,19.6,18.0,3.8,2.8,6.6,.123,1.8,1.2,3.0,3.2,,moorejo01
48,Dennis Johnson,28,PHO,PG,77,74,2551,14.8,.534,.036,.429,4.2,10.1,7.2,20.4,1.8,0.9,16.6,19.6,3.0,3.6,6.6,.125,0.3,0.6,0.9,1.9,DEF1,johnsde01
49,Terry Tyler,26,DET,SF,82,56,2543,15.1,.512,.017,.223,7.2,15.0,11.0,8.3,1.8,3.3,11.0,16.5,2.8,3.1,5.8,.110,0.4,1.2,1.6,2.3,,tylerte01
50,Terry Cummings,21,SDC,PF,70,69,2531,22.8,.557,.001,.315,12.6,21.6,16.7,10.9,2.4,1.4,12.0,26.0,6.5,2.2,8.7,.164,3.8,-0.8,3.0,3.2,MVP-13ROY-1,cummite01
51,Herb Williams,24,IND,C,78,74,2513,17.4,.522,.006,.189,6.2,19.5,12.5,14.8,1.0,3.8,15.4,23.3,1.7,1.8,3.5,.067,0.6,0.2,0.8,1.8,,willihe01
52,Vinnie Johnson,26,DET,SG,82,51,2511,17.6,.563,.039,.311,6.8,7.9,7.3,17.0,1.7,1.0,11.7,20.0,5.9,1.8,7.7,.147,2.1,0.0,2.1,2.6,,johnsvi01
53,Dave Corzine,26,CHI,C,82,71,2496,15.1,.540,.002,.350,10.4,20.3,15.4,8.7,0.9,2.3,17.7,20.0,1.9,2.0,4.0,.076,-0.3,-0.7,-1.0,0.6,,corzida01
54,Walter Davis,28,PHO,SG,80,79,2491,19.1,.548,.018,.175,2.9,5.7,4.4,25.1,2.2,0.3,11.9,25.8,4.9,3.2,8.1,.156,2.3,0.0,2.3,2.7,,daviswa03
55,Andrew Toney,25,PHI,SG,81,81,2474,17.9,.558,.061,.329,1.9,7.5,4.8,22.5,1.5,0.4,15.9,27.3,4.6,2.7,7.3,.141,1.4,-0.7,0.7,1.7,AS,toneyan01
56,Tree Rollins,27,ATL,C,80,80,2472,15.4,.543,.002,.264,9.1,22.8,16.0,4.1,1.0,7.8,14.3,11.2,2.3,5.0,7.3,.142,-1.0,3.7,2.7,3.0,DPOY-2DEF2,rollitr01
57,Bill Cartwright,25,NYK,C,82,82,2468,19.0,.627,.000,.636,8.7,19.5,14.0,8.6,0.8,3.2,16.5,21.3,5.7,4.4,10.1,.197,1.3,1.5,2.8,3.0,,cartwbi01
