Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Kevin Durant,25,OKC,SF,81,81,3122,29.8,.635,.291,.477,2.2,18.6,10.8,26.7,1.7,1.5,12.2,33.0,14.8,4.4,19.2,.295,8.8,1.4,10.2,9.6,MVP-1ASNBA1,duranke01
2,Monta Ellis,28,DAL,SG,82,82,3023,16.8,.532,.164,.336,1.5,9.8,5.6,24.8,2.4,0.6,15.2,26.0,2.8,2.1,4.9,.078,0.3,-0.5,-0.3,1.3,,ellismo01
3,DeMar DeRozan,24,TOR,SG,79,79,3017,18.4,.532,.149,.448,2.0,11.3,6.6,18.9,1.5,0.7,9.5,28.0,5.8,3.0,8.8,.141,1.9,-0.3,1.7,2.8,AS,derozde01
4,Carmelo Anthony,29,NYK,PF,77,77,2982,24.4,.561,.253,.329,5.6,19.4,12.3,15.8,1.7,1.5,9.5,32.4,8.1,2.5,10.7,.172,5.8,-0.8,5.0,5.3,MVP-15AS,anthoca01
5,John Wall,23,WAS,PG,82,82,2980,19.5,.524,.230,.295,1.5,11.7,6.5,40.5,2.6,1.1,16.3,27.4,4.0,4.0,7.9,.128,2.4,0.4,2.7,3.6,AS,walljo01
6,Nicolas Batum,25,POR,SF,82,82,2956,15.8,.589,.491,.248,4.3,17.8,11.1,20.9,1.3,1.3,18.6,16.5,4.8,3.1,7.9,.128,2.2,1.2,3.4,4.0,,batumni01
7,Damian Lillard,23,POR,PG,82,82,2937,18.6,.568,.425,.327,1.3,9.2,5.3,25.1,1.1,0.5,11.5,25.0,7.8,1.8,9.6,.157,3.8,-0.6,3.2,3.9,ASNBA3,lillada01
8,LeBron James,29,MIA,PF,77,77,2902,29.3,.649,.226,.432,3.6,18.9,11.5,32.0,2.2,0.8,14.4,31.0,12.3,3.7,15.9,.264,7.8,1.1,8.8,7.9,MVP-2DPOY-6ASNBA1DEF2,jamesle01
9,Paul George,23,IND,SF,80,80,2898,20.1,.555,.367,.341,2.6,17.7,10.5,17.9,2.7,0.6,12.5,28.3,4.4,6.4,10.8,.178,2.7,2.1,4.9,5.0,MVP-9DPOY-7ASNBA3DEF1,georgpa01
10,DeAndre Jordan,25,LAC,C,82,82,2870,18.2,.630,.000,.726,13.3,29.3,21.6,3.7,1.4,5.4,15.3,12.4,5.3,5.8,11.1,.186,0.9,1.6,2.5,3.3,DPOY-3,jordade01
11,Klay Thompson,23,GSW,SG,81,81,2868,14.3,.555,.425,.147,1.5,7.9,4.7,10.2,1.3,1.0,9.2,22.6,3.5,3.2,6.7,.112,0.9,-0.1,0.8,2.0,,thompkl01
12,Blake Griffin,24,LAC,PF,80,80,2863,23.9,.583,.032,.496,7.7,21.2,14.7,19.2,1.6,1.4,11.9,29.0,8.1,4.1,12.2,.205,3.8,0.7,4.5,4.7,MVP-3ASNBA2,griffbl01
13,Kyle Lowry,27,TOR,PG,79,79,2862,20.1,.567,.463,.356,3.6,11.5,7.5,34.7,2.2,0.4,13.4,22.9,8.4,3.3,11.7,.197,4.1,0.6,4.7,4.8,,lowryky01
14,Stephen Curry,25,GSW,PG,78,78,2846,24.1,.610,.445,.252,1.8,10.9,6.4,39.9,2.2,0.4,16.1,28.3,9.3,4.0,13.4,.225,6.3,1.1,7.4,6.7,MVP-6ASNBA2,curryst01
15,Joakim Noah,28,CHI,C,80,80,2820,20.0,.531,.003,.419,11.6,24.5,18.2,26.4,1.9,3.3,17.0,18.7,4.5,6.6,11.2,.190,1.7,3.6,5.3,5.2,MVP-4DPOY-1ASNBA1DEF1,noahjo01
16,Jeff Green,27,BOS,SF,82,82,2805,13.1,.520,.338,.304,2.1,13.6,7.7,8.4,1.0,1.3,11.1,23.6,1.3,2.0,3.3,.057,-0.2,-1.3,-1.5,0.3,,greenje02
17,Gordon Hayward,23,UTA,SF,77,77,2800,16.2,.520,.271,.369,2.5,14.0,8.0,24.1,2.1,1.1,15.0,23.1,2.2,1.5,3.6,.062,1.0,-0.2,0.8,2.0,,haywago01
18,Kevin Love,25,MIN,PF,77,77,2797,26.9,.591,.355,.445,8.5,29.5,18.7,21.4,1.0,1.0,10.3,28.8,10.6,3.7,14.3,.245,8.3,0.6,8.9,7.7,MVP-11ASNBA2,loveke01
