Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Michael Jordan,23,CHI,SG,82,82,3281,29.8,.562,.029,.427,5.6,9.3,7.4,22.2,3.6,2.3,9.1,38.3,11.9,5.0,16.9,.247,8.4,2.4,10.8,10.6,MVP-2DPOY-8ASNBA1,jordami01
2,Rodney McCray,25,HOU,SF,81,81,3136,15.7,.612,.011,.502,6.7,13.4,10.1,18.7,1.3,1.0,17.9,15.2,5.6,3.8,9.4,.144,1.6,1.0,2.6,3.7,DEF2,mccraro01
3,Clyde Drexler,24,POR,SG,82,82,3114,20.2,.552,.033,.334,8.3,10.2,9.3,26.2,3.0,1.3,13.5,23.6,6.6,3.7,10.3,.158,3.5,1.4,4.9,5.4,,drexlcl01
4,Alex English,33,DEN,SF,82,82,3085,20.5,.549,.008,.254,4.7,7.2,5.8,21.6,1.1,0.4,9.1,29.2,7.0,1.1,8.1,.126,4.0,-2.0,1.9,3.1,MVP-14AS,englial01
5,Dale Ellis,26,SEA,SG,82,76,3073,19.0,.588,.158,.322,6.6,9.3,7.9,11.9,1.6,0.6,12.1,25.3,7.6,1.7,9.3,.145,3.5,-1.1,2.4,3.4,MIP-1,ellisda01
6,Sleepy Floyd,26,GSW,PG,82,82,3064,20.2,.608,.184,.521,2.0,7.7,4.8,38.0,2.2,0.3,18.1,20.3,8.3,1.7,10.0,.157,4.4,-0.1,4.3,4.9,AS,floydsl01
7,Ron Harper,23,CLE,SG,82,82,3064,17.2,.503,.058,.349,6.0,7.8,6.9,21.1,3.2,1.5,15.6,28.9,-0.1,4.4,4.2,.066,0.8,1.1,1.8,3.0,ROY-2,harpero01
8,Kevin McHale,29,BOS,PF,77,77,3060,24.0,.655,.003,.392,9.9,17.5,14.0,9.8,0.6,3.1,11.4,24.1,10.8,4.0,14.8,.232,4.7,0.4,5.1,5.5,MVP-4DPOY-5ASNBA1DEF1,mchalke01
9,Fat Lever,26,DEN,PG,82,82,3054,20.8,.515,.067,.228,7.0,18.8,12.5,29.1,3.0,0.6,10.0,21.1,6.0,3.8,9.7,.153,3.5,1.4,5.0,5.4,MVP-9DPOY-8NBA2,leverfa01
10,Xavier McDaniel,23,SEA,SF,82,82,3031,18.7,.538,.009,.250,12.1,13.2,12.7,10.7,1.8,1.0,11.8,25.8,5.0,2.4,7.4,.117,2.1,-1.3,0.8,2.1,,mcdanxa01
