Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Michael Finley,24,DAL,SF,82,82,3394,19.3,.522,.162,.276,4.8,9.6,7.2,22.7,2.1,0.6,11.5,25.7,5.5,2.0,7.5,.106,3.0,-0.6,2.5,3.8,MVP-18,finlemi01
2,Glen Rice,30,CHH,SF,82,82,3295,17.4,.568,.216,.364,3.3,9.6,6.5,9.9,1.3,0.5,10.2,25.1,7.4,2.0,9.3,.136,2.4,-1.6,0.9,2.4,MVP-11ASNBA3,ricegl01
3,Grant Hill,25,DET,SF,81,81,3294,21.2,.520,.015,.475,3.3,19.3,11.3,31.5,2.4,1.2,14.8,27.3,5.2,5.1,10.2,.149,3.3,1.5,4.7,5.6,MVP-9ASNBA2,hillgr01
4,Ray Allen,22,MIL,SG,82,82,3287,16.2,.539,.280,.297,4.7,10.4,7.5,19.3,1.8,0.3,15.0,24.3,4.7,2.3,7.0,.102,1.9,-0.9,1.0,2.5,,allenra02
5,Antoine Walker,21,BOS,PF,82,82,3268,17.8,.481,.171,.277,9.0,22.3,15.1,15.4,2.2,1.4,13.2,29.2,0.8,4.0,4.8,.070,1.6,-1.0,0.6,2.2,MVP-12AS,walkean02
6,Kevin Garnett,21,MIN,PF,82,82,3222,20.4,.527,.012,.257,7.9,19.7,13.9,18.2,2.2,3.3,11.8,22.5,5.3,4.2,9.6,.143,2.6,1.5,4.2,5.0,DPOY-11AS,garneke01
7,Tim Duncan,21,SAS,PF,82,82,3204,22.6,.577,.008,.375,10.5,23.8,17.6,13.7,0.9,4.5,15.7,26.0,5.6,7.2,12.8,.192,2.5,2.0,4.6,5.3,MVP-5ROY-1DPOY-5ASNBA1DEF2,duncati01
8,Wesley Person,26,CLE,SG,82,82,3198,15.1,.583,.467,.178,2.5,11.3,7.0,10.3,2.2,1.2,9.6,16.5,5.3,5.0,10.3,.155,2.4,1.4,3.8,4.7,,persowe01
9,Michael Jordan,34,CHI,SG,82,82,3181,25.2,.533,.067,.381,4.7,12.5,8.5,18.0,2.4,1.0,7.7,33.7,10.4,5.4,15.8,.238,5.9,1.0,6.9,7.1,MVP-1DPOY-4ASNBA1DEF1,jordami01
10,Allen Iverson,22,PHI,PG,80,80,3150,20.4,.535,.167,.380,3.1,7.7,5.4,30.6,3.0,0.6,12.9,26.9,6.3,2.8,9.0,.138,3.5,0.1,3.6,4.5,,iversal01
11,Anthony Mason,31,CHH,PF,81,80,3148,16.4,.552,.005,.526,6.9,24.7,15.8,17.3,1.2,0.4,13.4,16.0,5.7,3.5,9.3,.141,1.7,0.6,2.3,3.4,DPOY-9,masonan01
12,Gary Payton,29,SEA,PG,82,82,3145,21.6,.544,.311,.293,3.0,11.2,7.1,36.7,3.1,0.4,13.7,24.6,8.5,4.0,12.5,.190,4.4,0.7,5.1,5.7,MVP-3DPOY-2ASNBA1DEF1,paytoga01
13,Jason Kidd,24,PHO,PG,82,82,3118,16.4,.502,.271,.243,4.1,14.7,9.5,35.6,2.7,0.6,21.5,17.6,3.2,4.8,8.0,.123,1.5,1.6,3.1,4.0,MVP-13AS,kiddja01
14,Stephon Marbury,20,MIN,PG,82,81,3112,16.4,.505,.246,.364,2.1,6.2,4.2,36.1,1.7,0.2,15.1,24.1,4.2,1.1,5.3,.082,1.9,-2.0,-0.1,1.5,,marbust01
15,Jim Jackson,27,2TM,SG,79,78,3046,13.2,.504,.173,.255,4.7,10.1,7.3,22.3,1.4,0.2,17.6,21.7,0.8,1.7,2.5,.039,-0.2,-1.4,-1.6,0.3,,jacksji01
15,Jim Jackson,27,PHI,SG,48,47,1788,13.1,.545,.209,.288,4.4,10.2,7.3,21.5,1.2,0.2,19.4,18.8,1.4,0.9,2.3,.062,0.0,-1.5,-1.5,0.2,,jacksji01
15,Jim Jackson,27,GSW,SG,31,31,1258,13.2,.466,.138,.224,5.0,9.8,7.3,23.5,1.6,0.1,15.8,25.9,-0.6,0.8,0.2,.007,-0.4,-1.2,-1.7,0.1,,jacksji01
16,Tim Hardaway,31,MIA,PG,81,81,3031,20.6,.530,.341,.254,1.9,9.4,5.8,41.3,2.4,0.4,13.5,25.6,7.9,3.8,11.7,.185,4.8,0.4,5.2,5.5,MVP-6ASNBA2,hardati01
17,Karl Malone,34,UTA,PF,81,81,3030,27.9,.597,.004,.560,8.3,24.8,17.1,20.9,1.7,1.7,11.9,31.8,12.1,4.3,16.4,.259,6.6,0.7,7.3,7.1,MVP-2ASNBA1DEF1,malonka01
18,Rod Strickland,31,WAS,PG,76,76,3020,19.6,.501,.042,.435,4.1,11.4,7.6,43.1,2.2,0.6,16.5,23.7,5.1,3.0,8.1,.129,2.8,0.1,2.9,3.7,MVP-18NBA2,stricro02
19,Bo Outlaw,26,ORL,PF,82,76,2953,15.5,.575,.007,.576,9.9,15.6,12.7,12.3,2.0,4.4,20.5,13.3,3.1,4.5,7.6,.124,-0.2,2.7,2.5,3.4,DPOY-5,outlabo01
20,Shareef Abdur-Rahim,21,VAN,SF,82,82,2950,21.1,.562,.038,.475,8.9,13.8,11.3,13.5,1.6,1.8,13.6,28.4,6.3,0.6,6.9,.113,3.4,-1.8,1.6,2.6,,abdursh01
21,Vin Baker,26,SEA,C,82,82,2944,20.4,.564,.006,.452,11.8,14.8,13.3,9.3,1.7,2.2,11.1,24.7,6.9,3.5,10.4,.169,1.9,-0.9,1.0,2.2,MVP-8ASNBA2,bakervi01
