Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Anthony Mason,29,NYK,SF,82,82,3457,15.8,.610,.000,.519,7.8,18.1,13.1,16.7,1.1,0.8,17.7,16.1,6.3,5.0,11.3,.157,1.0,0.9,1.9,3.4,,masonan01
2,Vin Baker,24,MIL,PF,82,82,3319,18.4,.527,.034,.335,9.5,20.5,14.9,11.4,1.1,2.1,11.6,25.6,3.7,2.4,6.2,.089,1.2,-1.1,0.1,1.8,AS,bakervi01
3,Juwan Howard,22,WSB,PF,81,81,3294,17.0,.530,.009,.284,6.9,16.5,11.8,18.7,1.0,0.8,15.2,27.0,2.5,3.1,5.6,.082,0.6,-1.0,-0.4,1.3,ASNBA3,howarju01
4,Larry Johnson,26,CHH,PF,81,81,3274,19.8,.563,.149,.460,9.0,16.4,12.7,18.0,0.9,1.0,11.0,22.9,8.8,1.3,10.1,.149,3.9,-1.1,2.8,3.9,,johnsla02
5,Grant Hill,23,DET,SF,80,80,3260,20.9,.537,.021,.529,4.9,23.4,14.5,31.4,1.7,1.2,14.9,25.9,6.0,5.7,11.7,.172,3.1,1.7,4.8,5.6,MVP-9ASNBA2,hillgr01
6,Glenn Robinson,23,MIL,SF,82,82,3249,15.9,.534,.190,.281,5.0,14.1,9.5,15.7,1.6,1.0,15.4,25.8,1.8,1.7,3.5,.052,1.2,-1.2,0.0,1.6,,robingl01
7,Michael Finley,22,PHO,SF,82,72,3212,14.0,.551,.191,.331,5.1,8.3,6.7,13.9,1.4,0.7,10.6,17.3,5.0,1.3,6.3,.095,0.6,-0.8,-0.2,1.5,ROY-4,finlemi01
8,Gary Payton,27,SEA,PG,81,81,3162,19.6,.554,.234,.240,4.1,8.4,6.3,33.3,3.7,0.5,15.6,23.6,5.9,5.6,11.5,.174,2.8,1.8,4.6,5.2,MVP-6DPOY-1ASNBA2DEF1,paytoga01
9,Glen Rice,28,CHH,SF,79,79,3142,17.8,.584,.311,.294,3.3,11.5,7.3,12.6,1.5,0.5,10.0,23.4,7.2,1.2,8.3,.127,2.6,-1.2,1.4,2.7,AS,ricegl01
10,Karl Malone,32,UTA,PF,82,82,3113,26.0,.575,.026,.466,7.1,24.2,15.8,20.6,2.4,1.5,9.8,29.8,9.9,5.3,15.1,.233,5.6,1.4,7.0,7.1,MVP-7ASNBA1,malonka01
11,Clarence Weatherspoon,25,PHI,SF,78,75,3096,17.1,.541,.002,.420,8.6,19.8,14.0,9.3,1.9,2.6,13.0,19.9,3.4,2.4,5.8,.089,0.1,-0.3,-0.2,1.4,,weathcl01
12,Michael Jordan,32,CHI,SG,82,82,3090,29.4,.582,.141,.355,5.6,14.9,10.2,21.2,3.1,1.0,8.4,33.3,14.2,6.2,20.4,.317,8.3,2.2,10.5,9.8,MVP-1DPOY-6ASNBA1DEF1,jordami01
13,Avery Johnson,30,SAS,PG,82,82,3084,16.3,.534,.035,.295,1.4,5.9,3.7,39.1,2.0,0.5,16.3,17.5,5.6,3.5,9.1,.141,1.4,0.3,1.7,2.9,,johnsav01
14,Allan Houston,24,DET,SG,82,75,3072,15.7,.576,.359,.291,2.2,9.3,5.9,15.5,1.1,0.4,14.2,25.4,4.2,3.0,7.1,.112,1.9,-0.9,1.0,2.3,,houstal01
15,Latrell Sprewell,25,GSW,SG,78,78,3064,15.9,.527,.235,.371,4.6,9.7,7.1,17.7,2.1,1.1,13.7,23.0,3.6,1.9,5.5,.086,1.3,-0.6,0.7,2.1,DPOY-8,sprewla01
16,Chris Mills,26,CLE,SF,80,80,3060,15.2,.554,.216,.271,4.8,14.6,9.6,11.2,1.4,1.5,10.0,19.9,4.7,3.1,7.8,.122,0.1,-0.2,-0.1,1.5,,millsch01
17,Dennis Scott,27,ORL,SF,82,82,3041,16.1,.589,.562,.199,2.5,9.2,5.9,12.4,1.5,0.7,9.1,19.9,6.4,2.4,8.8,.138,2.9,-0.6,2.3,3.3,,scottde01
18,Jason Kidd,22,DAL,PG,81,81,3034,17.8,.468,.306,.256,6.5,13.3,9.6,41.5,2.9,0.6,18.6,24.3,1.7,2.6,4.3,.068,2.3,-0.3,2.0,3.0,AS,kiddja01
19,David Robinson,30,SAS,C,82,82,3019,29.4,.589,.007,.597,12.3,24.2,18.4,14.6,1.9,6.4,9.8,28.8,11.1,7.2,18.3,.290,5.8,3.1,8.9,8.3,MVP-2DPOY-4ASNBA1DEF1,robinda01
20,Anfernee Hardaway,24,ORL,PG,82,82,3015,24.6,.605,.233,.477,5.1,8.5,6.8,32.2,2.9,1.0,13.5,25.5,11.0,3.4,14.4,.229,6.2,1.0,7.2,6.9,MVP-3ASNBA1,hardaan01
21,Grant Long,29,ATL,PF,82,82,3008,16.2,.546,.103,.402,9.4,22.1,15.5,9.7,1.9,0.9,13.7,17.1,4.7,3.8,8.4,.134,0.6,0.2,0.7,2.1,,longgr01
22,Clifford Robinson,29,POR,SF,78,76,2980,16.3,.532,.361,.415,4.7,12.2,8.5,10.9,1.5,1.7,11.2,25.6,3.9,4.2,8.0,.130,1.7,0.4,2.1,3.0,,robincl02
23,Loy Vaught,27,LAC,PF,80,78,2966,16.7,.551,.017,.189,8.1,24.9,16.4,6.3,1.5,1.0,11.8,20.1,3.4,2.9,6.3,.102,0.1,-1.0,-0.9,0.8,,vaughlo01
24,Mitch Richmond,30,SAC,SG,81,81,2946,19.2,.591,.376,.359,2.1,8.5,5.3,15.9,2.2,0.5,12.2,26.9,7.2,2.1,9.3,.151,3.9,-0.4,3.5,4.1,MVP-16ASNBA3,richmmi01
25,P.J. Brown,26,NJN,C,81,81,2942,12.6,.500,.019,.332,7.9,13.2,10.5,9.3,1.4,2.6,12.7,15.6,2.0,3.3,5.3,.087,-1.3,0.7,-0.5,1.1,,brownpj01
26,John Stockton,33,UTA,PG,82,82,2915,21.9,.642,.275,.345,2.3,7.1,4.8,49.1,2.6,0.4,20.7,18.7,10.1,2.9,13.0,.214,6.0,0.7,6.8,6.4,MVP-11ASNBA2,stockjo01
27,Sean Elliott,27,SAS,SF,77,77,2901,16.3,.585,.348,.375,2.8,12.1,7.6,11.8,1.2,0.8,13.1,23.4,4.1,3.6,7.7,.128,1.9,-0.2,1.7,2.7,AS,elliose01
28,Derek Harper,34,NYK,PG,82,82,2893,13.9,.558,.346,.219,1.3,6.8,4.1,20.1,2.4,0.1,14.7,19.4,2.6,3.7,6.3,.105,-0.2,0.7,0.5,1.8,,harpede01
29,Mookie Blaylock,28,ATL,PG,81,81,2893,18.9,.529,.555,.151,4.3,9.5,6.8,27.6,3.9,0.5,13.6,21.5,5.4,3.6,9.0,.149,3.8,1.5,5.3,5.4,DEF2,blaylmo01
30,Damon Stoudamire,22,TOR,PG,70,70,2865,16.7,.528,.298,.262,2.4,9.3,5.8,37.4,1.8,0.5,17.5,23.5,3.7,0.6,4.3,.072,2.5,-2.4,0.1,1.6,ROY-1,stoudda01
31,Steve Smith,26,ATL,SG,80,80,2856,16.6,.551,.370,.337,4.9,8.7,6.7,13.4,1.3,0.5,10.3,23.0,6.4,1.5,7.9,.133,2.3,-1.3,1.0,2.1,,smithst01
