Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Michael Finley,26,DAL,SF,82,82,3464,19.2,.522,.151,.194,3.8,12.2,8.0,21.3,1.6,0.6,9.9,25.1,6.4,1.9,8.3,.114,3.0,-0.9,2.1,3.6,MVP-13AS,finlemi01
2,Gary Payton,31,SEA,PG,82,82,3425,23.6,.535,.312,.254,3.2,13.9,8.5,37.7,2.3,0.4,10.8,26.8,10.5,3.5,13.9,.195,5.8,0.7,6.4,7.3,MVP-6DPOY-5ASNBA1DEF1,paytoga01
3,Latrell Sprewell,29,NYK,SF,82,82,3276,15.7,.515,.097,.304,1.8,10.5,6.3,18.2,1.8,0.5,13.2,24.7,2.5,4.1,6.6,.097,0.5,0.5,1.0,2.5,,sprewla01
4,Kevin Garnett,23,MIN,PF,81,81,3243,23.6,.545,.053,.265,7.9,26.6,17.1,21.5,1.9,2.8,13.6,27.4,6.1,5.6,11.6,.172,4.6,1.7,6.3,6.8,MVP-2DPOY-7ASNBA1DEF1,garneke01
5,Shareef Abdur-Rahim,23,VAN,SF,82,82,3223,20.2,.547,.075,.431,8.0,22.7,15.3,15.5,1.5,1.9,14.1,25.0,6.2,2.6,8.8,.132,2.6,-0.4,2.2,3.4,,abdursh01
6,Allan Houston,28,NYK,SG,82,82,3169,16.5,.569,.191,.263,1.5,8.5,5.1,13.2,1.1,0.3,11.6,24.0,5.5,3.1,8.6,.130,1.8,-0.2,1.7,2.9,AS,houstal01
7,Shaquille O'Neal,27,LAL,C,79,79,3163,30.6,.578,.001,.495,11.5,24.8,18.3,19.3,0.6,5.3,9.9,31.2,11.7,7.0,18.6,.283,7.3,2.0,9.3,9.0,MVP-1DPOY-2ASNBA1DEF2,onealsh01
8,Mike Bibby,21,VAN,PG,82,82,3155,16.7,.521,.206,.242,2.8,8.9,5.8,36.2,2.2,0.3,17.8,20.0,4.5,1.1,5.6,.086,1.9,-1.3,0.6,2.1,,bibbymi01
9,Jerry Stackhouse,25,DET,SG,82,82,3148,18.9,.545,.199,.524,4.3,7.2,5.8,20.3,1.6,0.8,14.9,29.2,5.7,1.6,7.3,.111,2.8,-1.7,1.0,2.4,AS,stackje01
10,Anthony Mason,33,CHH,SF,82,81,3133,14.4,.560,.002,.637,5.3,19.4,12.5,18.3,1.2,0.6,15.9,14.4,4.9,3.9,8.9,.136,0.1,0.7,0.8,2.2,DPOY-8,masonan01
11,Vince Carter,23,TOR,SF,82,82,3126,23.4,.543,.139,.325,5.2,12.1,8.5,20.5,1.8,2.1,8.4,30.0,9.1,2.7,11.8,.182,5.6,-0.1,5.5,5.9,MVP-10ASNBA3,cartevi01
12,Michael Dickerson,24,VAN,SG,82,82,3103,15.6,.530,.229,.255,3.0,7.8,5.4,12.2,2.0,1.0,10.5,23.1,4.5,1.0,5.5,.085,1.0,-1.0,0.0,1.6,,dickemi01
13,Ray Allen,24,MIL,SG,82,82,3070,20.6,.570,.288,.282,3.2,10.5,6.8,17.0,1.9,0.5,10.3,25.6,9.0,1.0,10.1,.157,4.7,-1.1,3.6,4.3,AS,allenra02
14,Antoine Walker,23,BOS,PF,82,82,3003,17.8,.494,.189,.295,7.2,18.2,12.4,18.2,2.0,0.8,13.2,28.3,2.3,2.7,5.0,.080,1.8,-1.1,0.7,2.1,,walkean02
15,Elton Brand,20,CHI,PF,81,80,2999,20.6,.528,.002,.410,13.3,18.4,15.8,11.8,1.2,3.3,12.9,27.0,4.2,3.3,7.5,.121,2.2,-0.9,1.3,2.5,ROY-1,brandel01
