Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Latrell Sprewell,23,GSW,SG,82,82,3533,15.9,.532,.276,.322,2.5,9.7,6.1,15.3,2.5,1.3,12.3,21.5,4.7,3.2,8.0,.108,1.6,0.3,1.9,3.5,MVP-11ASNBA1DEF2,sprewla01
2,Karl Malone,30,UTA,PF,82,82,3329,22.9,.550,.021,.474,8.3,24.1,16.3,17.1,1.9,2.6,11.1,28.0,7.4,6.1,13.4,.193,4.1,1.5,5.6,6.4,MVP-7ASNBA1,malonka01
3,Hakeem Olajuwon,31,HOU,C,80,80,3277,25.3,.565,.011,.320,8.2,23.3,16.2,16.4,2.0,5.7,12.3,29.8,6.4,7.9,14.3,.210,3.5,3.3,6.8,7.3,MVP-1DPOY-1ASNBA1DEF1,olajuha01
4,David Robinson,28,SAS,C,80,80,3241,30.7,.577,.017,.558,8.8,20.3,14.8,21.6,2.3,5.4,10.9,32.0,13.3,6.7,20.0,.296,8.1,3.8,11.9,11.4,MVP-2DPOY-2ASNBA2DEF2,robinda01
5,Shaquille O'Neal,21,ORL,C,81,81,3224,28.5,.605,.001,.534,13.5,23.7,18.7,11.0,1.2,4.5,10.2,29.0,12.1,4.8,16.9,.252,6.2,0.6,6.8,7.2,MVP-4ASNBA3,onealsh01
6,Dan Majerle,28,PHO,SG,80,76,3207,13.7,.531,.442,.209,4.3,8.0,6.1,11.9,2.0,0.8,9.9,18.0,5.0,2.3,7.3,.109,1.3,-0.4,0.9,2.4,,majerda01
7,Clarence Weatherspoon,23,PHI,SF,82,82,3147,18.1,.525,.014,.345,8.8,20.2,14.5,10.3,1.6,2.2,12.0,22.5,3.1,2.8,6.0,.091,1.0,-0.6,0.4,1.9,,weathcl01
8,Kenny Anderson,23,NJN,PG,82,82,3135,18.2,.491,.096,.306,2.9,8.0,5.4,40.6,2.5,0.3,14.5,24.6,4.3,3.2,7.5,.114,2.5,-0.1,2.4,3.4,AS,anderke01
9,Jim Jackson,23,DAL,SG,82,82,3066,14.4,.497,.042,.242,5.8,8.7,7.1,21.5,1.4,0.6,17.4,26.5,-0.3,0.8,0.6,.009,0.6,-2.3,-1.7,0.2,,jacksji01
10,Anfernee Hardaway,22,ORL,PG,82,82,3015,17.4,.531,.171,.302,7.2,9.1,8.2,26.6,3.2,1.1,19.1,21.7,3.8,3.3,7.1,.112,1.9,1.0,2.9,3.8,ROY-2,hardaan01
11,Glen Rice,26,MIA,SF,81,81,2999,18.5,.552,.243,.200,2.9,13.6,8.2,10.5,1.9,0.7,7.8,24.1,7.3,2.9,10.2,.163,2.9,-0.2,2.7,3.6,,ricegl01
12,Dennis Rodman,32,SAS,PF,79,51,2989,13.4,.549,.082,.349,17.9,32.8,25.7,8.2,0.9,0.7,29.1,7.1,3.3,5.4,8.7,.140,0.7,0.3,1.0,2.3,MVP-11DPOY-66MOY-6DEF2,rodmade01
13,Patrick Ewing,31,NYK,C,79,79,2972,22.9,.551,.009,.387,8.5,24.9,16.9,11.3,1.6,5.1,12.9,29.8,5.1,8.0,13.1,.211,2.5,2.7,5.2,5.5,MVP-5AS,ewingpa01
14,John Stockton,31,UTA,PG,82,82,2969,22.5,.608,.172,.389,2.8,7.1,5.0,53.1,3.5,0.5,20.7,19.1,9.3,4.0,13.2,.214,5.8,2.2,8.0,7.5,MVP-11ASNBA1,stockjo01
15,Charles Oakley,30,NYK,PF,82,82,2932,15.3,.540,.004,.412,13.8,23.3,18.6,11.3,1.9,0.4,17.7,16.3,3.7,6.8,10.5,.172,0.1,1.5,1.6,2.6,DPOY-9ASDEF1,oaklech01
16,Mookie Blaylock,26,ATL,PG,81,81,2915,19.6,.487,.316,.147,4.4,11.6,8.0,40.4,3.7,1.0,14.6,19.8,4.9,5.3,10.2,.168,3.4,2.3,5.7,5.7,MVP-11DPOY-7ASDEF1,blaylmo01
17,Otis Thorpe,31,HOU,PF,82,82,2909,16.1,.593,.002,.477,11.0,21.7,16.6,9.9,1.1,0.6,16.0,17.6,4.9,4.9,9.8,.162,0.1,0.2,0.3,1.7,,thorpot01
18,Mitch Richmond,28,SAC,SG,78,78,2897,17.7,.551,.218,.358,2.6,8.3,5.4,18.5,1.8,0.4,11.6,27.2,5.2,1.2,6.4,.106,2.7,-1.1,1.6,2.7,ASNBA2,richmmi01
19,Jamal Mashburn,21,DAL,SF,79,73,2896,13.2,.480,.216,.317,3.9,10.3,6.8,15.8,1.6,0.3,13.5,26.6,-0.2,1.0,0.9,.014,-0.3,-2.2,-2.4,-0.3,ROY-3,mashbja01
20,Rod Strickland,27,POR,PG,82,58,2889,19.8,.543,.009,.431,4.4,9.8,7.0,38.2,2.5,0.5,16.5,22.0,6.3,3.0,9.3,.155,3.1,0.5,3.6,4.1,,stricro02
21,Gary Payton,25,SEA,PG,82,82,2881,17.8,.526,.047,.241,4.3,6.8,5.5,26.7,3.3,0.5,11.9,21.6,5.2,4.1,9.3,.155,1.9,1.3,3.1,3.7,MVP-6DPOY-5ASNBA3DEF1,paytoga01
22,Kevin Willis,31,ATL,PF,80,80,2867,19.4,.538,.019,.299,12.8,24.2,18.5,8.7,1.4,0.9,11.7,24.1,5.1,5.1,10.2,.170,1.3,-0.9,0.4,1.7,MVP-11,willike02
23,Dee Brown,25,BOS,SG,77,76,2867,16.0,.533,.094,.214,2.5,9.4,5.9,18.2,2.7,1.0,10.1,18.8,4.1,2.3,6.4,.108,0.4,1.2,1.5,2.5,,brownde01
24,Ron Harper,30,LAC,SG,75,75,2856,15.7,.496,.177,.313,4.8,12.2,8.6,18.7,2.4,1.1,13.7,25.5,0.7,2.3,2.9,.049,0.5,-0.5,0.1,1.5,,harpero01
25,Dikembe Mutombo,27,DEN,C,82,82,2853,17.9,.590,.002,.684,11.5,25.8,18.9,6.6,1.0,7.4,19.8,15.6,2.9,6.4,9.4,.158,0.1,3.0,3.2,3.7,DPOY-3,mutomdi01
26,Clifford Robinson,27,POR,C,82,64,2853,17.4,.513,.038,.328,6.0,15.4,10.5,8.9,2.0,2.5,9.5,25.4,3.7,3.7,7.5,.126,0.6,0.6,1.1,2.3,AS,robincl02
27,Bryant Stith,23,DEN,SG,82,82,2853,12.7,.530,.011,.433,4.8,8.7,6.8,10.4,2.0,0.4,11.9,16.4,3.4,3.4,6.8,.114,-0.8,0.8,0.0,1.4,,stithbr01
28,A.C. Green,30,PHO,PF,82,55,2825,17.0,.555,.038,.391,11.1,18.8,15.0,6.9,1.2,0.8,8.4,17.6,6.7,2.6,9.3,.157,1.8,-1.2,0.6,1.8,,greenac01
29,Jeff Hornacek,30,2TM,SG,80,62,2820,16.7,.562,.207,.295,2.4,8.6,5.5,23.9,2.3,0.3,13.1,20.2,5.1,1.8,6.9,.117,1.3,0.2,1.5,2.5,,hornaje01
29,Jeff Hornacek,30,PHI,SG,53,53,1994,16.3,.547,.232,.285,2.3,9.4,5.8,25.5,2.4,0.3,14.6,20.5,2.7,1.0,3.7,.090,0.8,0.0,0.8,1.4,,hornaje01
29,Jeff Hornacek,30,UTA,SG,27,9,826,17.6,.598,.145,.318,2.7,6.6,4.7,20.0,2.0,0.3,9.1,19.4,2.4,0.8,3.1,.182,2.5,0.7,3.2,1.1,,hornaje01
30,Nick Anderson,26,ORL,SG,81,81,2811,16.9,.549,.298,.237,4.6,14.3,9.5,15.7,2.4,0.7,12.4,20.2,4.6,3.0,7.6,.129,2.0,0.6,2.5,3.2,,anderni01
31,Tom Gugliotta,24,WSB,PF,78,78,2795,17.9,.514,.128,.268,7.8,23.0,15.2,16.0,3.1,1.1,16.0,23.7,1.1,2.7,3.8,.066,1.1,0.3,1.4,2.4,,guglito01
32,Sherman Douglas,27,BOS,PG,78,78,2789,14.3,.500,.061,.300,2.8,5.0,3.9,35.8,1.6,0.2,18.3,19.8,1.9,0.8,2.7,.046,0.8,-2.2,-1.4,0.4,,douglsh01
33,Derrick Coleman,26,NJN,PF,77,77,2778,21.4,.534,.100,.469,9.8,23.5,16.5,15.6,1.2,3.2,12.5,25.3,5.5,4.4,9.9,.171,3.3,1.0,4.3,4.4,ASNBA3,colemde01
34,Steve Smith,24,MIA,SG,78,77,2776,17.2,.552,.243,.304,6.4,8.0,7.2,22.5,1.5,0.9,14.2,22.1,6.2,1.9,8.1,.141,3.2,-0.6,2.6,3.2,,smithst01
35,Terry Mills,26,DET,PF,80,74,2773,17.7,.552,.063,.197,7.6,19.4,13.4,10.8,1.2,1.5,10.9,22.2,4.5,1.8,6.3,.110,1.0,-0.5,0.5,1.7,,millste01
36,B.J. Armstrong,26,CHI,PG,82,82,2770,14.5,.547,.134,.225,1.2,6.0,3.6,18.0,1.5,0.2,10.6,19.8,4.9,2.6,7.5,.130,0.3,-0.4,-0.1,1.3,AS,armstbj01
37,Gerald Wilkins,30,CLE,SG,82,82,2768,14.9,.539,.217,.256,4.4,8.3,6.4,14.7,2.0,0.9,10.8,19.7,4.2,2.6,6.8,.118,1.0,0.1,1.1,2.2,,wilkige01
38,Scottie Pippen,28,CHI,SF,72,72,2759,23.2,.544,.154,.320,7.3,19.4,13.3,24.6,4.0,1.4,13.7,27.1,5.2,6.0,11.2,.194,4.5,3.2,7.7,6.8,MVP-3DPOY-4ASNBA1DEF1,pippesc01
39,Muggsy Bogues,29,CHH,PG,77,77,2746,16.2,.510,.016,.206,3.2,9.2,6.3,39.2,2.4,0.0,17.3,15.4,4.8,1.7,6.4,.112,1.4,-0.4,1.1,2.1,,boguemu01
40,Billy Owens,24,GSW,PF,79,72,2738,15.6,.532,.015,.336,9.3,15.9,12.6,16.8,1.5,1.3,16.1,20.0,3.0,2.6,5.7,.099,0.5,-0.1,0.4,1.7,,owensbi01
41,Detlef Schrempf,31,SEA,SF,81,80,2728,14.9,.564,.075,.432,6.2,13.5,9.9,14.8,1.4,0.2,13.9,19.6,5.1,3.2,8.4,.148,0.8,-0.5,0.3,1.6,,schrede01
42,Kevin Edwards,28,NJN,SG,82,82,2727,13.8,.509,.096,.211,3.6,7.4,5.4,13.6,2.2,0.8,10.7,19.5,2.5,2.6,5.1,.089,-0.6,0.6,0.0,1.3,,edwarke01
43,Mark Jackson,28,LAC,PG,79,79,2711,14.8,.524,.173,.288,4.2,9.4,6.8,34.6,2.1,0.1,22.0,16.1,2.7,1.4,4.1,.072,0.7,-0.8,-0.1,1.3,,jacksma01
44,Lionel Simmons,25,SAC,SF,75,74,2702,14.8,.496,.017,.324,6.6,16.3,11.4,17.5,1.9,1.2,13.9,20.6,1.5,2.3,3.8,.067,0.2,0.0,0.2,1.5,,simmoli01
45,Nick Van Exel,22,LAL,PG,81,80,2700,13.6,.485,.347,.183,1.8,8.0,4.8,25.4,1.6,0.2,11.3,19.9,2.7,0.7,3.4,.061,0.6,-1.7,-1.1,0.6,,vanexni01
46,LaPhonso Ellis,23,DEN,PF,79,79,2699,15.9,.542,.024,.373,9.4,18.4,14.0,10.0,1.2,1.9,13.3,20.4,3.5,4.1,7.6,.135,0.2,0.4,0.6,1.8,,ellisla01
47,Vlade Divac,25,LAL,C,79,73,2685,18.8,.546,.053,.339,10.9,24.0,17.2,17.2,1.7,2.6,15.7,19.1,4.2,3.2,7.4,.132,1.5,0.8,2.3,2.9,,divacvl01
48,Hot Rod Williams,31,CLE,PF,76,72,2660,16.2,.532,.000,.419,9.0,16.1,12.6,11.3,1.5,3.2,12.5,18.8,3.8,3.6,7.4,.134,0.6,0.9,1.5,2.4,,williho01
49,Reggie Williams,29,DEN,SF,82,68,2654,13.1,.478,.227,.222,4.2,11.9,8.2,17.6,2.2,1.6,12.8,20.5,0.9,3.9,4.8,.088,-0.8,1.3,0.6,1.7,,willire01
50,Hersey Hawkins,27,CHH,SG,82,82,2648,15.6,.579,.274,.421,3.8,11.7,7.9,11.6,2.5,0.5,13.4,18.9,4.4,2.1,6.5,.118,0.9,0.1,1.0,2.0,,hawkihe01
51,Reggie Miller,28,IND,SG,79,79,2638,20.2,.636,.280,.426,1.4,7.7,4.7,15.6,2.3,0.6,12.4,23.5,8.8,2.9,11.7,.212,4.1,0.6,4.7,4.5,,millere01
52,Buck Williams,33,POR,PF,81,81,2636,14.0,.598,.002,.565,12.5,22.8,17.4,4.1,1.1,1.1,14.5,11.8,4.7,3.2,7.9,.143,-0.2,-0.4,-0.6,0.9,,willibu01
53,Dominique Wilkins,34,2TM,SF,74,74,2635,21.4,.529,.186,.329,7.5,12.3,9.9,11.3,1.7,0.7,8.6,32.0,5.6,2.8,8.4,.153,4.2,-1.6,2.6,3.0,MVP-11ASNBA3,wilkido01
53,Dominique Wilkins,34,ATL,SF,49,49,1687,21.1,.526,.199,.323,7.7,12.2,9.9,11.9,1.9,0.8,9.5,32.0,3.5,2.3,5.8,.166,3.9,-1.1,2.7,2.0,,wilkido01
53,Dominique Wilkins,34,LAC,SF,25,25,948,21.8,.535,.164,.338,7.1,12.5,9.9,10.3,1.5,0.5,7.1,31.9,2.1,0.5,2.6,.130,4.7,-2.5,2.2,1.0,,wilkido01
54,Mahmoud Abdul-Rauf,24,DEN,PG,80,78,2617,16.7,.521,.104,.179,1.2,5.8,3.6,24.1,1.6,0.2,9.9,24.9,4.4,2.4,6.8,.125,1.5,-0.7,0.8,1.9,,abdulma02
55,Derrick McKey,27,IND,SF,76,76,2613,13.3,.554,.044,.358,5.9,11.7,8.9,18.8,2.2,1.3,21.7,17.6,1.7,3.3,5.0,.092,-0.2,1.1,0.9,1.9,,mckeyde01
56,Stacey Augmon,25,ATL,SG,82,82,2605,17.9,.576,.008,.506,7.5,9.2,8.3,11.0,2.9,1.1,12.3,19.8,5.7,4.0,9.7,.179,1.3,1.4,2.7,3.1,,augmost01
