Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,LeBron James,20,CLE,SF,80,80,3388,25.7,.554,.183,.378,3.8,17.0,10.2,32.9,2.8,1.1,11.8,29.7,9.7,4.6,14.3,.203,7.0,1.7,8.6,9.1,MVP-6ASNBA2,jamesle01
2,Stephon Marbury,27,NYK,PG,82,82,3281,21.9,.575,.248,.420,1.8,7.1,4.4,36.0,2.0,0.1,13.1,24.8,10.4,1.3,11.7,.171,4.9,-0.7,4.2,5.1,,marbust01
3,Gilbert Arenas,23,WAS,PG,80,80,3274,21.3,.565,.369,.420,2.8,10.5,6.5,22.9,2.2,0.5,11.8,27.3,9.2,2.3,11.5,.169,4.7,-0.4,4.2,5.2,MVP-12ASNBA3,arenagi01
4,Joe Johnson,23,PHO,SF,82,82,3240,15.1,.556,.314,.153,4.2,9.5,7.0,13.2,1.2,0.5,10.5,19.0,5.8,1.7,7.6,.112,1.5,-0.6,0.9,2.4,,johnsjo02
5,Tracy McGrady,25,HOU,SF,78,78,3182,22.9,.526,.262,.336,2.7,14.8,8.9,28.6,2.3,1.3,9.5,31.2,6.5,5.4,12.0,.180,5.2,1.5,6.7,6.9,MVP-7ASNBA3,mcgratr01
6,Allen Iverson,29,PHI,PG,75,75,3174,23.2,.532,.186,.432,1.8,8.9,5.3,37.6,2.9,0.2,13.7,35.0,5.3,3.7,9.0,.136,4.2,0.0,4.2,5.0,MVP-5DPOY-11ASNBA1,iversal01
7,Shawn Marion,26,PHO,PF,81,81,3146,21.7,.556,.265,.213,8.4,22.0,15.5,7.5,2.6,2.5,8.1,21.3,7.3,5.2,12.5,.191,3.1,1.3,4.4,5.1,MVP-14DPOY-5ASNBA3,mariosh01
8,Kevin Garnett,28,MIN,PF,82,82,3121,28.2,.567,.018,.404,9.5,30.2,20.3,27.1,2.1,2.6,12.2,27.1,10.1,6.0,16.1,.248,6.5,3.0,9.5,9.1,MVP-11DPOY-9ASNBA2DEF1,garneke01
9,Mike Bibby,26,SAC,PG,80,80,3084,19.2,.543,.288,.327,2.8,9.2,6.0,28.1,2.1,0.7,12.3,23.8,6.6,1.9,8.5,.133,3.1,-0.5,2.6,3.6,,bibbymi01
10,Ray Allen,29,SEA,SG,78,78,3064,20.9,.555,.372,.286,3.2,10.7,6.9,18.1,1.5,0.1,9.2,28.0,9.7,1.0,10.7,.168,5.3,-1.2,4.1,4.8,MVP-9ASNBA2,allenra02
