Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Rodney McCray,28,SAC,SF,82,82,3238,16.7,.568,.040,.334,6.7,16.6,11.7,17.4,0.9,1.3,12.7,18.3,5.4,2.5,7.9,.118,2.0,0.0,2.0,3.3,,mccraro01
2,Michael Jordan,26,CHI,SG,82,82,3197,31.2,.606,.125,.356,5.3,15.6,10.4,28.6,3.5,1.1,9.8,33.7,14.7,4.3,19.0,.285,9.1,2.1,11.2,10.6,MVP-3DPOY-5ASNBA1DEF1,jordami01
3,Reggie Miller,24,IND,SG,82,82,3192,20.8,.645,.281,.487,3.7,7.0,5.4,15.1,1.7,0.3,12.4,24.2,10.8,1.3,12.1,.182,4.9,-0.9,4.0,4.8,AS,millere01
4,Patrick Ewing,27,NYK,C,82,82,3165,25.8,.599,.002,.387,8.5,22.4,15.7,10.0,1.2,5.9,12.4,29.4,8.3,5.3,13.5,.205,3.7,1.8,5.5,6.0,MVP-5DPOY-5ASNBA1,ewingpa01
5,Tony Campbell,27,MIN,SG,82,81,3164,17.1,.520,.034,.360,7.5,9.8,8.5,12.4,1.8,0.6,12.1,29.0,2.8,2.5,5.3,.081,1.6,-1.3,0.3,1.8,,campbto01
6,Scottie Pippen,24,CHI,SF,82,82,3148,16.3,.528,.097,.257,5.6,14.9,10.3,19.8,3.3,2.0,17.8,21.2,1.4,4.3,5.7,.087,0.4,1.4,1.8,3.0,AS,pippesc01
7,Hakeem Olajuwon,27,HOU,C,82,82,3124,24.1,.541,.004,.333,10.3,28.3,19.5,12.1,2.6,7.0,14.6,28.1,2.5,8.7,11.2,.173,1.8,4.0,5.8,6.2,MVP-7DPOY-2ASNBA2DEF1,olajuha01
8,Karl Malone,26,UTA,PF,82,82,3122,27.2,.626,.026,.561,9.3,24.0,17.1,13.2,1.9,1.0,13.0,32.6,10.5,5.4,15.9,.245,5.9,0.5,6.4,6.6,MVP-4ASNBA1,malonka01
9,Charles Barkley,26,PHI,SF,79,79,3085,27.1,.661,.078,.632,13.4,20.0,16.7,15.6,2.4,1.0,13.9,24.0,13.1,4.2,17.3,.269,7.2,1.0,8.2,8.0,MVP-2ASNBA1,barklch01
10,Tom Chambers,30,PHO,PF,81,81,3046,20.9,.579,.053,.400,4.7,15.2,10.3,10.0,1.4,0.9,10.3,28.8,7.5,3.7,11.2,.176,2.7,-0.3,2.3,3.3,MVP-8ASNBA2,chambto01
11,Tyrone Corbin,27,MIN,SF,82,80,3011,15.9,.512,.010,.193,8.2,16.4,12.0,12.0,3.1,0.9,10.9,19.3,2.8,4.0,6.8,.108,-0.1,1.0,0.9,2.2,,corbity01
12,Derek Harper,28,DAL,PG,82,82,3007,19.8,.567,.207,.271,2.1,7.0,4.6,32.2,3.2,0.5,13.7,22.0,6.3,3.6,9.9,.158,3.3,1.4,4.7,5.0,DPOY-3DEF2,harpede01
13,David Robinson,24,SAS,C,82,81,3002,26.3,.597,.002,.644,11.7,24.8,18.5,8.7,2.2,6.5,13.3,26.6,7.9,7.2,15.1,.241,4.0,2.9,6.9,6.8,MVP-6ROY-1ASNBA3DEF2,robinda01
14,Isiah Thomas,28,DET,PG,81,81,2993,17.3,.501,.103,.285,2.8,8.9,5.9,39.4,2.4,0.4,17.8,26.0,2.1,4.6,6.7,.107,2.3,0.6,2.9,3.7,MVP-13AS,thomais01
15,James Worthy,28,LAL,SF,80,80,2960,19.8,.586,.038,.244,6.4,11.9,9.3,15.6,1.7,1.0,10.0,23.0,7.5,3.1,10.6,.172,3.6,0.2,3.8,4.3,ASNBA3,worthja01
16,Otis Thorpe,27,HOU,PF,82,82,2947,16.1,.587,.010,.447,9.4,16.8,13.2,12.8,1.1,0.5,16.1,19.6,4.4,4.1,8.5,.138,0.6,0.2,0.7,2.0,,thorpot01
17,Larry Bird,33,BOS,SF,75,75,2944,21.9,.546,.129,.226,3.6,22.2,13.4,28.9,1.8,1.2,12.7,27.4,5.3,4.1,9.5,.154,4.1,1.2,5.3,5.5,MVP-10ASNBA2,birdla01
18,Magic Johnson,30,LAL,PG,79,79,2937,26.6,.622,.243,.560,5.2,14.8,10.2,45.5,2.2,0.7,16.9,24.8,12.8,3.8,16.5,.270,8.3,1.8,10.1,8.9,MVP-1ASNBA1,johnsma02
19,Wayman Tisdale,25,SAC,PF,79,79,2937,18.1,.565,.004,.283,7.1,15.7,11.4,6.2,0.9,1.1,9.0,25.1,4.8,2.2,7.0,.114,1.2,-1.5,-0.3,1.3,,tisdawa01
20,Rolando Blackman,30,DAL,SG,80,80,2934,17.0,.552,.034,.271,3.5,7.3,5.4,16.3,1.3,0.4,11.0,23.6,4.6,2.2,6.8,.111,1.6,-0.6,0.9,2.2,AS,blackro01
21,John Stockton,27,UTA,PG,78,78,2915,23.9,.607,.123,.471,2.5,5.6,4.1,57.4,3.5,0.4,19.7,20.6,10.4,4.0,14.4,.238,6.7,2.2,8.9,8.0,MVP-9ASNBA2,stockjo01
22,Craig Ehlo,28,CLE,SG,81,64,2894,14.5,.539,.264,.197,5.6,11.4,8.5,19.5,2.2,0.5,13.6,17.7,3.3,3.2,6.5,.108,0.3,0.8,1.1,2.3,,ehlocr01
23,Dominique Wilkins,30,ATL,SF,80,79,2888,24.6,.556,.109,.340,8.4,12.4,10.4,11.8,2.2,1.0,8.3,30.4,9.3,1.8,11.1,.184,6.5,-1.1,5.4,5.4,AS,wilkido01
24,Darrell Walker,28,WSB,PG,81,81,2883,15.6,.492,.030,.289,6.4,20.4,13.4,28.4,2.3,0.6,18.1,13.6,2.7,3.6,6.3,.105,0.4,1.8,2.3,3.1,,walkeda01
25,Vern Fleming,27,IND,PG,82,82,2876,16.3,.561,.037,.320,5.0,7.9,6.5,30.8,1.6,0.2,16.4,18.9,5.6,1.2,6.7,.112,1.9,-1.1,0.8,2.0,,flemive01
26,Johnny Dawkins,26,PHI,PG,81,81,2865,16.0,.549,.069,.257,1.9,7.8,4.9,29.7,2.1,0.2,16.8,18.8,4.2,2.2,6.4,.107,1.3,-0.5,0.8,2.0,,dawkijo01
27,Hersey Hawkins,23,PHI,SG,82,82,2856,17.0,.570,.176,.384,3.4,8.6,6.0,13.3,2.3,0.6,12.2,22.5,5.5,2.5,8.0,.135,1.6,0.1,1.7,2.7,,hawkihe01
28,Jerome Kersey,27,POR,SF,82,82,2843,15.7,.521,.018,.359,9.5,17.0,13.2,9.2,2.0,1.3,10.3,19.4,4.1,4.7,8.8,.148,0.5,1.2,1.8,2.7,,kerseje01
29,Buck Johnson,26,HOU,SF,82,82,2832,12.9,.534,.017,.265,4.3,9.8,7.1,12.7,1.7,1.3,12.8,18.7,2.2,3.9,6.2,.104,-1.6,1.0,-0.6,1.0,,johnsbu01
30,Fat Lever,29,DEN,SG,79,79,2832,19.9,.504,.068,.263,8.0,19.8,13.6,24.8,2.7,0.3,9.8,21.9,4.6,4.2,8.8,.149,3.4,1.5,4.9,4.9,AS,leverfa01
31,Chris Mullin,26,GSW,SF,78,78,2830,22.7,.643,.184,.447,5.2,12.0,8.7,17.5,2.0,0.9,13.6,24.8,8.9,1.3,10.2,.174,5.6,-0.7,5.0,5.0,ASNBA3,mullich01
32,Terry Cummings,28,SAS,PF,81,78,2821,19.6,.527,.039,.287,9.3,17.5,13.5,12.9,1.9,1.1,10.5,28.3,4.3,4.4,8.7,.149,1.8,-0.1,1.7,2.7,,cummite01
33,Jay Humphries,27,MIL,PG,81,81,2818,16.4,.547,.070,.284,3.2,7.8,5.5,24.8,2.7,0.2,11.8,19.1,5.0,2.6,7.6,.130,0.6,0.7,1.4,2.4,,humphja01
34,Buck Williams,29,POR,PF,82,82,2801,14.3,.597,.001,.541,9.6,21.6,15.5,5.5,1.2,0.8,15.3,15.5,4.3,4.3,8.7,.149,0.1,0.6,0.7,1.9,MVP-10DEF1,willibu01
35,Mitch Richmond,24,GSW,SG,78,78,2799,17.0,.576,.074,.364,3.9,9.5,6.9,12.1,1.6,0.5,11.9,24.1,4.6,0.7,5.2,.090,1.4,-1.7,-0.4,1.2,,richmmi01
36,Willie Anderson,23,SAS,SG,82,81,2788,15.2,.532,.024,.268,4.8,10.1,7.5,19.6,1.9,1.3,14.1,20.9,2.8,3.7,6.5,.111,0.5,0.9,1.3,2.4,,anderwi01
37,Kevin Johnson,23,PHO,PG,74,74,2782,22.8,.585,.035,.516,1.8,8.4,5.3,44.4,1.6,0.3,15.6,25.0,9.0,2.6,11.6,.200,5.3,-0.4,5.0,4.9,ASNBA2,johnske02
38,Terry Porter,26,POR,PG,80,80,2781,20.0,.597,.246,.487,2.3,8.4,5.3,35.4,2.5,0.1,17.2,20.1,7.9,3.8,11.7,.202,4.5,1.3,5.8,5.4,,portete01
39,Hot Rod Williams,27,CLE,PF,82,29,2776,19.0,.546,.000,.411,8.8,18.1,13.4,9.8,1.6,3.6,10.2,21.9,4.6,4.1,8.7,.150,1.0,1.1,2.1,2.9,6MOY-3,williho01
40,J.R. Reid,21,CHH,C,82,82,2757,10.2,.482,.006,.355,7.7,21.5,14.2,5.3,1.6,1.2,15.5,17.2,-1.7,2.8,1.1,.020,-3.7,-0.5,-4.2,-1.5,,reidjr01
41,Horace Grant,24,CHI,PF,80,80,2753,16.6,.555,.000,.300,10.1,16.9,13.5,11.3,1.7,1.9,10.2,16.7,5.3,2.8,8.0,.140,1.3,-0.2,1.1,2.1,,grantho01
42,Derrick McKey,23,SEA,SF,80,80,2748,15.6,.557,.024,.425,7.0,14.2,10.4,9.7,1.6,1.9,14.6,20.0,4.0,2.3,6.3,.110,0.9,0.2,1.1,2.2,,mckeyde01
43,Muggsy Bogues,25,CHH,PG,81,65,2743,16.9,.528,.039,.202,1.9,7.0,4.3,44.6,3.0,0.1,16.8,13.5,4.6,2.1,6.7,.117,1.5,0.7,2.2,2.9,,boguemu01
44,Moses Malone,34,ATL,C,81,81,2735,20.2,.564,.008,.586,15.0,19.4,17.1,7.0,0.9,1.9,14.6,24.3,6.0,1.7,7.7,.134,2.6,-2.4,0.3,1.6,,malonmo01
45,Charles Smith,24,LAC,PF,78,76,2732,19.5,.589,.010,.500,7.5,14.3,11.0,6.7,1.5,2.6,10.4,23.8,6.3,3.1,9.4,.165,1.7,0.2,1.9,2.7,,smithch01
46,Danny Ainge,30,SAC,PG,75,68,2727,16.1,.528,.250,.231,2.9,10.6,6.8,25.5,2.1,0.4,12.7,23.0,2.7,2.1,4.8,.085,1.2,-0.1,1.1,2.1,,aingeda01
47,Kevin McHale,32,BOS,PF,82,25,2722,21.8,.623,.058,.373,8.6,18.4,13.7,9.5,0.5,3.3,11.7,24.1,7.8,3.3,11.1,.195,3.2,0.3,3.4,3.8,ASDEF2,mchalke01
48,Chuck Person,25,IND,SF,77,73,2714,16.6,.557,.204,.217,5.7,13.1,9.6,13.5,1.0,0.4,11.1,24.4,4.1,1.3,5.4,.096,2.0,-2.0,-0.1,1.3,,persoch01
49,A.C. Green,26,LAL,PF,82,82,2709,14.7,.548,.057,.459,11.5,18.4,15.1,4.6,1.2,1.1,10.7,17.1,4.4,3.3,7.7,.137,0.3,-0.9,-0.6,1.0,AS,greenac01
50,Mark Price,25,CLE,PG,73,73,2706,21.1,.589,.351,.317,2.7,7.7,5.2,39.2,2.1,0.1,15.0,22.8,7.6,2.5,10.1,.179,5.3,-0.2,5.2,4.9,,pricema01
51,Michael Adams,27,DEN,PG,79,74,2690,15.4,.542,.437,.317,1.8,7.3,4.4,23.3,2.0,0.1,11.1,18.5,4.4,2.5,6.9,.124,1.8,-0.1,1.8,2.6,,adamsmi01
52,Bernard King,33,WSB,SF,82,82,2687,18.8,.545,.016,.352,5.1,11.1,8.1,21.8,0.9,0.1,12.8,29.4,4.1,1.4,5.5,.099,2.3,-1.9,0.5,1.7,,kingbe01
53,Clyde Drexler,27,POR,SG,73,73,2683,22.2,.551,.078,.317,8.3,12.3,10.3,24.8,2.5,1.2,11.0,25.5,7.3,4.3,11.6,.208,5.2,2.1,7.3,6.3,MVP-12ASNBA3,drexlcl01
54,Bill Laimbeer,32,DET,C,81,81,2675,15.8,.564,.201,.245,7.1,26.0,16.6,9.1,1.1,2.0,10.1,15.6,4.7,5.4,10.1,.182,0.9,2.4,3.3,3.6,,laimbbi01
55,Sam Perkins,28,DAL,SF,76,70,2668,17.3,.564,.032,.480,9.0,15.2,12.2,10.0,1.7,1.5,12.2,20.0,4.8,3.3,8.1,.146,1.3,0.5,1.7,2.5,,perkisa01
56,Tim Hardaway,23,GSW,PG,79,78,2663,16.0,.525,.085,.280,2.4,9.6,6.2,36.4,2.8,0.2,19.0,20.5,1.9,1.4,3.3,.060,0.6,-0.8,-0.2,1.2,,hardati01
57,Mike Gminski,30,PHI,C,81,81,2659,15.7,.503,.017,.235,8.4,20.8,14.6,6.9,0.8,2.3,8.1,19.2,3.1,2.9,6.0,.108,0.7,-0.6,0.0,1.4,,gminsmi01
58,Sleepy Floyd,29,HOU,PG,82,73,2630,14.2,.552,.291,.289,1.9,6.0,4.0,30.8,1.7,0.2,18.4,17.1,3.4,2.9,6.3,.115,0.8,-0.2,0.6,1.7,,floydsl01
59,Gerald Wilkins,26,NYK,SG,82,80,2609,14.3,.520,.121,.251,5.8,9.8,7.9,18.5,1.8,0.5,14.5,21.4,2.3,2.1,4.4,.082,0.3,-0.6,-0.3,1.1,,wilkige01
60,Alvin Robertson,27,MIL,SG,81,81,2599,18.9,.542,.027,.281,10.0,14.7,12.3,25.6,3.9,0.4,17.0,20.6,3.6,3.9,7.5,.138,1.7,2.0,3.7,3.7,DPOY-5DEF2,roberal01
61,Michael Cage,28,SEA,C,82,82,2595,14.5,.540,.000,.329,13.3,24.2,18.6,3.6,1.5,1.1,11.3,13.4,3.9,2.8,6.8,.125,0.7,-0.7,0.0,1.3,,cagemi01
62,Byron Scott,28,LAL,SG,77,77,2593,14.3,.546,.219,.208,2.3,8.1,5.3,15.5,1.5,0.7,10.0,20.1,3.8,2.2,6.0,.111,0.8,-0.2,0.6,1.7,,scottby01
63,Thurl Bailey,28,UTA,SF,82,33,2583,13.4,.527,.008,.292,5.6,12.5,9.3,8.1,0.6,2.4,11.2,21.0,1.7,2.8,4.6,.085,-0.6,-0.6,-1.2,0.5,,baileth01
64,Pooh Richardson,23,MIN,PG,82,48,2581,15.8,.482,.090,.116,2.4,8.0,5.0,35.3,2.7,0.6,12.7,19.0,2.0,2.4,4.4,.082,1.0,0.4,1.4,2.2,,richapo01
65,Joe Dumars,26,DET,SG,75,71,2578,17.2,.555,.052,.312,2.7,6.7,4.7,22.2,1.2,0.0,10.8,22.5,5.8,3.0,8.7,.162,1.9,0.3,2.2,2.7,MVP-13DPOY-3ASNBA3DEF1,dumarjo01
