Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Allen Iverson,27,PHI,SG,82,82,3485,21.2,.500,.156,.379,2.3,9.5,5.8,25.1,3.4,0.3,11.2,32.9,5.0,4.2,9.2,.127,3.2,0.2,3.5,4.8,MVP-6DPOY-6ASNBA2,iversal01
2,Kobe Bryant,24,LAL,SG,82,82,3401,26.2,.550,.168,.371,3.5,15.3,9.3,27.2,2.8,1.4,11.4,32.9,11.0,4.0,14.9,.210,6.3,0.7,7.1,7.7,MVP-3DPOY-8ASNBA1DEF1,bryanko01
3,Shawn Marion,24,PHO,SF,81,81,3373,21.3,.538,.248,.201,6.6,19.4,13.0,10.4,2.9,2.1,9.0,23.3,7.3,5.8,13.0,.186,3.9,1.7,5.6,6.5,DPOY-13AS,mariosh01
4,Jalen Rose,30,CHI,SF,82,82,3351,14.9,.508,.227,.295,2.3,9.2,5.8,21.1,1.1,0.5,13.7,27.4,2.5,1.1,3.6,.052,0.9,-2.1,-1.2,0.7,,roseja01
5,Kevin Garnett,26,MIN,PF,82,82,3321,26.4,.553,.048,.339,8.6,28.5,18.8,25.8,1.8,2.8,11.9,26.4,9.8,5.8,15.6,.225,6.0,2.4,8.4,8.7,MVP-2DPOY-3ASNBA1DEF1,garneke01
6,Jamal Mashburn,30,NOH,SF,82,81,3321,18.0,.507,.193,.233,2.3,15.3,8.7,26.2,1.3,0.4,11.6,27.1,5.4,3.6,9.0,.130,2.6,-0.4,2.2,3.5,MVP-11ASNBA3,mashbja01
7,Steve Francis,25,HOU,PG,81,81,3318,20.6,.541,.183,.454,5.7,11.5,8.7,28.0,2.3,0.9,16.0,26.1,7.4,3.7,11.1,.160,3.4,0.3,3.8,4.8,AS,francst01
8,Stephon Marbury,25,PHO,PG,81,81,3240,20.1,.520,.193,.305,1.8,7.4,4.6,36.6,1.7,0.5,13.2,27.7,7.1,2.5,9.6,.142,3.7,-0.7,2.9,4.0,ASNBA3,marbust01
9,Antoine Walker,26,BOS,PF,78,78,3235,14.6,.467,.375,.184,3.4,16.7,9.9,23.3,1.9,0.8,13.4,27.9,-1.6,4.2,2.6,.039,0.1,-0.6,-0.5,1.3,AS,walkean02
10,Antawn Jamison,26,GSW,SF,82,82,3226,19.0,.542,.142,.323,6.5,12.5,9.5,8.6,1.2,0.9,9.5,24.5,8.2,0.3,8.5,.126,2.8,-2.1,0.7,2.2,,jamisan01
11,Gary Payton,34,2TM,PG,80,80,3208,21.1,.504,.124,.240,2.9,9.5,6.1,38.9,2.2,0.5,10.3,26.4,7.0,2.1,9.1,.136,3.7,-0.6,3.1,4.1,DPOY-11AS,paytoga01
11,Gary Payton,34,SEA,PG,52,52,2123,21.4,.495,.115,.236,3.1,10.8,6.9,41.6,2.4,0.4,10.7,27.1,4.3,1.9,6.2,.140,4.0,0.1,4.1,3.2,,paytoga01
11,Gary Payton,34,MIL,PG,28,28,1085,20.5,.523,.143,.249,2.5,6.8,4.6,33.8,2.0,0.5,9.6,25.0,2.8,0.1,2.9,.128,3.3,-2.0,1.3,0.9,,paytoga01
12,Tim Duncan,26,SAS,PF,81,81,3181,26.9,.564,.016,.455,9.9,27.3,19.0,19.5,0.9,5.2,12.9,28.0,9.5,6.9,16.5,.248,5.0,2.5,7.6,7.7,MVP-1DPOY-4ASNBA1DEF1,duncati01
13,Ricky Davis,23,CLE,SG,79,76,3131,16.1,.485,.139,.316,3.4,10.7,7.0,26.5,2.0,0.8,14.2,27.1,1.5,1.5,3.0,.046,1.0,-1.4,-0.3,1.3,,davisri01
14,Dirk Nowitzki,24,DAL,PF,80,80,3117,25.6,.581,.262,.368,2.9,25.1,14.0,13.3,1.8,2.0,8.1,27.4,10.8,5.3,16.1,.249,5.8,1.4,7.2,7.3,MVP-7ASNBA2,nowitdi01
15,Allan Houston,31,NYK,SG,82,82,3108,17.7,.563,.307,.270,1.0,7.9,4.4,13.2,0.9,0.2,9.8,27.0,6.6,0.6,7.2,.111,2.9,-1.8,1.0,2.4,,houstal01
16,Eric Snow,29,PHI,PG,82,82,3108,15.6,.546,.040,.474,2.6,8.8,5.7,27.6,2.2,0.3,16.7,16.8,5.7,2.7,8.4,.130,0.4,0.3,0.7,2.1,DPOY-10DEF2,snower01
17,Paul Pierce,25,BOS,SG,79,79,3096,22.7,.532,.246,.473,3.8,17.7,10.6,24.2,2.4,1.6,13.0,33.2,5.3,4.8,10.1,.157,4.2,0.7,4.9,5.4,MVP-11ASNBA3,piercpa01
18,Shareef Abdur-Rahim,26,ATL,PF,81,81,3087,19.9,.566,.051,.457,6.7,17.8,12.5,14.7,1.5,0.9,13.0,24.2,7.4,2.3,9.7,.151,2.3,-0.7,1.6,2.8,,abdursh01
19,Jason Terry,25,ATL,PG,81,81,3081,18.2,.549,.378,.256,1.4,8.6,5.2,34.8,2.2,0.3,16.4,22.6,6.0,1.4,7.4,.116,3.0,-1.2,1.8,3.0,,terryja01
